"Reference","Value","Footprint","Description","Qty","DNP"
"A1","CY8CKIT-059_PSoC_5LP","Tesis_DevKits:CY8CKIT-059_Target_J1_J2","Infineon CY8CKIT-059 PSoC 5LP prototyping kit target board, CY8C5888LTI-LP097 as selected by this project, with J1/J2 carrier headers.","1",""
"A2","ESP32-DevKitC_V4_WROOM_38Pin","Tesis_DevKits:ESP32-DevKitC_V4_38Pin","Espressif ESP32-DevKitC V4, 38-pin WROOM/SOLO variant. GPIO6-GPIO11 are marked as internal-flash pins; GPIO16/GPIO17 are not available on WROVER variants.","1",""
"C1","680uF","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","TopDesign band-pass input capacitor; polarity must be checked at bring-up.","1",""
"C2","27pF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","TopDesign band-pass feedback capacitor.","1",""
"C3","15nF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","TopDesign summing amplifier feedback capacitor.","1",""
"C4","47nF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","TopDesign PGA_OUT shunt capacitor to VREF.","1",""
"C5","3.3nF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","TopDesign low-pass feedback capacitor.","1",""
"C6,C8,C10,C12,C14","1uF","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","TopDesign BP reference decoupling.,TopDesign LP reference decoupling.,TopDesign PGA reference decoupling.,TopDesign SUM reference decoupling.,TopDesign main VREF decoupling.","5",""
"C7,C9,C11,C13,C15,C16","100nF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","External capacitor used by AMux_ADC.,TopDesign BP reference high-frequency decoupling.,TopDesign LP reference high-frequency decoupling.,TopDesign PGA reference high-frequency decoupling.,TopDesign SUM reference high-frequency decoupling.,TopDesign main VREF high-frequency decoupling.","6",""
"D1","LED_GREEN","LED_THT:LED_D3.0mm","Active-high status LED driven by the PSoC LED pin.","1",""
"J3","SYNC_EXT","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","Optional external synchronization input to ESP32 GPIO32.","1",""
"J4","GEOPHONE","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal","Geophone input terminal.","1",""
"J5","MICROSD_5V","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","Header for a 5 V-compatible microSD SPI module; do not fit a raw 3.3 V card socket here.","1",""
"R1","4.7k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor","1",""
"R2,R3","50k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","TopDesign input bias, GEO_IN_P to VREF.,TopDesign input bias, VREF to GEO_IN_N.","2",""
"R4","43k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","TopDesign band-pass input resistance.","1",""
"R5,R7","47k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","TopDesign BP_OUT contribution before gain trim.,TopDesign band-pass feedback resistance.","2",""
"R6","6.8k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","TopDesign SE_OUT contribution to the analog summing node.","1",""
"R8","27k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","TopDesign summing amplifier feedback resistance.","1",""
"R9","12k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","TopDesign low-pass input resistance.","1",""
"R10","150k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","TopDesign low-pass feedback resistance.","1",""
"R11-R15","30k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","TopDesign BP reference feed from VREF.,TopDesign LP reference feed from VREF.,TopDesign PGA reference feed from VREF.,TopDesign SUM reference feed from VREF.,TopDesign button pull-down.","5",""
"R16","390","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Current limiter for the active-high PSoC status LED.","1",""
"RV1","2k (31.7% nominal)","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","TopDesign R_12 band-pass contribution trim; wiper tied to the SUM_M end.","1",""
"SW1","USER_BUTTON","Button_Switch_THT:SW_PUSH_6mm","User button from the PSoC analog supply to BUTTON_IN.","1",""
