vuelta,pga,pgaout,ganancia,veredicto,t_banda_s,t_estable_s,LPo_inicial_mV,LPo_final_mV,LPo_pp_final_mV,I0,I1,I2,I3,aprendizajes,objetivo_sumo_uV,factor_pendiente_lenta_x1000
1,1,1,1,PASA,2.0,2.0,-26.6,-24.7,1.1,7,7,1,-89,0,,
1,1,2,2,PASA,2.0,2.0,-24.7,-3.1,22.0,7,7,1,-89,0,,
1,1,4,4,PASA,2.0,2.0,-3.1,36.2,2.8,7,7,1,-96,0,,
1,1,8,8,PASA,85.2,58.0,36.2,40.7,26.1,7,7,2,-255,0,,
1,1,16,16,PASA,154.2,81.4,40.7,10.2,4.4,7,7,6,-241,0,,
1,1,24,24,PASA,2.0,2.0,10.2,-8.5,18.0,7,7,7,-231,0,,
1,1,32,32,PASA,2.0,2.0,-8.5,21.3,9.2,7,7,7,-231,0,,
1,1,48,48,PASA,154.0,76.8,21.3,-60.1,27.0,7,7,8,-161,0,,
1,1,50,50,PASA,2.0,2.0,-60.1,-47.6,10.0,7,7,8,-150,0,,
1,2,1,2,PASA,2.0,2.0,-47.6,-20.4,5.3,0,0,0,0,1,,
1,2,2,4,PASA,2.0,2.0,-20.4,-30.3,9.9,0,0,0,0,0,,
1,2,4,8,PASA,208.1,148.0,-30.3,-61.0,2.6,0,0,7,253,0,,
1,2,8,16,PASA,241.7,187.6,-61.0,-58.4,4.9,0,0,2,240,0,,
1,2,16,32,PASA,77.2,33.6,-58.4,-7.2,5.2,0,0,-1,245,0,,
1,2,24,48,PASA,4.0,2.0,-7.2,17.9,7.6,0,0,-2,235,0,,
1,2,32,64,PASA,2.0,2.0,17.9,1.4,18.2,0,0,-2,235,0,,
1,2,48,96,PASA,2.0,2.0,1.4,-18.1,13.7,0,0,-2,238,0,,
1,2,50,100,PASA,2.0,2.0,-18.1,-47.3,27.9,0,0,-2,245,0,,
1,4,1,4,PASA,2.0,2.0,-47.3,-42.6,18.8,0,0,0,0,1,,
1,4,2,8,PASA,68.8,56.4,-42.6,-40.9,2.4,0,0,0,197,0,,
1,4,4,16,PASA,249.7,228.9,-40.9,-40.9,8.9,1,1,-3,252,1,,
1,4,8,32,PASA,230.9,214.5,-40.9,-29.6,20.3,2,1,-6,249,1,,268
1,4,16,64,PASA,50.0,18.8,-29.6,-53.0,18.4,2,1,-7,244,0,,268
1,4,24,96,PASA,2.0,2.0,-53.0,-30.1,15.3,2,1,-8,237,0,,268
1,4,32,128,PASA,20.6,2.0,-30.1,65.2,18.0,2,1,-9,222,0,,268
1,4,48,192,PASA,66.8,2.0,65.2,56.1,24.7,2,1,-9,156,0,,268
1,4,50,200,PASA,14.8,2.0,56.1,46.3,8.8,2,1,-9,83,0,,268
1,8,1,8,PASA,126.8,93.6,46.3,-46.5,4.3,0,0,-9,97,0,,268
1,8,2,16,PASA,301.9,289.5,-46.5,58.5,26.3,7,5,-13,251,1,,554
1,8,4,32,PASA,102.0,62.4,58.5,44.1,21.6,7,5,-13,-69,0,,554
1,8,8,64,PASA,131.2,72.8,44.1,52.8,6.6,7,5,-12,-252,0,,554
1,8,16,128,PASA,35.4,16.6,52.8,26.2,30.0,7,5,-10,-255,0,,554
1,8,24,192,PASA,4.0,2.0,26.2,19.3,8.9,7,5,-9,-249,0,,554
1,8,32,256,FALLA,4.0,,19.3,-94.3,158.9,7,5,-8,-216,0,,554
1,8,48,384,FALLA,76.8,,,93.6,158.9,7,5,-10,215,0,,554
1,8,50,400,APRENDIENDO,564.8,,,28.9,0.0,15,15,0,0,1,,554
1,16,1,16,PASA,2.0,93.6,,55.1,17.5,20,13,-6,-255,0,,554
1,16,2,32,FALLA,,,55.1,57.4,0.0,7,5,-6,-255,0,,554
1,16,4,64,APRENDIENDO,83.2,,,-14.6,132.5,9,8,0,0,1,,554
1,16,8,128,APRENDIENDO,89.2,,,-25.8,137.5,10,9,0,0,1,,554
1,16,16,256,APRENDIENDO,316.5,,,26.7,47.6,9,8,0,0,1,,554
1,16,24,384,APRENDIENDO,10.0,,,1.0,69.1,8,7,0,0,1,,554
1,16,32,512,APRENDIENDO,327.3,,,-20.1,124.9,9,8,0,0,1,,554
1,16,48,768,FALLA,62.0,,,23.7,50.9,7,5,-10,-235,0,,554
1,16,50,800,FALLA,376.5,,,22.9,0.0,7,5,-10,-233,1,,554
1,24,1,24,PASA,118.4,158.0,,-57.8,28.3,12,6,-10,-170,1,,1285
1,24,2,48,APRENDIENDO,2.0,,-57.8,15.1,99.8,12,6,-17,65,1,,1285
1,24,4,96,FALLA,,,,,,12,6,-9,-127,0,,1285
1,24,8,192,FALLA,830.4,,,-10.5,0.0,12,6,-8,-113,1,,1285
1,24,16,384,FALLA,262.5,,,51.7,0.0,12,6,-6,-143,1,,1285
1,24,24,576,FALLA,,,,-67.8,0.0,12,6,-1,-255,1,,1285
1,24,32,768,FALLA,383.1,,,21.6,0.0,12,6,-2,-247,1,,1285
1,24,48,1152,APRENDIENDO,,,,,,0,0,0,0,2,,1285
1,24,50,1200,APRENDIENDO,,,,-33.5,133.6,3,3,0,0,1,,1285
1,32,1,32,PASA,58.4,173.1,,-9.0,26.8,12,6,0,-1,0,,1285
1,32,2,64,APRENDIENDO,2.0,,-9.0,-91.6,71.1,13,7,-15,255,1,,1285
1,32,4,128,FALLA,,,,-29.8,0.0,12,6,-2,253,0,,1285
1,32,8,256,FALLA,,,,-47.0,141.8,12,6,-2,127,1,,1285
1,32,16,512,FALLA,252.1,,,55.9,52.3,12,6,-1,137,1,,1285
1,32,24,768,FALLA,62.4,,,-87.8,104.2,12,6,-2,119,1,,1285
1,32,32,1024,APRENDIENDO,,,,,,0,0,0,0,1,,1285
1,32,48,1536,APRENDIENDO,,,,,,3,3,0,0,1,,1285
