elapsed_s,phase,stage,code,channel,mean_bank_uv,error_bank_uv,error_real_mv,pp_bank_uv,valid,clavado
2.0859734999830835,espera estabilidad,1,0,1,1081790,80290,1599.031553,6370,True,False
5.736473799974192,espera estabilidad,1,0,1,1071929,70429,1402.6428353000001,4234,True,False
13.07296329998644,espera estabilidad,1,0,1,1060810,59310,1181.2001670000002,3871,True,False
16.726855099957902,espera estabilidad,1,0,1,1045227,43727,870.8538139000001,4825,True,False
20.364870799996424,espera estabilidad,1,0,1,1037406,35906,715.0931242,5970,True,False
24.015865699970163,espera estabilidad,1,0,1,1031265,29765,592.7908105,4329,True,False
31.35449159995187,espera estabilidad,1,0,1,1026363,24863,495.1640491,4348,True,False
35.00625639996724,espera estabilidad,1,0,1,1017494,15994,318.5317058,3376,True,False
38.658011099963915,espera estabilidad,1,0,1,1013641,12141,241.79651370000002,5950,True,False
42.31169729999965,espera estabilidad,1,0,1,1009769,8269,164.6829233,6160,True,False
45.96322659996804,espera estabilidad,1,0,1,1007423,5923,117.9606911,3242,True,False
49.61700369999744,espera estabilidad,1,0,1,1005287,3787,75.4207559,5970,True,False
53.270311400003266,espera estabilidad,1,0,1,1002445,945,18.8203365,6065,True,False
53.92512249998981,fase1 inicial,0,0,0,944137,-57363,-1142.4242990999999,13236,True,False
54.57776829996146,fase1 inicial,1,0,1,1002368,868,17.286827600000002,3261,True,False
55.22754419996636,fase1 inicial,2,0,2,1058311,56811,1131.4308327,820,True,False
55.882112699968275,fase1 inicial,3,0,3,1059074,57574,1146.6265118,934,True,False
56.516078799963,fase1 inicial,3,0,4,732345,-269155,-5360.4102335,152,False,True
57.169287999975495,ABBA precheck IDAC0,0,0,0,945091,-56409,-1123.4247213,13523,True,False
57.87795399996685,ABBA A1 IDAC0,0,0,0,944690,-56810,-1131.4109170000002,13713,True,False
60.08359070000006,ABBA B1 IDAC0,0,2,0,951290,-50210,-999.967297,14114,True,False
60.7876989999786,ABBA B2 IDAC0,0,2,0,950717,-50783,-1011.3789931000001,12588,True,False
62.99294129997725,ABBA A2 IDAC0,0,0,0,944499,-57001,-1135.2148157000001,13828,True,False
63.69688059994951,ABBA A1 IDAC0,0,0,0,944919,-56581,-1126.8502217,13160,True,False
65.90242119994946,ABBA B1 IDAC0,0,4,0,956230,-45270,-901.583739,13008,True,False
66.60971940000309,ABBA B2 IDAC0,0,4,0,956649,-44851,-893.2390607,14648,True,False
70.76779809995787,ABBA A2 IDAC0,0,0,0,943794,-57706,-1149.2553842,15945,True,False
71.47618249995867,tau para IDAC1,1,0,1,997066,-4434,-88.3062138,5741,True,False
72.18431399995461,medición tau BP,1,8,1,997791,-3709,-73.8673313,4329,True,False
75.84011379996082,medición tau BP,1,8,1,997524,-3976,-79.1848232,3070,True,False
79.4934999999823,medición tau BP,1,8,1,996131,-5369,-106.9273933,3929,True,False
83.14406079996843,medición tau BP,1,8,1,994377,-7123,-141.85953110000003,6408,True,False
86.79610999999568,medición tau BP,1,8,1,994129,-7371,-146.7986247,5950,True,False
90.44942869996885,medición tau BP,1,8,1,993080,-8420,-167.69019400000002,3223,True,False
94.10428339999635,medición tau BP,1,8,1,991935,-9565,-190.4936705,4158,True,False
97.75892559997737,medición tau BP,1,8,1,992221,-9279,-184.7977803,3280,True,False
101.41108839999652,medición tau BP,1,8,1,991230,-10270,-204.534239,3261,True,False
105.0664698999608,medición tau BP,1,8,1,991001,-10499,-209.09493430000003,4482,True,False
108.72146769997198,medición tau BP,1,8,1,991020,-10480,-208.71653600000002,3471,True,False
112.37320799997542,medición tau BP,1,8,1,990409,-11091,-220.88502870000002,4425,True,False
116.02702829998452,medición tau BP,1,8,1,989341,-12159,-242.1549963,4005,True,False
119.6806973000057,medición tau BP,1,8,1,989322,-12178,-242.5333946,3376,True,False
123.33220349997282,medición tau BP,1,8,1,988903,-12597,-250.8780729,6618,True,False
126.98751189996256,medición tau BP,1,8,1,989131,-12369,-246.33729330000003,4043,True,False
130.64316330000293,medición tau BP,1,8,1,988502,-12998,-258.8642686,5359,True,False
134.29862570000114,medición tau BP,1,8,1,988121,-13379,-266.4521503,3108,True,False
137.95069699996384,medición tau BP,1,8,1,988521,-12979,-258.4858703,5760,True,False
141.6047002999694,medición tau BP,1,8,1,988616,-12884,-256.5938788,3547,True,False
145.25709729996743,medición tau BP,1,8,1,987968,-13532,-269.4992524,5016,True,False
148.91201189998537,medición tau BP,1,8,1,987606,-13894,-276.7087358,3528,True,False
152.5657906999695,medición tau BP,1,8,1,988044,-13456,-267.9856592,6122,True,False
156.22041469998658,medición tau BP,1,8,1,987777,-13723,-273.30315110000004,3433,True,False
159.8744796999963,medición tau BP,1,8,1,988159,-13341,-265.69535370000006,3280,True,False
163.53059629997006,medición tau BP,1,8,1,987701,-13799,-274.81674430000004,3166,True,False
227.4602844999754,espera estabilidad,1,0,1,987014,-14486,-288.49883020000004,3852,True,False
232.62952369998675,espera estabilidad,1,0,1,986328,-15172,-302.16100040000003,6122,True,False
237.79756819998147,espera estabilidad,1,0,1,986366,-15134,-301.4042038,5455,True,False
238.45326979999663,ABBA precheck IDAC1,1,0,1,986385,-15115,-301.0258055,3890,True,False
241.11675139999716,ABBA A1 IDAC1,1,0,1,986423,-15077,-300.2690089,3757,True,False
286.97148039995227,ABBA B1 IDAC1,1,24,1,988674,-12826,-255.43876820000003,3185,True,False
