timestamp,elapsed_s,actuator,cycle,position,code,channel,tap,bank_uv,physical_error_mv,pp_bank_uv,valid
2026-09-10T08:25:28.424,108.657,IDAC3,1,A1,67,0,PGAgain,1000671,-16.51,1373,1
2026-09-10T08:25:29.009,109.242,IDAC3,1,A1,67,0,PGAgain,1001377,-2.45,2727,1
2026-09-10T08:25:29.592,109.825,IDAC3,1,A1,67,0,PGAgain,1001148,-7.01,1716,1
2026-09-10T08:25:30.175,110.408,IDAC3,1,A1,67,1,BPo,994338,-142.636,1888,1
2026-09-10T08:25:30.761,110.994,IDAC3,1,A1,67,1,BPo,993938,-150.603,2498,1
2026-09-10T08:25:31.348,111.58,IDAC3,1,A1,67,1,BPo,993213,-165.041,2822,1
2026-09-10T08:25:31.935,112.167,IDAC3,1,A1,67,2,OPA_SUMo,956001,-906.144,858,1
2026-09-10T08:25:32.519,112.752,IDAC3,1,A1,67,2,OPA_SUMo,955371,-918.691,743,1
2026-09-10T08:25:33.106,113.339,IDAC3,1,A1,67,2,OPA_SUMo,955257,-920.962,648,1
2026-09-10T08:25:33.693,113.926,IDAC3,1,A1,67,3,SUMo,955314,-919.827,1087,1
2026-09-10T08:25:34.280,114.513,IDAC3,1,A1,67,3,SUMo,954933,-927.414,534,1
2026-09-10T08:25:34.885,115.117,IDAC3,1,A1,67,3,SUMo,954647,-933.11,801,1
2026-09-10T08:25:35.490,115.722,IDAC3,1,A1,67,4,LPo,1106090,2082.983,133,1
2026-09-10T08:25:36.074,116.306,IDAC3,1,A1,67,4,LPo,1106071,2082.605,95,1
2026-09-10T08:25:36.676,116.909,IDAC3,1,A1,67,4,LPo,1106071,2082.605,95,1
2026-09-10T08:25:42.333,122.566,IDAC3,1,B1,99,0,PGAgain,1000957,-10.814,1678,1
2026-09-10T08:25:42.919,123.152,IDAC3,1,B1,99,0,PGAgain,1001052,-8.922,1811,1
2026-09-10T08:25:43.524,123.756,IDAC3,1,B1,99,0,PGAgain,1000366,-22.584,1697,1
2026-09-10T08:25:44.128,124.361,IDAC3,1,B1,99,1,BPo,995521,-119.076,3528,1
2026-09-10T08:25:44.715,124.947,IDAC3,1,B1,99,1,BPo,995197,-125.529,2574,1
2026-09-10T08:25:45.302,125.534,IDAC3,1,B1,99,1,BPo,994396,-141.481,2098,1
2026-09-10T08:25:45.888,126.121,IDAC3,1,B1,99,2,OPA_SUMo,950450,-1016.696,667,1
2026-09-10T08:25:46.475,126.708,IDAC3,1,B1,99,2,OPA_SUMo,949897,-1027.71,724,1
2026-09-10T08:25:47.062,127.294,IDAC3,1,B1,99,2,OPA_SUMo,949726,-1031.115,743,1
2026-09-10T08:25:47.665,127.898,IDAC3,1,B1,99,3,SUMo,949745,-1030.737,877,1
2026-09-10T08:25:48.253,128.485,IDAC3,1,B1,99,3,SUMo,949649,-1032.649,934,1
2026-09-10T08:25:48.852,129.084,IDAC3,1,B1,99,3,SUMo,949344,-1038.723,953,1
2026-09-10T08:25:49.458,129.69,IDAC3,1,B1,99,4,LPo,1106090,2082.983,171,1
2026-09-10T08:25:50.044,130.277,IDAC3,1,B1,99,4,LPo,1106071,2082.605,95,1
2026-09-10T08:25:50.649,130.881,IDAC3,1,B1,99,4,LPo,1106052,2082.226,114,1
