gain,strategy,pass,event_index,at,kind,message,codes,tau_s,channel,error_uv,pp_uv,spread_uv,data_json
1,coupled,False,0,2026-09-08T19:47:13,gain_start,"
Autocalibrando x1 desde cero (coupled)","[3, 72, 0, 0]",,,,,,"{""at"":""2026-09-08T19:47:13"",""kind"":""gain_start"",""message"":""\nAutocalibrando x1 desde cero (coupled)""}"
1,coupled,False,1,2026-09-08T19:48:31,observation,    estado neutro: PGAgain=-14.6mV BPo=+1.7mV OPA_SUMo=+42.3mV SUMo=+42.1mV LPo=-257.1mV,"[0, 0, 0, 0]",,0,-14607,4062,382,"{""at"":""2026-09-08T19:48:31"",""kind"":""observation"",""message"":""    estado neutro: PGAgain=-14.6mV BPo=+1.7mV OPA_SUMo=+42.3mV SUMo=+42.1mV LPo=-257.1mV"",""label"":""estado neutro"",""observation"":{""errors_uv"":{""0"":-14607,""1"":1682,""2"":42327,""3"":42079,""4"":-257107},""pp_uv"":{""0"":4062,""1"":5092,""2"":705,""3"":648,""4"":171},""spread_uv"":{""0"":382,""1"":1793,""2"":4616,""3"":4483,""4"":19},""samples"":[{""0"":{""mean_uv"":985584,""error_uv"":-14416,""pp_uv"":6351},""1"":{""mean_uv"":1003055,""error_uv"":3055,""pp_uv"":5092},""2"":{""mean_uv"":1040744,""error_uv"":40744,""pp_uv"":801},""3"":{""mean_uv"":1040763,""error_uv"":40763,""pp_uv"":648},""4"":{""mean_uv"":742893,""error_uv"":-257107,""pp_uv"":171}},{""0"":{""mean_uv"":985393,""error_uv"":-14607,""pp_uv"":3871},""1"":{""mean_uv"":1001682,""error_uv"":1682,""pp_uv"":6141},""2"":{""mean_uv"":1042327,""error_uv"":42327,""pp_uv"":572},""3"":{""mean_uv"":1042079,""error_uv"":42079,""pp_uv"":705},""4"":{""mean_uv"":742912,""error_uv"":-257088,""pp_uv"":114}},{""0"":{""mean_uv"":985202,""error_uv"":-14798,""pp_uv"":4062},""1"":{""mean_uv"":1001262,""error_uv"":1262,""pp_uv"":4920},""2"":{""mean_uv"":1045360,""error_uv"":45360,""pp_uv"":705},""3"":{""mean_uv"":1045246,""error_uv"":45246,""pp_uv"":400},""4"":{""mean_uv"":742893,""error_uv"":-257107,""pp_uv"":190}}]},""codes"":[0,0,0,0]}"
1,coupled,False,1,2026-09-08T19:48:31,observation,    estado neutro: PGAgain=-14.6mV BPo=+1.7mV OPA_SUMo=+42.3mV SUMo=+42.1mV LPo=-257.1mV,"[0, 0, 0, 0]",,1,1682,5092,1793,"{""at"":""2026-09-08T19:48:31"",""kind"":""observation"",""message"":""    estado neutro: PGAgain=-14.6mV BPo=+1.7mV OPA_SUMo=+42.3mV SUMo=+42.1mV LPo=-257.1mV"",""label"":""estado neutro"",""observation"":{""errors_uv"":{""0"":-14607,""1"":1682,""2"":42327,""3"":42079,""4"":-257107},""pp_uv"":{""0"":4062,""1"":5092,""2"":705,""3"":648,""4"":171},""spread_uv"":{""0"":382,""1"":1793,""2"":4616,""3"":4483,""4"":19},""samples"":[{""0"":{""mean_uv"":985584,""error_uv"":-14416,""pp_uv"":6351},""1"":{""mean_uv"":1003055,""error_uv"":3055,""pp_uv"":5092},""2"":{""mean_uv"":1040744,""error_uv"":40744,""pp_uv"":801},""3"":{""mean_uv"":1040763,""error_uv"":40763,""pp_uv"":648},""4"":{""mean_uv"":742893,""error_uv"":-257107,""pp_uv"":171}},{""0"":{""mean_uv"":985393,""error_uv"":-14607,""pp_uv"":3871},""1"":{""mean_uv"":1001682,""error_uv"":1682,""pp_uv"":6141},""2"":{""mean_uv"":1042327,""error_uv"":42327,""pp_uv"":572},""3"":{""mean_uv"":1042079,""error_uv"":42079,""pp_uv"":705},""4"":{""mean_uv"":742912,""error_uv"":-257088,""pp_uv"":114}},{""0"":{""mean_uv"":985202,""error_uv"":-14798,""pp_uv"":4062},""1"":{""mean_uv"":1001262,""error_uv"":1262,""pp_uv"":4920},""2"":{""mean_uv"":1045360,""error_uv"":45360,""pp_uv"":705},""3"":{""mean_uv"":1045246,""error_uv"":45246,""pp_uv"":400},""4"":{""mean_uv"":742893,""error_uv"":-257107,""pp_uv"":190}}]},""codes"":[0,0,0,0]}"
1,coupled,False,1,2026-09-08T19:48:31,observation,    estado neutro: PGAgain=-14.6mV BPo=+1.7mV OPA_SUMo=+42.3mV SUMo=+42.1mV LPo=-257.1mV,"[0, 0, 0, 0]",,2,42327,705,4616,"{""at"":""2026-09-08T19:48:31"",""kind"":""observation"",""message"":""    estado neutro: PGAgain=-14.6mV BPo=+1.7mV OPA_SUMo=+42.3mV SUMo=+42.1mV LPo=-257.1mV"",""label"":""estado neutro"",""observation"":{""errors_uv"":{""0"":-14607,""1"":1682,""2"":42327,""3"":42079,""4"":-257107},""pp_uv"":{""0"":4062,""1"":5092,""2"":705,""3"":648,""4"":171},""spread_uv"":{""0"":382,""1"":1793,""2"":4616,""3"":4483,""4"":19},""samples"":[{""0"":{""mean_uv"":985584,""error_uv"":-14416,""pp_uv"":6351},""1"":{""mean_uv"":1003055,""error_uv"":3055,""pp_uv"":5092},""2"":{""mean_uv"":1040744,""error_uv"":40744,""pp_uv"":801},""3"":{""mean_uv"":1040763,""error_uv"":40763,""pp_uv"":648},""4"":{""mean_uv"":742893,""error_uv"":-257107,""pp_uv"":171}},{""0"":{""mean_uv"":985393,""error_uv"":-14607,""pp_uv"":3871},""1"":{""mean_uv"":1001682,""error_uv"":1682,""pp_uv"":6141},""2"":{""mean_uv"":1042327,""error_uv"":42327,""pp_uv"":572},""3"":{""mean_uv"":1042079,""error_uv"":42079,""pp_uv"":705},""4"":{""mean_uv"":742912,""error_uv"":-257088,""pp_uv"":114}},{""0"":{""mean_uv"":985202,""error_uv"":-14798,""pp_uv"":4062},""1"":{""mean_uv"":1001262,""error_uv"":1262,""pp_uv"":4920},""2"":{""mean_uv"":1045360,""error_uv"":45360,""pp_uv"":705},""3"":{""mean_uv"":1045246,""error_uv"":45246,""pp_uv"":400},""4"":{""mean_uv"":742893,""error_uv"":-257107,""pp_uv"":190}}]},""codes"":[0,0,0,0]}"
1,coupled,False,1,2026-09-08T19:48:31,observation,    estado neutro: PGAgain=-14.6mV BPo=+1.7mV OPA_SUMo=+42.3mV SUMo=+42.1mV LPo=-257.1mV,"[0, 0, 0, 0]",,3,42079,648,4483,"{""at"":""2026-09-08T19:48:31"",""kind"":""observation"",""message"":""    estado neutro: PGAgain=-14.6mV BPo=+1.7mV OPA_SUMo=+42.3mV SUMo=+42.1mV LPo=-257.1mV"",""label"":""estado neutro"",""observation"":{""errors_uv"":{""0"":-14607,""1"":1682,""2"":42327,""3"":42079,""4"":-257107},""pp_uv"":{""0"":4062,""1"":5092,""2"":705,""3"":648,""4"":171},""spread_uv"":{""0"":382,""1"":1793,""2"":4616,""3"":4483,""4"":19},""samples"":[{""0"":{""mean_uv"":985584,""error_uv"":-14416,""pp_uv"":6351},""1"":{""mean_uv"":1003055,""error_uv"":3055,""pp_uv"":5092},""2"":{""mean_uv"":1040744,""error_uv"":40744,""pp_uv"":801},""3"":{""mean_uv"":1040763,""error_uv"":40763,""pp_uv"":648},""4"":{""mean_uv"":742893,""error_uv"":-257107,""pp_uv"":171}},{""0"":{""mean_uv"":985393,""error_uv"":-14607,""pp_uv"":3871},""1"":{""mean_uv"":1001682,""error_uv"":1682,""pp_uv"":6141},""2"":{""mean_uv"":1042327,""error_uv"":42327,""pp_uv"":572},""3"":{""mean_uv"":1042079,""error_uv"":42079,""pp_uv"":705},""4"":{""mean_uv"":742912,""error_uv"":-257088,""pp_uv"":114}},{""0"":{""mean_uv"":985202,""error_uv"":-14798,""pp_uv"":4062},""1"":{""mean_uv"":1001262,""error_uv"":1262,""pp_uv"":4920},""2"":{""mean_uv"":1045360,""error_uv"":45360,""pp_uv"":705},""3"":{""mean_uv"":1045246,""error_uv"":45246,""pp_uv"":400},""4"":{""mean_uv"":742893,""error_uv"":-257107,""pp_uv"":190}}]},""codes"":[0,0,0,0]}"
1,coupled,False,1,2026-09-08T19:48:31,observation,    estado neutro: PGAgain=-14.6mV BPo=+1.7mV OPA_SUMo=+42.3mV SUMo=+42.1mV LPo=-257.1mV,"[0, 0, 0, 0]",,4,-257107,171,19,"{""at"":""2026-09-08T19:48:31"",""kind"":""observation"",""message"":""    estado neutro: PGAgain=-14.6mV BPo=+1.7mV OPA_SUMo=+42.3mV SUMo=+42.1mV LPo=-257.1mV"",""label"":""estado neutro"",""observation"":{""errors_uv"":{""0"":-14607,""1"":1682,""2"":42327,""3"":42079,""4"":-257107},""pp_uv"":{""0"":4062,""1"":5092,""2"":705,""3"":648,""4"":171},""spread_uv"":{""0"":382,""1"":1793,""2"":4616,""3"":4483,""4"":19},""samples"":[{""0"":{""mean_uv"":985584,""error_uv"":-14416,""pp_uv"":6351},""1"":{""mean_uv"":1003055,""error_uv"":3055,""pp_uv"":5092},""2"":{""mean_uv"":1040744,""error_uv"":40744,""pp_uv"":801},""3"":{""mean_uv"":1040763,""error_uv"":40763,""pp_uv"":648},""4"":{""mean_uv"":742893,""error_uv"":-257107,""pp_uv"":171}},{""0"":{""mean_uv"":985393,""error_uv"":-14607,""pp_uv"":3871},""1"":{""mean_uv"":1001682,""error_uv"":1682,""pp_uv"":6141},""2"":{""mean_uv"":1042327,""error_uv"":42327,""pp_uv"":572},""3"":{""mean_uv"":1042079,""error_uv"":42079,""pp_uv"":705},""4"":{""mean_uv"":742912,""error_uv"":-257088,""pp_uv"":114}},{""0"":{""mean_uv"":985202,""error_uv"":-14798,""pp_uv"":4062},""1"":{""mean_uv"":1001262,""error_uv"":1262,""pp_uv"":4920},""2"":{""mean_uv"":1045360,""error_uv"":45360,""pp_uv"":705},""3"":{""mean_uv"":1045246,""error_uv"":45246,""pp_uv"":400},""4"":{""mean_uv"":742893,""error_uv"":-257107,""pp_uv"":190}}]},""codes"":[0,0,0,0]}"
1,coupled,False,2,2026-09-08T19:48:42,observation,    base para estimar tau: PGAgain=-14.6mV BPo=+0.7mV OPA_SUMo=+47.1mV SUMo=+46.7mV LPo=-257.1mV,"[0, 0, 0, 0]",,0,-14645,4177,763,"{""at"":""2026-09-08T19:48:42"",""kind"":""observation"",""message"":""    base para estimar tau: PGAgain=-14.6mV BPo=+0.7mV OPA_SUMo=+47.1mV SUMo=+46.7mV LPo=-257.1mV"",""label"":""base para estimar tau"",""observation"":{""errors_uv"":{""0"":-14645,""1"":728,""2"":47077,""3"":46676,""4"":-257069},""pp_uv"":{""0"":4177,""1"":5397,""2"":705,""3"":534,""4"":171},""spread_uv"":{""0"":763,""1"":801,""2"":1354,""3"":1183,""4"":95},""samples"":[{""0"":{""mean_uv"":985355,""error_uv"":-14645,""pp_uv"":4177},""1"":{""mean_uv"":1001510,""error_uv"":1510,""pp_uv"":5397},""2"":{""mean_uv"":1046276,""error_uv"":46276,""pp_uv"":705},""3"":{""mean_uv"":1045989,""error_uv"":45989,""pp_uv"":495},""4"":{""mean_uv"":742988,""error_uv"":-257012,""pp_uv"":171}},{""0"":{""mean_uv"":985355,""error_uv"":-14645,""pp_uv"":3490},""1"":{""mean_uv"":1000709,""error_uv"":709,""pp_uv"":6141},""2"":{""mean_uv"":1047077,""error_uv"":47077,""pp_uv"":705},""3"":{""mean_uv"":1046676,""error_uv"":46676,""pp_uv"":629},""4"":{""mean_uv"":742893,""error_uv"":-257107,""pp_uv"":190}},{""0"":{""mean_uv"":986118,""error_uv"":-13882,""pp_uv"":4634},""1"":{""mean_uv"":1000728,""error_uv"":728,""pp_uv"":4577},""2"":{""mean_uv"":1047630,""error_uv"":47630,""pp_uv"":553},""3"":{""mean_uv"":1047172,""error_uv"":47172,""pp_uv"":534},""4"":{""mean_uv"":742931,""error_uv"":-257069,""pp_uv"":152}}]},""codes"":[0,0,0,0]}"
1,coupled,False,2,2026-09-08T19:48:42,observation,    base para estimar tau: PGAgain=-14.6mV BPo=+0.7mV OPA_SUMo=+47.1mV SUMo=+46.7mV LPo=-257.1mV,"[0, 0, 0, 0]",,1,728,5397,801,"{""at"":""2026-09-08T19:48:42"",""kind"":""observation"",""message"":""    base para estimar tau: PGAgain=-14.6mV BPo=+0.7mV OPA_SUMo=+47.1mV SUMo=+46.7mV LPo=-257.1mV"",""label"":""base para estimar tau"",""observation"":{""errors_uv"":{""0"":-14645,""1"":728,""2"":47077,""3"":46676,""4"":-257069},""pp_uv"":{""0"":4177,""1"":5397,""2"":705,""3"":534,""4"":171},""spread_uv"":{""0"":763,""1"":801,""2"":1354,""3"":1183,""4"":95},""samples"":[{""0"":{""mean_uv"":985355,""error_uv"":-14645,""pp_uv"":4177},""1"":{""mean_uv"":1001510,""error_uv"":1510,""pp_uv"":5397},""2"":{""mean_uv"":1046276,""error_uv"":46276,""pp_uv"":705},""3"":{""mean_uv"":1045989,""error_uv"":45989,""pp_uv"":495},""4"":{""mean_uv"":742988,""error_uv"":-257012,""pp_uv"":171}},{""0"":{""mean_uv"":985355,""error_uv"":-14645,""pp_uv"":3490},""1"":{""mean_uv"":1000709,""error_uv"":709,""pp_uv"":6141},""2"":{""mean_uv"":1047077,""error_uv"":47077,""pp_uv"":705},""3"":{""mean_uv"":1046676,""error_uv"":46676,""pp_uv"":629},""4"":{""mean_uv"":742893,""error_uv"":-257107,""pp_uv"":190}},{""0"":{""mean_uv"":986118,""error_uv"":-13882,""pp_uv"":4634},""1"":{""mean_uv"":1000728,""error_uv"":728,""pp_uv"":4577},""2"":{""mean_uv"":1047630,""error_uv"":47630,""pp_uv"":553},""3"":{""mean_uv"":1047172,""error_uv"":47172,""pp_uv"":534},""4"":{""mean_uv"":742931,""error_uv"":-257069,""pp_uv"":152}}]},""codes"":[0,0,0,0]}"
1,coupled,False,2,2026-09-08T19:48:42,observation,    base para estimar tau: PGAgain=-14.6mV BPo=+0.7mV OPA_SUMo=+47.1mV SUMo=+46.7mV LPo=-257.1mV,"[0, 0, 0, 0]",,2,47077,705,1354,"{""at"":""2026-09-08T19:48:42"",""kind"":""observation"",""message"":""    base para estimar tau: PGAgain=-14.6mV BPo=+0.7mV OPA_SUMo=+47.1mV SUMo=+46.7mV LPo=-257.1mV"",""label"":""base para estimar tau"",""observation"":{""errors_uv"":{""0"":-14645,""1"":728,""2"":47077,""3"":46676,""4"":-257069},""pp_uv"":{""0"":4177,""1"":5397,""2"":705,""3"":534,""4"":171},""spread_uv"":{""0"":763,""1"":801,""2"":1354,""3"":1183,""4"":95},""samples"":[{""0"":{""mean_uv"":985355,""error_uv"":-14645,""pp_uv"":4177},""1"":{""mean_uv"":1001510,""error_uv"":1510,""pp_uv"":5397},""2"":{""mean_uv"":1046276,""error_uv"":46276,""pp_uv"":705},""3"":{""mean_uv"":1045989,""error_uv"":45989,""pp_uv"":495},""4"":{""mean_uv"":742988,""error_uv"":-257012,""pp_uv"":171}},{""0"":{""mean_uv"":985355,""error_uv"":-14645,""pp_uv"":3490},""1"":{""mean_uv"":1000709,""error_uv"":709,""pp_uv"":6141},""2"":{""mean_uv"":1047077,""error_uv"":47077,""pp_uv"":705},""3"":{""mean_uv"":1046676,""error_uv"":46676,""pp_uv"":629},""4"":{""mean_uv"":742893,""error_uv"":-257107,""pp_uv"":190}},{""0"":{""mean_uv"":986118,""error_uv"":-13882,""pp_uv"":4634},""1"":{""mean_uv"":1000728,""error_uv"":728,""pp_uv"":4577},""2"":{""mean_uv"":1047630,""error_uv"":47630,""pp_uv"":553},""3"":{""mean_uv"":1047172,""error_uv"":47172,""pp_uv"":534},""4"":{""mean_uv"":742931,""error_uv"":-257069,""pp_uv"":152}}]},""codes"":[0,0,0,0]}"
1,coupled,False,2,2026-09-08T19:48:42,observation,    base para estimar tau: PGAgain=-14.6mV BPo=+0.7mV OPA_SUMo=+47.1mV SUMo=+46.7mV LPo=-257.1mV,"[0, 0, 0, 0]",,3,46676,534,1183,"{""at"":""2026-09-08T19:48:42"",""kind"":""observation"",""message"":""    base para estimar tau: PGAgain=-14.6mV BPo=+0.7mV OPA_SUMo=+47.1mV SUMo=+46.7mV LPo=-257.1mV"",""label"":""base para estimar tau"",""observation"":{""errors_uv"":{""0"":-14645,""1"":728,""2"":47077,""3"":46676,""4"":-257069},""pp_uv"":{""0"":4177,""1"":5397,""2"":705,""3"":534,""4"":171},""spread_uv"":{""0"":763,""1"":801,""2"":1354,""3"":1183,""4"":95},""samples"":[{""0"":{""mean_uv"":985355,""error_uv"":-14645,""pp_uv"":4177},""1"":{""mean_uv"":1001510,""error_uv"":1510,""pp_uv"":5397},""2"":{""mean_uv"":1046276,""error_uv"":46276,""pp_uv"":705},""3"":{""mean_uv"":1045989,""error_uv"":45989,""pp_uv"":495},""4"":{""mean_uv"":742988,""error_uv"":-257012,""pp_uv"":171}},{""0"":{""mean_uv"":985355,""error_uv"":-14645,""pp_uv"":3490},""1"":{""mean_uv"":1000709,""error_uv"":709,""pp_uv"":6141},""2"":{""mean_uv"":1047077,""error_uv"":47077,""pp_uv"":705},""3"":{""mean_uv"":1046676,""error_uv"":46676,""pp_uv"":629},""4"":{""mean_uv"":742893,""error_uv"":-257107,""pp_uv"":190}},{""0"":{""mean_uv"":986118,""error_uv"":-13882,""pp_uv"":4634},""1"":{""mean_uv"":1000728,""error_uv"":728,""pp_uv"":4577},""2"":{""mean_uv"":1047630,""error_uv"":47630,""pp_uv"":553},""3"":{""mean_uv"":1047172,""error_uv"":47172,""pp_uv"":534},""4"":{""mean_uv"":742931,""error_uv"":-257069,""pp_uv"":152}}]},""codes"":[0,0,0,0]}"
