t_s,etapa,medido_real_mv,valido,error_mv,idac1,idac2,paso_fino,paso_grueso,motivo
1206.6,sumador,1670.4,True,-1670.4,16,-20,-20,0,
1212.3,sumador,1433.8,True,-1433.8,16,-37,-17,0,
1218.0,sumador,1233.2,True,-1233.2,16,-52,-15,0,
1223.7,sumador,1052.8,True,-1052.8,16,-65,-13,0,
1229.4,sumador,894.8,True,-894.8,16,-76,-11,0,
1235.1,sumador,760.3,True,-760.3,16,-85,-9,0,
1240.8,sumador,650.1,True,-650.1,16,-93,-8,0,
1246.5,sumador,557.1,True,-557.1,16,-100,-7,0,
1252.2,sumador,470.5,True,-470.5,16,-106,-6,0,
1257.9,sumador,396.4,True,-396.4,16,-111,-5,0,
1263.6,sumador,333.7,True,-333.7,16,-115,-4,0,
1269.3,sumador,287.8,True,-287.8,16,-119,-4,0,
1275.0,sumador,235.0,True,-235.0,16,-122,-3,0,
1280.7,sumador,197.3,True,-197.3,16,-124,-2,0,
1286.4,sumador,171.5,True,-171.5,16,-126,-2,0,
1292.1,sumador,144.9,True,-144.9,16,-128,-2,0,
1297.8,sumador,114.9,True,-114.9,16,-129,-1,0,
1303.5,sumador,83.8,True,-83.8,16,-130,-1,0,
1309.2,sumador,34.0,True,-34.0,16,-131,-1,0,
1314.9,sumador,-56.4,True,56.4,16,-130,1,0,
1320.6,sumador,-186.3,True,186.3,16,-128,2,0,
1326.3,sumador,-392.2,True,392.2,16,-123,5,0,
1332.0,sumador,-713.6,True,713.6,16,-114,9,0,
1337.7,sumador,-1802.6,True,1802.6,16,-92,22,0,
1343.4,sumador,-2536.1,False,,16,-92,0,0,lectura fuera de rango; no se integra
1349.0,sumador,-3758.5,False,,16,-92,0,0,lectura fuera de rango; no se integra
1354.7,sumador,-4843.0,False,,16,-114,0,0,"fuera de rango 3 veces; se repliega a (-114, +16)"
1360.3,sumador,-5169.0,False,,16,-114,0,0,lectura fuera de rango; no se integra
1365.9,sumador,-5171.2,False,,16,-114,0,0,lectura fuera de rango; no se integra
