elapsed_s,phase,stage,code,channel,mean_bank_uv,error_bank_uv,error_real_mv,pp_bank_uv,valid,clavado
2.07941349997418,espera estabilidad,1,0,1,992794,-8706,-173.3860842,4920,True,False
5.7309995999676175,espera estabilidad,1,0,1,991802,-9698,-193.14245860000003,3547,True,False
9.382965500000864,espera estabilidad,1,0,1,991821,-9679,-192.7640603,3871,True,False
13.031175399955828,espera estabilidad,1,0,1,991210,-10290,-204.932553,3643,True,False
13.687675099994522,fase1 inicial,0,0,0,944766,-56734,-1129.8973238,14476,True,False
14.339277199993376,fase1 inicial,1,0,1,990676,-10824,-215.5675368,3604,True,False
14.987298999971244,fase1 inicial,2,0,2,1094627,93127,1854.6893939,839,True,False
15.638506199989934,fase1 inicial,3,0,3,1094417,92917,1850.5070969,629,True,False
16.290520899987314,fase1 inicial,3,0,4,731887,-269613,-5369.531624100001,228,False,True
16.943804799986538,ABBA precheck IDAC0,0,0,0,944309,-57191,-1138.9987987000002,14705,True,False
17.65203629998723,ABBA A1 IDAC0,0,0,0,943984,-57516,-1145.4714012,14076,True,False
21.806772199983243,ABBA B1 IDAC0,0,2,0,949935,-51565,-1026.9530705,13580,True,False
22.51244709995808,ABBA B2 IDAC0,0,2,0,949974,-51526,-1026.1763582,14591,True,False
24.717412500001956,ABBA A2 IDAC0,0,0,0,944442,-57058,-1136.3500106000001,14839,True,False
25.420504299981985,ABBA A1 IDAC0,0,0,0,944290,-57210,-1139.3771970000003,14629,True,False
27.626457299978938,ABBA B1 IDAC0,0,4,0,956039,-45461,-905.3876377,12645,True,False
28.329664699966088,ABBA B2 IDAC0,0,4,0,955829,-45671,-909.5699347000001,12893,True,False
30.540575099992566,ABBA A2 IDAC0,0,0,0,944786,-56714,-1129.4990098,13427,True,False
31.243887999968138,tau para IDAC1,1,0,1,990219,-11281,-224.6690117,3662,True,False
31.948134600010235,medición tau BP,1,8,1,991439,-10061,-200.37185770000002,4310,True,False
35.60417619999498,medición tau BP,1,8,1,990333,-11167,-222.3986219,2784,True,False
39.255688899953384,medición tau BP,1,8,1,990505,-10995,-218.97312150000002,3566,True,False
46.49242339999182,medición tau BP,1,8,1,989322,-12178,-242.5333946,2746,True,False
50.14515329996357,medición tau BP,1,8,1,989398,-12102,-241.01980140000003,3299,True,False
53.796032099984586,medición tau BP,1,8,1,988521,-12979,-258.4858703,4100,True,False
57.44906339998124,medición tau BP,1,8,1,988101,-13399,-266.8504643,3967,True,False
64.78918329998851,medición tau BP,1,8,1,988464,-13036,-259.62106520000003,4081,True,False
68.44061009999132,medición tau BP,1,8,1,987930,-13570,-270.256049,3814,True,False
72.09156819997588,medición tau BP,1,8,1,987720,-13780,-274.438346,2937,True,False
75.7432748999563,medición tau BP,1,8,1,987510,-13990,-278.62064300000003,3700,True,False
79.3931374999811,medición tau BP,1,8,1,987396,-14104,-280.8910328,3376,True,False
83.0453585999785,medición tau BP,1,8,1,987586,-13914,-277.1070498,3147,True,False
86.69819450000068,medición tau BP,1,8,1,987606,-13894,-276.7087358,3700,True,False
90.3525709999958,medición tau BP,1,8,1,987319,-14181,-282.4245417,4844,True,False
94.0071586999693,medición tau BP,1,8,1,987606,-13894,-276.7087358,3623,True,False
97.66204259998631,medición tau BP,1,8,1,987110,-14390,-286.586923,4520,True,False
101.31337659998098,medición tau BP,1,8,1,987186,-14314,-285.0733298,3795,True,False
104.96650239999872,medición tau BP,1,8,1,986881,-14619,-291.14761830000003,3414,True,False
108.61891419999301,medición tau BP,1,8,1,986747,-14753,-293.8163221,3757,True,False
112.27040699997451,medición tau BP,1,8,1,987339,-14161,-282.0262277,3967,True,False
115.9252096999553,medición tau BP,1,8,1,986995,-14505,-288.8772285,3852,True,False
