t_s,etapa,medido_real_mv,valido,error_mv,idac1,idac2,paso_fino,paso_grueso,motivo
1029.3,sumador,1862.3,True,-2132.3,-43,-160,-160,1,fino en su limite (±160)
1035.0,sumador,-18.0,True,-252.0,-42,-160,0,1,fino en su limite (±160)
1040.7,sumador,-151.4,True,-118.6,-41,-160,0,1,fino en su limite (±160)
1046.5,sumador,-388.4,True,118.4,-40,-147,13,1,el fino paso su zona comoda por -87 códigos
1052.2,sumador,-622.4,True,352.4,-40,-109,38,0,
1057.9,sumador,-615.2,True,345.2,-40,-71,38,0,
1063.6,sumador,-533.9,True,263.9,-40,-42,29,0,
1069.3,sumador,-448.4,True,178.4,-40,-23,19,0,
1075.0,sumador,-389.5,True,119.5,-40,-10,13,0,
1080.7,sumador,-334.5,True,64.5,-40,-3,7,0,
1086.4,sumador,-304.1,True,34.1,-40,1,4,0,
1092.1,sumador,-279.4,True,9.4,-40,2,1,0,
1097.8,sumador,-271.8,True,1.8,-40,2,0,0,
1103.4,sumador,-268.7,True,-1.3,-40,2,0,0,
