elapsed_s,phase,stage,code,channel,mean_bank_uv,error_bank_uv,error_real_mv,pp_bank_uv,valid,clavado
1.8665686000022106,espera estabilidad,1,0,1,989236,-12264,-244.2461448,11358,True,False
5.302214199997252,espera estabilidad,1,0,1,988902,-12598,-250.89798860000002,12082,True,False
8.735319800005527,espera estabilidad,1,0,1,988416,-13084,-260.5770188,13179,True,False
12.169318800006295,espera estabilidad,1,0,1,988349,-13151,-261.9113707,9832,True,False
12.818289100017864,fase1 inicial,0,0,0,952796,-48704,-969.9742528,12474,True,False
13.466558400017675,fase1 inicial,1,0,1,988311,-13189,-262.66816730000005,11329,True,False
14.115244100015843,fase1 inicial,2,0,2,1106090,104590,2082.983063,820,True,False
14.767510900011985,fase1 inicial,3,0,3,1105422,103922,2069.6793754,724,True,False
15.41671970000607,fase1 inicial,3,0,4,731925,-269575,-5368.7748275,171,False,True
15.85023879999062,ABBA precheck IDAC0,0,0,0,952625,-48875,-973.3798375,12407,True,False
16.336845000012545,ABBA A1 IDAC0,0,0,0,952319,-49181,-979.4740417,13246,True,False
18.32192690001102,ABBA B1 IDAC0,0,2,0,958394,-43106,-858.4861642,9536,True,False
18.81163850001758,ABBA B2 IDAC0,0,2,0,958642,-42858,-853.5470706000001,10728,True,False
20.800974400015548,ABBA A2 IDAC0,0,0,0,952834,-48666,-969.2174562,13312,True,False
21.28930629999377,ABBA A1 IDAC0,0,0,0,953120,-48380,-963.5215660000001,12836,True,False
23.277822700008983,ABBA B1 IDAC0,0,4,0,963620,-37880,-754.406716,10757,True,False
23.76117169999634,ABBA B2 IDAC0,0,4,0,962715,-38785,-772.4304245000001,9393,True,False
25.748133100016275,ABBA A2 IDAC0,0,0,0,952844,-48656,-969.0182992,12931,True,False
26.239028400013922,ABBA precheck IDAC1,1,0,1,989179,-12321,-245.3813397,11329,True,False
26.72775059999549,ABBA A1 IDAC1,1,0,1,988492,-13008,-259.0634256,11434,True,False
28.717822400009027,ABBA B1 IDAC1,1,2,1,988769,-12731,-253.5467767,11205,True,False
32.88324090000242,ABBA B2 IDAC1,1,2,1,988597,-12903,-256.9722771,11463,True,False
35.32244730001548,ABBA A2 IDAC1,1,0,1,988368,-13132,-261.5329724,10318,True,False
35.81296119999024,ABBA A1 IDAC1,1,0,1,988025,-13475,-268.3640575,9345,True,False
37.80430210000486,ABBA B1 IDAC1,1,4,1,988921,-12579,-250.5195903,9069,True,False
38.29483600001549,ABBA B2 IDAC1,1,4,1,988568,-12932,-257.5498324,10976,True,False
40.28432890001568,ABBA A2 IDAC1,1,0,1,988311,-13189,-262.66816730000005,10356,True,False
44.58584680000786,medición tau BP,0,4,1,979070,-22430,-446.709151,8878,True,False
48.02205669999239,medición tau BP,0,4,1,979623,-21877,-435.6957689,9507,True,False
51.45673540001735,medición tau BP,0,4,1,980119,-21381,-425.81758170000006,9546,True,False
54.89077600001474,medición tau BP,0,4,1,981225,-20275,-403.7908175,9793,True,False
58.325597899995046,medición tau BP,0,4,1,981454,-20046,-399.23012220000004,12721,True,False
65.43191919999663,medición tau BP,0,4,1,982131,-19369,-385.74719330000005,11586,True,False
68.86852089999593,medición tau BP,0,4,1,982818,-18682,-372.06510740000004,9603,True,False
72.30636099999538,medición tau BP,0,4,1,983171,-18329,-365.0348653,10442,True,False
75.74099700001534,medición tau BP,0,4,1,983485,-18015,-358.78133550000007,11520,True,False
79.1757840999926,medición tau BP,0,4,1,984210,-17290,-344.34245300000003,10585,True,False
86.23466570000164,medición tau BP,0,4,1,984344,-17156,-341.67374920000003,9536,True,False
89.66978970001219,medición tau BP,0,4,1,984487,-17013,-338.8258041,9698,True,False
93.10358070000075,medición tau BP,0,4,1,984448,-17052,-339.6025164,11691,True,False
96.53918620001059,medición tau BP,0,4,1,985269,-16231,-323.2517267,11033,True,False
99.9749909999955,medición tau BP,0,4,1,984935,-16565,-329.90357050000006,10423,True,False
103.41071850000299,medición tau BP,0,4,1,985383,-16117,-320.9813369,10700,True,False
106.84596269999747,medición tau BP,0,4,1,985526,-15974,-318.1333918,10337,True,False
110.2841766999918,medición tau BP,0,4,1,985031,-16469,-327.9916633,11148,True,False
113.72218690000591,medición tau BP,0,4,1,985440,-16060,-319.846142,10795,True,False
117.15913539999747,medición tau BP,0,4,1,985803,-15697,-312.6167429,11358,True,False
120.59427000000142,medición tau BP,0,4,1,985431,-16069,-320.02538330000004,12264,True,False
124.03092560000368,medición tau BP,0,4,1,985479,-16021,-319.06942970000006,10003,True,False
127.4666256000055,medición tau BP,0,4,1,985726,-15774,-314.15025180000004,8973,True,False
130.9033124000125,medición tau BP,0,4,1,986146,-15354,-305.7856578,9193,True,False
134.33865200000582,medición tau BP,0,4,1,985679,-15821,-315.0862897,9145,True,False
201.45286769999075,espera estabilidad,0,0,1,987405,-14095,-280.7117915,4596,True,False
206.65949019999243,espera estabilidad,0,0,1,987176,-14324,-285.2724868,3709,True,False
211.866010800004,espera estabilidad,0,0,1,987415,-14085,-280.51263450000005,5216,True,False
276.0124380000052,espera estabilidad,0,12,1,980014,-21486,-427.90873020000004,5902,True,False
281.2187259999919,espera estabilidad,0,12,1,980777,-20723,-412.71305110000003,4834,True,False
286.4235779000155,espera estabilidad,0,12,1,980901,-20599,-410.24350430000004,4520,True,False
287.0797715999943,fase1 verificación 1,0,12,0,983676,-17824,-354.9774368,5130,True,False
287.7327301999903,fase1 verificación 1,1,-22,1,981140,-20360,-405.483652,4005,True,False
288.38280799999484,fase1 verificación 1,2,0,2,1014041,12541,249.7627937,762,True,False
289.03620580001734,fase1 verificación 1,3,0,3,1013507,12007,239.12780990000002,743,True,False
289.6885764999897,fase1 verificación 1,3,0,4,731582,-269918,-5375.6059126,152,False,True
293.62502890001633,x2 ch2,2,0,2,1009702,8202,163.34857140000003,810,True,False
294.71734860001015,x2 ch2,2,-33,2,999240,-2260,-45.009482000000006,819,True,False
295.8085820999986,x2 ch2,2,-50,2,993432,-8068,-160.6798676,676,True,False
296.8992827000038,x2 ch2,2,-58,2,990590,-10910,-217.28028700000002,982,True,False
297.99134750000667,x2 ch2,2,-62,2,988769,-12731,-253.5467767,743,True,False
299.08341250001104,x2 ch2,2,-63,2,988082,-13418,-267.2288626,657,True,False
303.2031579000177,x2 ch2 final,2,-63,2,987081,-14419,-287.16447830000004,533,True,False
304.07028730001184,x2 SUMo,2,-63,3,983924,-17576,-350.0383432,1344,True,False
304.50874459999613,x2 LPo,3,0,4,1003923,2423,48.2557411,2908,True,False
308.4412777000107,x4 ch2,2,-63,2,983047,-18453,-367.5044121,438,True,False
309.5328173000016,x4 ch2,2,-55,2,985469,-16031,-319.26858670000007,457,True,False
310.6245964000118,x4 ch2,2,-51,2,986575,-14925,-297.2418225,438,True,False
311.71540950000053,x4 ch2,2,-49,2,987043,-14457,-287.9212749,562,True,False
