elapsed_s,phase,stage,code,channel,mean_bank_uv,error_bank_uv,error_real_mv,pp_bank_uv,valid,clavado
1.8646864999900572,espera estabilidad,1,0,1,983924,-17576,-350.0383432,2393,True,False
5.300015699991491,espera estabilidad,1,0,1,984534,-16966,-337.8897662,2155,True,False
8.73573730001226,espera estabilidad,1,0,1,984344,-17156,-341.67374920000003,2116,True,False
12.168705799995223,espera estabilidad,1,0,1,984868,-16632,-331.23792240000006,2460,True,False
12.821380900015356,fase1 inicial,0,0,0,952053,-49447,-984.7716179,2479,True,False
13.470980000012787,fase1 inicial,1,0,1,984535,-16965,-337.8698505,2670,True,False
14.116400700004306,fase1 inicial,2,0,2,1107044,105544,2101.9826408000004,209,True,True
14.767090800014557,fase1 inicial,3,0,3,1105785,104285,2076.9087745,171,True,True
15.395078800007468,fase1 inicial,3,0,4,731277,-270223,-5381.6802011,171,False,True
15.829036999988602,ABBA precheck IDAC0,0,0,0,951747,-49753,-990.8658221000001,2841,True,False
16.316378699993948,ABBA A1 IDAC0,0,0,0,952023,-49477,-985.3690889000001,2555,True,False
18.306109600001946,ABBA B1 IDAC0,0,2,0,957355,-44145,-879.1785765000001,2174,True,False
18.796422300016275,ABBA B2 IDAC0,0,2,0,957259,-44241,-881.0904837,2069,True,False
24.41773539999849,ABBA A2 IDAC0,0,0,0,951356,-50144,-998.6528608,2269,True,False
25.33540849998826,ABBA A1 IDAC0,0,0,0,951623,-49877,-993.3353689,2612,True,False
27.32328479998978,ABBA B1 IDAC0,0,4,0,962981,-38519,-767.1328483000001,2336,True,False
27.812178599997424,ABBA B2 IDAC0,0,4,0,962981,-38519,-767.1328483000001,2107,True,False
29.799639500008198,ABBA A2 IDAC0,0,0,0,951957,-49543,-986.6835251000001,2784,True,False
30.289494399999967,ABBA precheck IDAC1,1,0,1,986576,-14924,-297.2219068,2479,True,False
30.7768677000131,ABBA A1 IDAC1,1,0,1,986728,-14772,-294.1947204,2812,True,False
32.76547509999364,ABBA B1 IDAC1,1,2,1,986966,-14534,-289.45478380000003,2670,True,False
33.25320730000385,ABBA B2 IDAC1,1,2,1,987004,-14496,-288.69798720000006,2631,True,False
35.2400869000121,ABBA A2 IDAC1,1,0,1,986556,-14944,-297.6202208,2851,True,False
35.72815360000823,ABBA A1 IDAC1,1,0,1,986489,-15011,-298.9545727,2431,True,False
37.717035800014855,ABBA B1 IDAC1,1,4,1,987262,-14238,-283.5597366,2507,True,False
38.20346520000021,ABBA B2 IDAC1,1,4,1,987090,-14410,-286.98523700000004,2422,True,False
40.188469100015936,ABBA A2 IDAC1,1,0,1,986766,-14734,-293.43792379999996,2097,True,False
99.73148320001201,espera estabilidad,0,10,1,982379,-19121,-380.8080997,2908,True,False
104.59247999999207,espera estabilidad,0,10,1,982770,-18730,-373.02106100000003,3480,True,False
109.45360010000877,espera estabilidad,0,10,1,983361,-18139,-361.2508823,3394,True,False
109.8912920000148,rescate ch2 verifica,0,10,2,1027393,25893,515.6772201,648,True,False
110.54427109999233,fase1 post rescate,0,10,0,978355,-23145,-460.94887650000004,2212,True,False
111.19607530001667,fase1 post rescate,1,0,1,983314,-18186,-362.1869202,2841,True,False
111.84677800000645,fase1 post rescate,2,0,2,1026897,25397,505.79903290000004,572,True,False
112.50100950000342,fase1 post rescate,3,0,3,1026325,24825,494.4072525,610,True,False
113.15038000000641,fase1 post rescate,3,0,4,730915,-270585,-5388.889684500001,133,False,True
113.72728479999932,medición tau BP,0,14,1,973348,-28152,-560.6667864,3346,True,False
117.16130669999984,medición tau BP,0,14,1,974196,-27304,-543.7782728000001,2355,True,False
120.5959501999896,medición tau BP,0,14,1,975083,-26417,-526.1130469000001,2536,True,False
124.03237500000978,medición tau BP,0,14,1,976180,-25320,-504.265524,2374,True,False
127.4683776999882,medición tau BP,0,14,1,977801,-23699,-471.9821743,2250,True,False
130.90390169998864,medición tau BP,0,14,1,978345,-23155,-461.1480335,2231,True,False
134.33985290001146,medición tau BP,0,14,1,979537,-21963,-437.40851910000003,1973,True,False
141.46508920000633,medición tau BP,0,14,1,980119,-21381,-425.81758170000006,2336,True,False
144.90109860000666,medición tau BP,0,14,1,981159,-20341,-405.1052537,2135,True,False
148.33572050000657,medición tau BP,0,14,1,981635,-19865,-395.6253805,2564,True,False
151.77123610000126,medición tau BP,0,14,1,982169,-19331,-384.9903967,2937,True,False
155.20629279999412,medición tau BP,0,14,1,983009,-18491,-368.2612087,2574,True,False
162.27772390001337,medición tau BP,0,14,1,983247,-18253,-363.5212721,2622,True,False
165.71253859999706,medición tau BP,0,14,1,983399,-18101,-360.49408569999997,2364,True,False
169.1469836999895,medición tau BP,0,14,1,983600,-17900,-356.49103,2612,True,False
172.58132980001392,medición tau BP,0,14,1,983867,-17633,-351.17353810000003,2708,True,False
176.0180241999915,medición tau BP,0,14,1,984019,-17481,-348.1463517,2927,True,False
179.4558168000076,medición tau BP,0,14,1,984534,-16966,-337.8897662,3137,True,False
182.89164839999285,medición tau BP,0,14,1,984639,-16861,-335.7986177,3108,True,False
186.32844340000884,medición tau BP,0,14,1,984773,-16727,-333.1299139,2736,True,False
189.76534700000775,medición tau BP,0,14,1,985154,-16346,-325.5420322,2841,True,False
193.20221809999202,medición tau BP,0,14,1,985068,-16432,-327.2547824,3051,True,False
196.6388649000146,medición tau BP,0,14,1,985116,-16384,-326.2988288,2975,True,False
200.07594179999433,medición tau BP,0,14,1,984878,-16622,-331.03876540000005,3251,True,False
203.51188159998856,medición tau BP,0,14,1,985488,-16012,-318.89018840000006,3575,True,False
206.94963190000271,medición tau BP,0,14,1,984954,-16546,-329.52517220000004,3414,True,False
274.0654903000104,espera estabilidad,0,10,1,987224,-14276,-284.3165332,2679,True,False
279.27250910000294,espera estabilidad,0,10,1,989436,-12064,-240.26300480000003,5817,True,False
284.47856769998907,espera estabilidad,0,10,1,986661,-14839,-295.5290723,2355,True,False
350.5733404000057,espera estabilidad,0,12,1,985812,-15688,-312.4375016,3766,True,False
355.78179159999127,espera estabilidad,0,12,1,985927,-15573,-310.1471961,3309,True,False
360.98623330000555,espera estabilidad,0,12,1,986108,-15392,-306.5424544,3222,True,False
361.643232900009,fase1 verificación 1,0,12,0,983352,-18148,-361.4301236,2155,True,False
362.2943726000085,fase1 verificación 1,1,7,1,985984,-15516,-309.0120012,2918,True,False
362.94701689999783,fase1 verificación 1,2,0,2,997314,-4186,-83.3671202,648,True,False
367.17075280001154,fase1 verificación 1,3,0,3,997085,-4415,-87.92781550000001,400,True,False
368.27560500000254,fase1 verificación 1,3,0,4,906467,-95033,-1892.6487181000002,2231,True,False
372.8568705999933,x1 I2=0,3,0,4,916061,-85439,-1701.5774923000001,2440,True,False
373.29411580000306,x1 afin,3,0,4,916919,-84581,-1684.4898217000002,2202,True,False
374.2865449000092,x1 afin,3,0,4,792789,-208711,-4156.6256627,2298,False,False
374.7228272999928,x1 afin,3,0,4,794763,-206737,-4117.3120709,2851,False,False
375.1590118999884,x1 afin,3,0,4,797013,-204487,-4072.5017459000005,2755,False,False
376.44820670000627,x1 ch2 final,2,0,2,995416,-6084,-121.16711880000001,390,True,False
376.88544800001546,x1 LPo final,3,0,4,926236,-75264,-1498.9352448,1993,True,False
381.4644854000071,x2 I2=0,3,0,4,752458,-249042,-4959.8457594,3995,False,False
382.5558028999949,x2 I2=-128,3,0,4,1127213,125713,2503.6623941000003,95,False,True
383.6448396999913,x2 I2=-64,3,0,4,1118430,116930,2328.742801,295,True,True
384.7352712000138,x2 I2=-32,3,0,4,1113424,111924,2229.0448068,381,True,False
385.17283029999817,x2 afin,3,0,4,1113748,112248,2235.4974936000003,381,True,False
389.7960233000049,x2 afin,3,0,4,1123160,121660,2422.944062,381,False,False
390.13195060001453,x2 afin,3,0,4,1123742,122242,2434.5349994000003,428,False,False
390.4677267000079,x2 afin,3,0,4,1124343,122843,2446.5043351000004,533,False,False
392.1824581999972,x2 ch2 final,2,-32,2,930080,-71420,-1422.379294,1992,True,False
392.6192735999939,x2 LPo final,3,0,4,1125182,123682,2463.2136074,371,False,False
397.2017344000051,x4 I2=0,3,0,4,1116742,115242,2295.1250994,85,True,True
398.29373810000834,x4 I2=128,3,0,4,721683,-279817,-5572.7514269,266,False,True
401.33812440000474,x4 I2=64,3,0,4,869340,-132160,-2632.058912,11501,False,False
402.4263878999918,x4 I2=32,3,0,4,1111125,109625,2183.2586125000003,228,True,True
403.51775580001413,x4 I2=48,3,0,4,1077441,75941,1512.4181737000001,3232,True,False
403.9551832000143,x4 afin,3,0,4,1069402,67902,1352.3158614000001,3299,True,False
404.9426341000071,x4 afin,3,0,4,1110744,109244,2175.6707308,286,True,True
405.37935659999494,x4 afin,3,0,4,1110772,109272,2176.2283703999997,257,True,True
405.81625120001263,x4 afin,3,0,4,1110801,109301,2176.8059257,333,True,False
406.80740369998966,x4 afin,3,0,4,1111096,109596,2182.6810572,276,True,True
408.0985345999943,x4 ch2 final,2,48,2,984334,-17166,-341.87290620000005,390,True,False
408.5354127000028,x4 LPo final,3,0,4,1050376,48876,973.3997532000001,3356,True,False
413.11979560001055,x8 I2=0,3,0,4,1111412,109912,2188.9744184,85,True,True
414.20951439999044,x8 I2=128,3,0,4,725411,-276089,-5498.5056973,180,False,True
415.299955399998,x8 I2=64,3,0,4,725765,-275735,-5491.4555395,419,False,False
416.38974700000836,x8 I2=32,3,0,4,1087264,85764,1708.0500948000001,7753,True,False
416.82574669999303,x8 afin,3,0,4,1075305,73805,1469.8782385,9488,True,False
417.8159137000039,x8 afin,3,0,4,1109971,108471,2160.2758947,333,True,False
418.80735119999736,x8 afin,3,0,4,1111421,109921,2189.1536597000004,85,True,True
419.24369110001135,x8 afin,3,0,4,1111431,109931,2189.3528167000004,114,True,True
419.6793036000163,x8 afin,3,0,4,1111412,109912,2188.9744184,123,True,True
420.9659149000072,x8 ch2 final,2,32,2,984735,-16765,-333.88671050000005,781,True,False
421.40278110001236,x8 LPo final,3,0,4,1103763,102263,2036.6392291000002,5988,True,False
425.98393550000037,x16 I2=0,3,0,4,1108750,107250,2135.958825,85,True,True
427.072147400002,x16 I2=128,3,0,4,727929,-273571,-5448.357964700001,190,False,True
428.1624288999883,x16 I2=64,3,0,4,727948,-273552,-5447.9795664,152,False,True
429.2574131000147,x16 I2=32,3,0,4,728997,-272503,-5427.0879971,285,False,True
430.3509416000161,x16 I2=16,3,0,4,1107663,106163,2114.3104591,343,True,False
430.79405269998824,x16 afin,3,0,4,1107635,106135,2113.7528195000004,362,True,False
431.78508259999217,x16 afin,3,0,4,1108779,107279,2136.5363803000005,104,True,True
432.2210236999963,x16 afin,3,0,4,1108779,107279,2136.5363803000005,114,True,True
432.6572820000001,x16 afin,3,0,4,1108750,107250,2135.958825,114,True,True
433.95151899999473,x16 ch2 final,2,16,2,984363,-17137,-341.2953509,467,True,False
434.3928795999964,x16 LPo final,3,0,4,1107501,106001,2111.0841157,247,True,True
438.9809229999955,x24 I2=0,3,0,4,1109475,107975,2150.3977075,104,True,True
440.0746046999993,x24 I2=128,3,0,4,726937,-274563,-5468.1143391000005,171,False,True
443.126231000002,x24 I2=64,3,0,4,726975,-274525,-5467.357542500001,152,False,True
444.2182757999981,x24 I2=32,3,0,4,726985,-274515,-5467.1583855,104,False,True
445.30901269998867,x24 I2=16,3,0,4,727357,-274143,-5459.7497451,801,False,False
