t_s,bloque,idac2,ch,tap,media_banco_uv,pp_banco_uv,real_mv,valido
272.2,0,-140,0,PGAgain,870151,14286,-2615.9,False
272.8,0,-140,1,BPo,979423,3585,-439.7,True
273.5,0,-140,2,OPA_SUMo,1096134,114,1884.7,True
274.1,0,-140,3,SUMo,1094722,114,1856.6,True
274.7,0,-140,4,LPo,721473,152,-5576.9,False
285.4,0,-140,0,PGAgain,871105,12474,-2596.9,False
286.0,0,-140,1,BPo,978355,3089,-460.9,True
286.7,0,-140,2,OPA_SUMo,1096096,133,1883.9,True
287.3,0,-140,3,SUMo,1094722,114,1856.6,True
288.0,0,-140,4,LPo,721530,171,-5575.8,False
301.6,0,-140,0,PGAgain,869369,11863,-2631.5,False
303.0,0,-140,1,BPo,978794,3185,-452.2,True
303.7,0,-140,2,OPA_SUMo,1096134,114,1884.7,True
304.3,0,-140,3,SUMo,1094703,114,1856.2,True
305.0,0,-140,4,LPo,721530,152,-5575.8,False
315.6,0,-140,0,PGAgain,872154,12779,-2576.0,False
319.4,0,-140,1,BPo,978813,4482,-451.8,True
320.6,0,-140,2,OPA_SUMo,1096096,95,1883.9,True
321.3,0,-140,3,SUMo,1094703,114,1856.2,True
321.9,0,-140,4,LPo,721473,190,-5576.9,False
332.6,0,-140,0,PGAgain,871257,13275,-2593.9,False
333.2,0,-140,1,BPo,978565,2670,-456.8,True
333.9,0,-140,2,OPA_SUMo,1096115,133,1884.3,True
334.5,0,-140,3,SUMo,1094722,95,1856.6,True
335.1,0,-140,4,LPo,721473,190,-5576.9,False
345.8,0,-140,0,PGAgain,871982,17395,-2579.4,False
346.4,0,-140,1,BPo,978469,3471,-458.7,True
347.1,0,-140,2,OPA_SUMo,1096115,114,1884.3,True
347.7,0,-140,3,SUMo,1094722,95,1856.6,True
348.4,0,-140,4,LPo,721530,171,-5575.8,False
359.0,0,-140,0,PGAgain,871353,10967,-2592.0,False
359.7,0,-140,1,BPo,978355,4062,-460.9,True
360.3,0,-140,2,OPA_SUMo,1096115,133,1884.3,True
361.0,0,-140,3,SUMo,1094722,95,1856.6,True
361.6,0,-140,4,LPo,721473,152,-5576.9,False
372.3,0,-140,0,PGAgain,870742,14858,-2604.1,False
372.9,0,-140,1,BPo,978546,4692,-457.1,True
373.6,0,-140,2,OPA_SUMo,1096115,114,1884.3,True
374.2,0,-140,3,SUMo,1094722,133,1856.6,True
374.9,0,-140,4,LPo,721492,133,-5576.6,False
385.5,0,-140,0,PGAgain,870838,19931,-2602.2,False
386.2,0,-140,1,BPo,978622,3719,-455.6,True
386.8,0,-140,2,OPA_SUMo,1096153,95,1885.1,True
387.5,0,-140,3,SUMo,1094741,95,1857.0,True
388.1,0,-140,4,LPo,721492,171,-5576.6,False
398.8,0,-140,0,PGAgain,871582,13542,-2587.4,False
399.4,0,-140,1,BPo,978660,4520,-454.9,True
400.1,0,-140,2,OPA_SUMo,1096134,133,1884.7,True
400.7,0,-140,3,SUMo,1094703,95,1856.2,True
401.4,0,-140,4,LPo,721511,152,-5576.2,False
412.0,0,-140,0,PGAgain,871219,14514,-2594.6,False
412.7,0,-140,1,BPo,977802,3795,-472.0,True
413.3,0,-140,2,OPA_SUMo,1096153,95,1885.1,True
414.0,0,-140,3,SUMo,1094722,114,1856.6,True
417.7,0,-140,4,LPo,721549,133,-5575.4,False
428.3,0,-140,0,PGAgain,870571,11920,-2607.5,False
429.0,0,-140,1,BPo,978126,3738,-465.5,True
429.6,0,-140,2,OPA_SUMo,1096115,95,1884.3,True
430.3,0,-140,3,SUMo,1094722,114,1856.6,True
430.9,0,-140,4,LPo,721473,190,-5576.9,False
441.6,0,-140,0,PGAgain,870513,11463,-2608.7,False
442.3,0,-140,1,BPo,978450,4100,-459.1,True
442.9,0,-140,2,OPA_SUMo,1096134,114,1884.7,True
443.6,0,-140,3,SUMo,1094741,114,1857.0,True
444.2,0,-140,4,LPo,721492,171,-5576.6,False
454.9,0,-140,0,PGAgain,871448,11940,-2590.1,False
455.5,0,-140,1,BPo,977668,3395,-474.6,True
456.2,0,-140,2,OPA_SUMo,1096134,114,1884.7,True
456.8,0,-140,3,SUMo,1094741,114,1857.0,True
457.5,0,-140,4,LPo,721530,190,-5575.8,False
468.1,0,-140,0,PGAgain,871200,11806,-2595.0,False
468.8,0,-140,1,BPo,978679,4596,-454.5,True
469.4,0,-140,2,OPA_SUMo,1096115,95,1884.3,True
470.1,0,-140,3,SUMo,1094722,114,1856.6,True
470.7,0,-140,4,LPo,721530,152,-5575.8,False
481.4,0,-140,0,PGAgain,871124,14419,-2596.5,False
482.0,0,-140,1,BPo,978355,3433,-460.9,True
482.7,0,-140,2,OPA_SUMo,1096115,114,1884.3,True
483.3,0,-140,3,SUMo,1094722,133,1856.6,True
483.9,0,-140,4,LPo,721549,171,-5575.4,False
494.6,0,-140,0,PGAgain,872611,13561,-2566.9,False
495.2,0,-140,1,BPo,978870,3852,-450.7,True
495.9,0,-140,2,OPA_SUMo,1096134,95,1884.7,True
496.5,0,-140,3,SUMo,1094722,114,1856.6,True
497.2,0,-140,4,LPo,721492,152,-5576.6,False
507.8,0,-140,0,PGAgain,870571,13484,-2607.5,False
508.5,0,-140,1,BPo,978412,3833,-459.8,True
509.1,0,-140,2,OPA_SUMo,1096115,152,1884.3,True
509.8,0,-140,3,SUMo,1094722,114,1856.6,True
510.4,0,-140,4,LPo,721511,152,-5576.2,False
521.1,0,-140,0,PGAgain,871200,12969,-2595.0,False
521.7,0,-140,1,BPo,977706,3261,-473.9,True
522.4,0,-140,2,OPA_SUMo,1096115,114,1884.3,True
523.0,0,-140,3,SUMo,1094722,114,1856.6,True
523.7,0,-140,4,LPo,721492,152,-5576.6,False
534.3,0,-140,0,PGAgain,871162,13160,-2595.8,False
537.9,0,-140,1,BPo,977783,3566,-472.3,True
539.4,0,-140,2,OPA_SUMo,1096115,114,1884.3,True
540.0,0,-140,3,SUMo,1094722,114,1856.6,True
540.7,0,-140,4,LPo,721473,171,-5576.9,False
551.3,0,-140,0,PGAgain,872325,11863,-2572.6,False
553.4,0,-140,1,BPo,977868,2842,-470.6,True
556.0,0,-140,2,OPA_SUMo,1096096,104,1883.9,True
556.9,0,-140,3,SUMo,1094703,95,1856.2,True
557.5,0,-140,4,LPo,721511,133,-5576.2,False
568.2,0,-140,0,PGAgain,870914,13923,-2600.7,False
568.8,0,-140,1,BPo,977611,3967,-475.8,True
