elapsed_s,phase,stage,code,channel,mean_bank_uv,error_bank_uv,error_real_mv,pp_bank_uv,valid,clavado
2.0931696000043303,espera estabilidad,1,0,1,998344,-3156,-62.8539492,4215,True,False
5.745392600016203,espera estabilidad,1,0,1,996112,-5388,-107.3057916,4997,True,False
9.396922899992205,espera estabilidad,1,0,1,994358,-7142,-142.23792939999998,4100,True,False
13.05272249999689,espera estabilidad,1,0,1,994262,-7238,-144.14983660000001,4024,True,False
13.705525299999863,fase1 inicial,0,0,0,942974,-58526,-1165.5862582,14209,True,False
14.35832230001688,fase1 inicial,1,0,1,993785,-7715,-153.64962549999998,7801,True,False
15.013334700022824,fase1 inicial,2,0,2,1087093,85593,1704.6445101000002,782,True,False
15.664858600008301,fase1 inicial,3,0,3,1087265,85765,1708.0700105,724,True,False
16.31580139999278,fase1 inicial,3,0,4,732421,-269079,-5358.8966403,152,False,True
16.970140899997205,ABBA precheck IDAC0,0,0,0,945644,-55856,-1112.4113392000002,14228,True,False
17.678303299995605,ABBA A1 IDAC0,0,0,0,944461,-57039,-1135.9716123,14877,True,False
19.867148499994073,ABBA B1 IDAC0,0,2,0,950660,-50840,-1012.5141880000001,13198,True,False
20.57254510000348,ABBA B2 IDAC0,0,2,0,950679,-50821,-1012.1357897,12779,True,False
22.780144300020766,ABBA A2 IDAC0,0,0,0,944175,-57325,-1141.6675025000002,14266,True,False
23.488202699983958,ABBA A1 IDAC0,0,0,0,944919,-56581,-1126.8502217,14171,True,False
29.364287499978673,ABBA B1 IDAC0,0,4,0,956630,-44870,-893.617459,12722,True,False
30.519169399980456,ABBA B2 IDAC0,0,4,0,957050,-44450,-885.252865,11367,True,False
32.72766400000546,ABBA A2 IDAC0,0,0,0,943355,-58145,-1157.9983765,14305,True,False
33.43344719999004,tau para IDAC1,1,0,1,992355,-9145,-182.1290765,3986,True,False
34.15252070000861,medición tau BP,1,8,1,994300,-7200,-143.39304,3757,True,False
41.484014399989974,medición tau BP,1,8,1,993232,-8268,-164.66300760000001,3337,True,False
45.13603819999844,medición tau BP,1,8,1,993080,-8420,-167.69019400000002,3662,True,False
48.77723579999292,medición tau BP,1,8,1,991497,-10003,-199.21674710000002,3890,True,False
52.428469399979804,medición tau BP,1,8,1,990486,-11014,-219.3515198,3185,True,False
56.08109180000611,medición tau BP,1,8,1,990924,-10576,-210.62844320000002,3471,True,False
59.734906500030775,medición tau BP,1,8,1,990123,-11377,-226.58091890000003,3433,True,False
63.38774109998485,medición tau BP,1,8,1,989151,-12349,-245.9389793,4272,True,False
67.04086680000182,medición tau BP,1,8,1,989818,-11682,-232.65520740000002,3776,True,False
70.68956329999492,medición tau BP,1,8,1,989494,-12006,-239.1078942,3414,True,False
74.34491580002941,medición tau BP,1,8,1,988388,-13112,-261.13465840000003,3337,True,False
77.99887409998337,medición tau BP,1,8,1,988864,-12636,-251.65478520000002,3299,True,False
81.65439600002719,medición tau BP,1,8,1,988864,-12636,-251.65478520000002,4138,True,False
85.30723560001934,medición tau BP,1,8,1,988292,-13208,-263.0465656,3356,True,False
88.96129850001307,medición tau BP,1,8,1,988540,-12960,-258.10747200000003,4158,True,False
92.60544850002043,medición tau BP,1,8,1,987930,-13570,-270.256049,3757,True,False
99.89147339999909,medición tau BP,1,8,1,988330,-13170,-262.28976900000004,3871,True,False
103.5444841000135,medición tau BP,1,8,1,988063,-13437,-267.60726089999997,3452,True,False
107.19796810002299,medición tau BP,1,8,1,987567,-13933,-277.48544810000004,4463,True,False
110.85373779997462,medición tau BP,1,8,1,987491,-14009,-278.99904130000004,4386,True,False
114.50872019998496,medición tau BP,1,8,1,987796,-13704,-272.9247528,4329,True,False
118.16017139999894,medición tau BP,1,8,1,987911,-13589,-270.6344473,4005,True,False
121.81288219999988,medición tau BP,1,8,1,987796,-13704,-272.9247528,3681,True,False
125.46517340000719,medición tau BP,1,8,1,987510,-13990,-278.62064300000003,6275,True,False
182.79146259999834,espera estabilidad,1,0,1,986633,-14867,-296.0867119,3223,True,False
187.4683531000046,espera estabilidad,1,0,1,986557,-14943,-297.6003051,3185,True,False
192.14301749999868,espera estabilidad,1,0,1,986423,-15077,-300.2690089,3643,True,False
196.44401269999798,ABBA precheck IDAC1,1,0,1,986804,-14696,-292.6811272,4367,True,False
197.57969310000772,ABBA A1 IDAC1,1,0,1,986385,-15115,-301.0258055,3032,True,False
238.48647760000313,ABBA B1 IDAC1,1,24,1,989112,-12388,-246.7156916,4615,True,False
239.19145109999226,ABBA B2 IDAC1,1,24,1,989017,-12483,-248.60768310000003,3528,True,False
282.04994649998844,ABBA A2 IDAC1,1,0,1,986289,-15211,-302.9377127,3890,True,False
282.8922620000085,medición tau BP,0,4,1,976123,-25377,-505.4007189,2593,True,False
286.5486568000051,medición tau BP,0,4,1,977001,-24499,-487.9147343,4196,True,False
290.18927089998033,medición tau BP,0,4,1,977630,-23870,-475.387759,3566,True,False
293.8445399000193,medición tau BP,0,4,1,979633,-21867,-435.4966119,3280,True,False
297.4970396999852,medición tau BP,0,4,1,979595,-21905,-436.25340850000003,3089,True,False
301.14873750001425,medición tau BP,0,4,1,980587,-20913,-416.49703410000006,3051,True,False
304.8076160000055,medición tau BP,0,4,1,981159,-20341,-405.1052537,3719,True,False
308.4586472000228,medición tau BP,0,4,1,981559,-19941,-397.1389737,3528,True,False
312.1120518000098,medición tau BP,0,4,1,981445,-20055,-399.40936350000004,6027,True,False
315.765502299997,medición tau BP,0,4,1,982933,-18567,-369.7748019,3528,True,False
319.41677150002215,medición tau BP,0,4,1,982875,-18625,-370.92991250000006,4138,True,False
323.07056640001247,medición tau BP,0,4,1,983657,-17843,-355.35583510000004,3700,True,False
326.721607399988,medición tau BP,0,4,1,983772,-17728,-353.0655296,3585,True,False
330.372365200019,medición tau BP,0,4,1,984096,-17404,-346.61284280000007,3318,True,False
334.02387490001274,medición tau BP,0,4,1,983695,-17805,-354.5990385,3528,True,False
337.6797802000074,medición tau BP,0,4,1,985012,-16488,-328.37006160000004,4329,True,False
341.333082200028,medición tau BP,0,4,1,984249,-17251,-343.56574070000005,3757,True,False
344.98554949997924,medición tau BP,0,4,1,985031,-16469,-327.9916633,4158,True,False
348.64009860000806,medición tau BP,0,4,1,985469,-16031,-319.26858670000007,3566,True,False
352.29169179999735,medición tau BP,0,4,1,984516,-16984,-338.2482488,3433,True,False
355.94575710000936,medición tau BP,0,4,1,985660,-15840,-315.464688,3948,True,False
359.5982367999968,medición tau BP,0,4,1,985755,-15745,-313.5726965,3757,True,False
363.2563431999879,medición tau BP,0,4,1,984859,-16641,-331.41716370000006,4348,True,False
