elapsed_s,phase,stage,code,channel,mean_bank_uv,error_bank_uv,error_real_mv,pp_bank_uv,valid
7.083085399994161,IDAC0 base,0,0,0,952186,-49314,-982.1228298000001,3356,True
12.41613190001226,IDAC0 probe,0,1,0,954704,-46796,-931.9750972,3166,True
14.561595700011821,IDAC0 restore,0,0,0,951900,-49600,-987.8187200000001,3166,True
16.26154909998877,IDAC0 probe,0,-1,0,947818,-53682,-1069.1146074,3681,True
17.961092100013047,IDAC0 restore,0,0,0,952320,-49180,-979.4541260000001,3604,True
18.662283899990143,IDAC0 inicio,0,0,0,952243,-49257,-980.9876349000001,2975,True
19.71438789999229,IDAC0 rampa Newton,0,8,0,972461,-29039,-578.3320123000001,2613,True
20.768194300006144,IDAC0 rampa Newton,0,14,0,987377,-14123,-281.26943109999996,2307,True
21.414427899988368,IDAC0 post Newton,0,14,0,987243,-14257,-283.9381349,2136,True
23.56212570000207,IDAC0 PI,0,14,0,987281,-14219,-283.1813383,2155,True
25.764518699987093,IDAC0 PI,0,15,0,989723,-11777,-234.5471989,2613,True
27.96630460000597,IDAC0 PI,0,16,0,993156,-8344,-166.17660080000002,2307,True
30.169381099985912,IDAC0 PI,0,17,0,994815,-6685,-133.1364545,2422,True
32.36963609998929,IDAC0 PI,0,18,0,997238,-4262,-84.8807134,2174,True
34.56997179999598,IDAC0 PI,0,19,0,1000289,-1211,-24.1179127,2040,True
36.71741809998639,IDAC0 PI,0,19,0,1000614,-886,-17.6453102,2174,True
37.364284599985695,IDAC0 verificación 1/3,0,19,0,999755,-1745,-34.752896500000006,2155,True
39.0113704999967,IDAC0 verificación 2/3,0,19,0,1000003,-1497,-29.813802900000002,1754,True
40.6599591000122,IDAC0 verificación 3/3,0,19,0,999965,-1535,-30.5705995,1659,True
41.30674830000498,espera por resolución,1,0,1,960578,-40922,-814.9902754000001,2937,True
50.52936519999639,espera por resolución,1,0,1,967330,-34170,-680.5194690000001,2593,True
56.17668559998856,espera por resolución,1,0,1,970935,-30565,-608.7233705000001,2746,True
61.825158399995416,espera por resolución,1,0,1,972900,-28600,-569.58902,3452,True
71.10908100000233,espera por resolución,1,0,1,976886,-24614,-490.2050398,2918,True
76.75916970000253,espera por resolución,1,0,1,977897,-23603,-470.0702671,2498,True
82.40680239998619,espera por resolución,1,0,1,979804,-21696,-432.0910272,3070,True
88.05936199999996,espera por resolución,1,0,1,980644,-20856,-415.3618392,3623,True
88.7599074000027,espera por resolución,1,64,1,991554,-9946,-198.0815522,2880,True
94.40719040000113,espera por resolución,1,64,1,992717,-8783,-174.9195931,3719,True
100.05554170001415,espera por resolución,1,64,1,992183,-9317,-185.5545769,3757,True
100.75660669998615,espera por resolución,1,116,1,1000919,-581,-11.571021700000001,3223,True
106.4029959999898,espera por resolución,1,116,1,1001205,-295,-5.8751315,3032,True
112.05055760001414,espera por resolución,1,116,1,1000232,-1268,-25.253107600000003,3795,True
112.69769749999978,fase1 verificación PGAgain,0,19,0,1000804,-696,-13.861327200000002,2517,True
113.34765720000723,fase1 verificación BPo,1,116,1,999870,-1630,-32.462591,3128,True
113.99746479999158,IDAC2 base rápida,2,0,3,762577,-238923,-4758.3187911,2422,False
115.69941060000565,IDAC2 salto +64,2,-64,3,737209,-264291,-5263.5402687,400,False
118.45332530001178,IDAC2 salto +64,2,64,3,807132,-194368,-3870.9747776,1964,False
121.20684219998657,IDAC2 mejor salto 64,2,64,3,807323,-194177,-3867.1708789000004,2307,False
122.91011319999234,IDAC2 salto +64,2,0,3,763244,-238256,-4745.0350192,1926,False
125.66492539999308,IDAC2 salto +64,2,128,3,851097,-150403,-2995.3810271,1945,False
128.4170000999875,IDAC2 mejor salto 64,2,128,3,851554,-149946,-2986.2795522,1926,False
