elapsed_s,phase,stage,code,channel,mean_bank_uv,error_bank_uv,error_real_mv,pp_bank_uv,valid
61.76755249999951,fase1 historial IDAC0,0,19,0,999908,-1592,-31.705794400000002,2040,True
61.986217800000304,fase1 historial IDAC1,1,140,1,989131,-12369,-246.33729330000003,3299,True
64.19084789999943,x1 historial verificación,0,19,0,1000747,-753,-14.9965221,2059,True
64.84500660000049,x1 historial verificación,1,140,1,989017,-12483,-248.60768310000003,1983,True
65.496247699999,x1 historial verificación,2,254,2,975742,-25758,-512.9886006,419,True
66.14711890000035,x1 historial verificación,2,254,3,975265,-26235,-522.4883895,553,True
66.80123780000031,x1 historial verificación,3,83,4,1106166,104666,2084.4966562,76,True
69.00064759999987,x2 historial verificación,0,19,0,1022300,20800,414.24656,1602,True
69.65136829999938,x2 historial verificación,1,140,1,976181,-25319,-504.2456083,2822,True
70.30520919999981,x2 historial verificación,2,254,2,972690,-28810,-573.7713170000001,648,True
70.95816589999959,x2 historial verificación,2,254,3,941543,-59957,-1194.0856249,2460,True
71.61037159999978,x2 historial verificación,3,83,4,1114215,112715,2244.7981255,286,True
73.81646969999929,x4 historial verificación,0,19,0,1041507,40007,796.7674099000001,2269,True
74.46864789999927,x4 historial verificación,1,140,1,971450,-30050,-598.4667850000001,2727,True
78.8029936999992,x4 historial verificación,2,254,2,951232,-50268,-1001.1224076000001,1373,True
79.90550729999995,x4 historial verificación,2,254,3,746898,-254602,-5070.5770514000005,209,False
80.5401970999992,x4 historial verificación,3,83,4,1116218,114718,2284.6892726,76,True
82.74238340000011,x8 historial verificación,0,19,0,1021747,20247,403.2331779,1811,True
83.39610720000019,x8 historial verificación,1,140,1,992527,-8973,-178.7035761,3032,True
84.04947100000027,x8 historial verificación,2,254,2,876350,-125150,-2492.449855,1850,False
84.70426849999967,x8 historial verificación,2,254,3,741672,-259828,-5174.656499600001,190,False
85.35737870000048,x8 historial verificación,3,83,4,1110935,109435,2179.4746295000004,114,True
87.56243059999906,x16 historial verificación,0,19,0,1010570,9070,180.635399,1907,True
88.21273289999954,x16 historial verificación,1,140,1,999679,-1821,-36.26648970000001,2536,True
88.86786219999885,x16 historial verificación,2,254,2,866165,-135335,-2695.2912595000003,1869,False
89.51436999999896,x16 historial verificación,2,254,3,739135,-262365,-5225.1826305,190,False
90.14635889999954,x16 historial verificación,3,83,4,1108207,106707,2125.1445999000002,114,True
92.35291340000003,x24 historial verificación,0,19,0,1013908,12408,247.1140056,1831,True
96.68174340000041,x24 historial verificación,1,140,1,997180,-4320,-86.035824,2555,True
97.78712749999977,x24 historial verificación,2,254,2,860862,-140638,-2800.9042166,1888,False
98.4418568000001,x24 historial verificación,2,254,3,739841,-261659,-5211.1221463,171,False
99.0936098000002,x24 historial verificación,3,83,4,1108970,107470,2140.340279,76,True
101.2968478999992,x32 historial verificación,0,19,0,1010494,8994,179.1218058,1945,True
101.95103290000043,x32 historial verificación,1,140,1,999698,-1802,-35.88809140000001,2784,True
102.59971039999982,x32 historial verificación,2,254,2,858325,-143175,-2851.4303475,1525,False
106.87614380000014,x32 historial verificación,2,254,3,738983,-262517,-5228.2098169,152,False
107.97489049999967,x32 historial verificación,3,83,4,1108055,106555,2122.1174135,114,True
110.18145319999894,x48 historial verificación,0,19,0,1014041,12541,249.7627937,2059,True
110.83361169999989,x48 historial verificación,1,140,1,998344,-3156,-62.8539492,2918,True
111.48669080000036,x48 historial verificación,2,254,2,853900,-147600,-2939.5573200000003,2326,False
112.13503469999887,x48 historial verificación,2,254,3,739955,-261545,-5208.8517565,171,False
112.7895451000004,x48 historial verificación,3,83,4,1109046,107546,2141.8538722000003,133,True
116.9458440999988,x50 historial verificación,0,19,0,1013641,12141,241.79651370000002,2670,True
117.59922659999938,x50 historial verificación,1,140,1,999679,-1821,-36.26648970000001,3643,True
118.25238360000003,x50 historial verificación,2,254,2,851249,-150251,-2992.3538407,1697,False
118.90673160000006,x50 historial verificación,2,254,3,739803,-261697,-5211.8789429,171,False
119.55391579999923,x50 historial verificación,3,83,4,1108894,107394,2138.8266858,114,True
183.24878809999973,fase1 historial IDAC0,0,19,0,999469,-2031,-40.44878670000001,2365,True
183.46949499999937,fase1 historial IDAC1,1,140,1,989952,-11548,-229.98650360000002,3356,True
185.67630970000027,x1 historial verificación,0,19,0,1001396,-104,-2.0712328,2613,True
186.32955559999937,x1 historial verificación,1,140,1,989704,-11796,-234.92559720000003,3032,True
186.9840738999992,x1 historial verificación,2,254,2,972881,-28619,-569.9674183,801,True
187.6364754999995,x1 historial verificación,2,254,3,972614,-28886,-575.2849102,514,True
188.29267210000035,x1 historial verificación,3,83,4,1106204,104704,2085.2534528,76,True
190.4954813000004,x2 historial verificación,0,19,0,1025753,24253,483.0154721,2193,True
191.14665330000025,x2 historial verificación,1,140,1,974922,-26578,-529.3194746,3929,True
191.79747789999965,x2 historial verificación,2,254,2,970478,-31022,-617.8248454,514,True
192.44704459999957,x2 historial verificación,2,254,3,929012,-72488,-1443.6492616,2689,True
193.0823425999988,x2 historial verificación,3,83,4,1115398,113898,2268.3583986,286,True
195.2875712999994,x4 historial verificación,0,19,0,1041755,40255,801.7065034999999,1964,True
195.9420883999992,x4 historial verificación,1,140,1,971679,-29821,-593.9060897,2822,True
196.5983381999995,x4 historial verificación,2,254,2,943489,-58011,-1155.3296727,1106,True
197.25347820000025,x4 historial verificación,2,254,3,746936,-254564,-5069.8202548,209,False
197.90854489999947,x4 historial verificación,3,83,4,1116237,114737,2285.0676709000004,76,True
200.13307259999965,x8 historial verificación,0,19,0,1021194,19694,392.21979580000004,1392,True
200.78909209999983,x8 historial verificación,1,140,1,988445,-13055,-259.9994635,2517,True
201.44451889999982,x8 historial verificación,2,254,2,905189,-96311,-1918.1009827,1316,True
202.09197659999882,x8 historial verificación,2,254,3,741786,-259714,-5172.386109800001,152,False
202.7277467999993,x8 historial verificación,3,83,4,1110897,109397,2178.7178329000003,95,True
204.93754239999907,x16 historial verificación,0,19,0,1010646,9146,182.1489922,1964,True
205.59432340000058,x16 historial verificación,1,140,1,996265,-5235,-104.2586895,3395,True
209.87769809999918,x16 historial verificación,2,254,2,885238,-116262,-2315.4391134,1792,True
210.9854231999998,x16 historial verificación,2,254,3,739154,-262346,-5224.8042322,190,False
211.62192529999993,x16 historial verificación,3,83,4,1108245,106745,2125.9013965000004,114,True
213.82895479999934,x24 historial verificación,0,19,0,1014194,12694,252.80989580000002,2002,True
214.47977360000004,x24 historial verificación,1,140,1,995368,-6132,-122.1230724,2479,True
215.13579989999926,x24 historial verificación,2,254,2,880393,-121107,-2411.9306799000005,1564,False
215.7899196999988,x24 historial verificación,2,254,3,739898,-261602,-5209.9869514,190,False
220.03716519999944,x24 historial verificación,3,83,4,1108951,107451,2139.9618807,95,True
222.6756207999988,x32 historial verificación,0,19,0,1011219,9719,193.5606883,1659,True
223.32856919999904,x32 historial verificación,1,140,1,999355,-2145,-42.7191765,2479,True
223.98572319999948,x32 historial verificación,2,254,2,866146,-135354,-2695.6696578,1468,False
224.63847159999932,x32 historial verificación,2,254,3,738945,-262555,-5228.9666135,190,False
225.2865552000003,x32 historial verificación,3,83,4,1108055,106555,2122.1174135,114,True
229.45622709999952,x48 historial verificación,0,19,0,1014595,13095,260.7960915,2059,True
230.11136669999905,x48 historial verificación,1,140,1,997714,-3786,-75.4008402,2002,True
230.7677879999992,x48 historial verificación,2,254,2,865039,-136461,-2717.7163377,1144,False
231.42253589999927,x48 historial verificación,2,254,3,739936,-261564,-5209.2301548000005,209,False
232.07466879999993,x48 historial verificación,3,83,4,1109046,107546,2141.8538722000003,133,True
234.27636809999967,x50 historial verificación,0,19,0,1012973,11473,228.4928261,2269,True
234.93003209999915,x50 historial verificación,1,140,1,998497,-3003,-59.806847100000006,2994,True
235.5872632999999,x50 historial verificación,2,254,2,860881,-140619,-2800.5258183,1564,False
236.2443287999995,x50 historial verificación,2,254,3,739803,-261697,-5211.8789429,152,False
236.87921710000046,x50 historial verificación,3,83,4,1108894,107394,2138.8266858,133,True
298.6740067999999,fase1 historial IDAC0,0,19,0,999355,-2145,-42.7191765,2365,True
298.8957326999989,fase1 historial IDAC1,1,140,1,989036,-12464,-248.22928480000002,2975,True
