elapsed_s,phase,stage,code,channel,mean_bank_uv,error_bank_uv,error_real_mv,pp_bank_uv,valid,clavado
1.6741808999940986,espera estabilidad,1,0,1,995864,-5636,-112.2448852,4596,True,False
4.893171300005633,espera estabilidad,1,0,1,995368,-6132,-122.1230724,4367,True,False
8.111935299995821,espera estabilidad,1,0,1,995178,-6322,-125.90705540000002,4444,True,False
11.331559300000663,espera estabilidad,1,0,1,993633,-7867,-156.6768119,3032,True,False
11.985156800001278,fase1 inicial,0,0,0,953216,-48284,-961.6096588000001,6027,True,False
12.6377935000055,fase1 inicial,1,0,1,992908,-8592,-171.1156944,4081,True,False
13.289772499992978,fase1 inicial,2,0,2,1091270,89770,1787.8323890000001,648,True,False
13.943727100006072,fase1 inicial,3,0,3,1091213,89713,1786.6971941000002,934,True,False
14.597664899993106,fase1 inicial,3,0,4,732803,-268697,-5351.2888429,171,False,True
14.816291099996306,ABBA precheck IDAC0,0,0,0,953655,-47845,-952.8666665000001,6732,True,False
15.089187599995057,ABBA A1 IDAC0,0,0,0,952758,-48742,-970.7310494000001,6923,True,False
16.86213829999906,ABBA B1 IDAC0,0,2,0,959148,-42352,-843.4697264,4882,True,False
19.090558600000804,ABBA B2 IDAC0,0,2,0,958309,-43191,-860.1789987,3929,True,False
20.86024809999799,ABBA A2 IDAC0,0,0,0,953769,-47731,-950.5962767000001,5283,True,False
21.132335600006627,ABBA A1 IDAC0,0,0,0,952911,-48589,-967.6839473,5092,True,False
22.90428069999325,ABBA B1 IDAC0,0,4,0,964031,-37469,-746.2213633000001,3852,True,False
23.177300299998024,ABBA B2 IDAC0,0,4,0,963554,-37946,-755.7211522,5035,True,False
24.949714100002893,ABBA A2 IDAC0,0,0,0,953006,-48494,-965.7919558,4997,True,False
25.222526300000027,ABBA precheck IDAC1,1,0,1,992412,-9088,-180.9938816,4177,True,False
25.495115700003225,ABBA A1 IDAC1,1,0,1,991725,-9775,-194.6759675,6294,True,False
27.263590799993835,ABBA B1 IDAC1,1,2,1,992393,-9107,-181.37227990000002,7190,True,False
27.535365000003367,ABBA B2 IDAC1,1,2,1,991649,-9851,-196.18956070000002,4997,True,False
31.26042370000505,ABBA A2 IDAC1,1,0,1,991401,-10099,-201.12865430000002,4711,True,False
31.533895600005053,ABBA A1 IDAC1,1,0,1,990676,-10824,-215.5675368,5512,True,False
33.307290299999295,ABBA B1 IDAC1,1,4,1,991592,-9908,-197.3247556,4959,True,False
33.580453500006115,ABBA B2 IDAC1,1,4,1,991821,-9679,-192.7640603,3833,True,False
35.35355709999567,ABBA A2 IDAC1,1,0,1,990638,-10862,-216.3243334,4520,True,False
35.80326210000203,medición tau BP,0,4,1,980873,-20627,-410.8011439,4920,True,False
39.02440829999978,medición tau BP,0,4,1,980396,-21104,-420.3009328,7667,True,False
42.243560599992634,medición tau BP,0,4,1,981559,-19941,-397.1389737,5626,True,False
45.461768099994515,medición tau BP,0,4,1,981311,-20189,-402.0780673,4959,True,False
