elapsed_s,phase,stage,code,channel,mean_bank_uv,error_bank_uv,error_real_mv,pp_bank_uv,valid
7.090385000017704,IDAC0 base,0,0,0,951652,-49848,-992.7578136000001,2613,True
8.790190400002757,IDAC0 probe,0,1,0,955352,-46148,-919.0697236,2021,True
10.491379000013694,IDAC0 restore,0,0,0,951328,-50172,-999.2105004,2174,True
15.785300700023072,IDAC0 probe,0,-1,0,949115,-52385,-1043.2839445000002,2880,True
17.912629500002367,IDAC0 restore,0,0,0,952911,-48589,-967.6839473,2365,True
18.611222600011388,IDAC0 inicio,0,0,0,951271,-50229,-1000.3456953,2841,True
19.662558900017757,IDAC0 rampa Newton,0,4,0,962657,-38843,-773.5855351000001,2193,True
20.711682699999074,IDAC0 rampa Newton,0,8,0,972976,-28524,-568.0754268000001,3280,True
25.436726500018267,IDAC0 rampa Newton,0,12,0,982799,-18701,-372.44350570000006,2098,True
26.933335400011856,IDAC0 rampa Newton,0,16,0,993537,-7963,-158.58871910000002,2479,True
27.580116500001168,IDAC0 post Newton,0,16,0,992889,-8611,-171.4940927,1754,True
29.729546800022945,IDAC0 PI,0,16,0,993156,-8344,-166.17660080000002,2098,True
31.929624500015052,IDAC0 PI,0,17,0,995864,-5636,-112.2448852,2174,True
34.1303960000223,IDAC0 PI,0,18,0,998229,-3271,-65.1442547,2384,True
38.273021900007734,IDAC0 PI,0,19,0,1000461,-1039,-20.6924123,2651,True
40.418837100005476,IDAC0 PI,0,19,0,1000270,-1230,-24.496311000000002,3242,True
42.56581540001207,IDAC0 PI,0,19,0,1000480,-1020,-20.314014000000004,2632,True
44.71392150002066,IDAC0 PI,0,19,0,1000480,-1020,-20.314014000000004,2593,True
46.85970830000588,IDAC0 PI,0,19,0,1000614,-886,-17.6453102,2403,True
49.00622790001216,IDAC0 PI,0,19,0,1000919,-581,-11.571021700000001,2021,True
51.150432599999476,IDAC0 PI,0,19,0,1000900,-600,-11.94942,2994,True
53.298196999996435,IDAC0 PI,0,19,0,1000213,-1287,-25.6315059,2193,True
55.44687400001567,IDAC0 PI,0,19,0,1000499,-1001,-19.935615700000003,2536,True
57.57970080000814,IDAC0 PI,0,19,0,1000461,-1039,-20.6924123,2136,True
58.22466269999859,IDAC0 verificación 1/3,0,19,0,1000576,-924,-18.402106800000002,2403,True
59.87253240001155,IDAC0 verificación 2/3,0,19,0,1001014,-486,-9.679030200000001,2212,True
61.520263800019166,IDAC0 verificación 3/3,0,19,0,1000404,-1096,-21.827607200000003,2422,True
62.167730300017865,espera estabilidad,0,19,1,971622,-29878,-595.0412846,3414,True
65.81337930000154,espera estabilidad,0,19,1,973567,-27933,-556.3052481000001,3585,True
69.46102970000356,espera estabilidad,0,19,1,974884,-26616,-530.0762712000001,3433,True
