elapsed_s,phase,stage,code,channel,mean_bank_uv,error_bank_uv,error_real_mv,pp_bank_uv,valid
52.30612029999975,semilla x1 verificación,0,19,0,1000995,-505,-10.0574285,2536,True
52.96060650000072,semilla x1 verificación,1,145,1,984764,-16736,-333.3091552,2670,True
53.61409249999997,semilla x1 verificación,2,254,2,987415,-14085,-280.51263450000005,839,True
54.265944200000376,semilla x1 verificación,3,83,3,986633,-14867,-296.0867119,782,True
54.89907590000075,semilla x1 verificación,3,83,4,1106166,104666,2084.4966562,114,True
58.99350770000092,semilla x2 verificación,0,19,0,1011867,10367,206.4660619,2689,True
59.64633219999996,semilla x2 verificación,1,145,1,980834,-20666,-411.57785620000004,4024,True
60.30066230000011,semilla x2 verificación,2,254,2,978946,-22554,-449.1786978,820,True
64.58113229999981,semilla x2 verificación,3,83,3,932292,-69208,-1378.3257656,3356,True
65.66355300000032,semilla x2 verificación,3,83,4,1115608,114108,2272.5406956,362,True
117.96882519999963,semilla x1 verificación,0,19,0,1000537,-963,-19.178819100000002,1907,True
118.61687820000043,semilla x1 verificación,1,145,1,990028,-11472,-228.47291040000002,2517,True
119.27090830000088,semilla x1 verificación,2,254,2,972023,-29477,-587.0550889,419,True
119.92120160000013,semilla x1 verificación,3,83,3,971717,-29783,-593.1492931,476,True
120.57431410000027,semilla x1 verificación,3,83,4,1106147,104647,2084.1182579,95,True
128.24794120000115,semilla x2 verificación,0,19,0,1056575,55075,1096.8571775,1735,True
129.34785530000045,semilla x2 verificación,1,145,1,956077,-45423,-904.6308411000001,6828,True
130.0018842999998,semilla x2 verificación,2,254,2,931091,-70409,-1402.2445213,1773,True
130.65391369999998,semilla x2 verificación,3,83,3,782718,-218782,-4357.1966774,5054,False
131.2878122000002,semilla x2 verificación,3,83,4,1126651,125151,2492.4697707,305,False
183.61370100000022,semilla x1 verificación,0,19,0,1000919,-581,-11.571021700000001,2136,True
184.2678366,semilla x1 verificación,1,145,1,991668,-9832,-195.8111624,2727,True
184.92178480000075,semilla x1 verificación,2,254,2,965652,-35848,-713.9380136000001,629,True
185.5759880000005,semilla x1 verificación,3,83,3,965480,-36020,-717.3635140000001,629,True
186.21066950000022,semilla x1 verificación,3,83,4,1106128,104628,2083.7398596000003,114,True
190.30782809999982,semilla x2 verificación,0,19,0,1045913,44413,884.5159841,2613,True
190.96339590000025,semilla x2 verificación,1,145,1,965785,-35715,-711.2892255,4520,True
191.61796950000098,semilla x2 verificación,2,254,2,952472,-49028,-976.4269396000001,1468,True
192.27297259999978,semilla x2 verificación,3,83,3,843753,-157747,-3141.6419279,4615,False
192.90774690000035,semilla x2 verificación,3,83,4,1122303,120803,2405.8763071000003,438,True
245.21517160000076,semilla x1 verificación,0,19,0,1000709,-791,-15.753318700000001,1907,True
245.86772980000023,semilla x1 verificación,1,149,1,990772,-10728,-213.65562960000003,3261,True
246.52274120000038,semilla x1 verificación,2,254,2,966472,-35028,-697.6071396,514,True
250.80284630000097,semilla x1 verificación,3,83,3,962638,-38862,-773.9639334000001,438,True
251.88418199999978,semilla x1 verificación,3,83,4,1106166,104666,2084.4966562,76,True
255.9800505000003,semilla x2 verificación,0,19,0,1051082,49582,987.4602374000001,1602,True
256.6344793999997,semilla x2 verificación,1,149,1,962486,-39014,-776.9911198,5111,True
257.28686970000126,semilla x2 verificación,2,254,2,945377,-56123,-1117.7288311,1506,True
257.94183760000124,semilla x2 verificación,3,83,3,821475,-180025,-3585.3238925,4730,False
258.57698300000084,semilla x2 verificación,3,83,4,1123905,122405,2437.7812585,324,False
314.5046978999999,semilla x1 verificación,0,19,0,1001548,48,0.9559536000000001,2422,True
315.5902326000014,semilla x1 verificación,1,149,1,991897,-9603,-191.2504671,3185,True
316.24551750000137,semilla x1 verificación,2,254,2,962390,-39110,-778.903027,610,True
316.90184709999994,semilla x1 verificación,3,83,3,962295,-39205,-780.7950185,686,True
317.55569670000114,semilla x1 verificación,3,83,4,1106166,104666,2084.4966562,114,True
