elapsed_s,phase,stage,code,channel,mean_bank_uv,error_bank_uv,error_real_mv,pp_bank_uv,valid
61.764500000001135,fase1 historial IDAC0,0,19,0,999145,-2355,-46.9014735,1907,True
61.98314329999994,fase1 historial IDAC1,1,140,1,987339,-14161,-282.0262277,2765,True
64.18812350000007,x1 historial verificación,0,19,0,1001358,-142,-2.8280294,2307,True
64.8423365000017,x1 historial verificación,1,140,1,987911,-13589,-270.6344473,3108,True
65.49622580000141,x1 historial verificación,2,254,2,979366,-22134,-440.81410380000005,610,True
66.15017670000088,x1 historial verificación,2,254,3,978908,-22592,-449.93549440000004,648,True
66.80439000000115,x1 historial verificación,3,83,4,1106147,104647,2084.1182579,133,True
69.0031455999997,x2 historial verificación,0,19,0,1016883,15383,306.3632131,2307,True
69.6567885000004,x2 historial verificación,1,140,1,977821,-23679,-471.5838603,4653,True
70.31076269999903,x2 historial verificación,2,254,2,975418,-26082,-519.4412874000001,782,True
70.96475900000223,x2 historial verificación,2,254,3,954780,-46720,-930.4615040000001,2708,True
71.61495940000168,x2 historial verificación,3,83,4,1112613,111113,2212.8931741,400,True
73.8224627999989,x4 historial verificación,0,19,0,1037216,35716,711.3091412000001,2479,True
74.47311900000204,x4 historial verificación,1,140,1,969123,-32377,-644.8106189,5283,True
78.75312060000215,x4 historial verificación,2,254,2,928897,-72603,-1445.9395671000002,1468,True
79.8584746000015,x4 historial verificación,2,254,3,746955,-254545,-5069.4418565000005,133,False
80.50952830000097,x4 historial verificación,3,83,4,1116142,114642,2283.1756794000003,95,True
82.7152477999989,x8 historial verificación,0,19,0,1021404,19904,396.40209280000005,2403,True
83.36945480000213,x8 historial verificación,1,140,1,990161,-11339,-225.82412230000003,2689,True
84.02393579999989,x8 historial verificación,2,254,2,887622,-113878,-2267.9600846000003,1373,True
84.67705449999994,x8 historial verificación,2,254,3,741748,-259752,-5173.1429064,171,False
88.92887740000151,x8 historial verificación,3,83,4,1110858,109358,2177.9411206,133,True
91.57987110000249,x16 historial verificación,0,19,0,1011161,9661,192.40557770000004,1869,True
92.23506070000076,x16 historial verificación,1,140,1,999488,-2012,-40.070388400000006,3395,True
92.88986130000194,x16 historial verificación,2,254,2,860118,-141382,-2815.7214974000003,1983,False
93.54078949999894,x16 historial verificación,2,254,3,739135,-262365,-5225.1826305,209,False
94.19388320000144,x16 historial verificación,3,83,4,1108188,106688,2124.7662016000004,152,True
98.35332100000232,x24 historial verificación,0,19,0,1014518,13018,259.26258260000003,2822,True
99.00218350000068,x24 historial verificación,1,140,1,997848,-3652,-72.7321364,4272,True
99.65599389999988,x24 historial verificación,2,254,2,859680,-141820,-2824.444574,1850,False
100.31116620000103,x24 historial verificación,2,254,3,739860,-261640,-5210.743748000001,190,False
100.96494940000048,x24 historial verificación,3,83,4,1108913,107413,2139.2050841,95,True
103.16994730000079,x32 historial verificación,0,19,0,1011257,9757,194.3174849,2613,True
107.44900690000213,x32 historial verificación,1,140,1,999965,-1535,-30.5705995,3242,True
108.55508900000132,x32 historial verificación,2,254,2,857315,-144185,-2871.5452045,1697,False
109.20974589999969,x32 historial verificación,2,254,3,738964,-262536,-5228.5882152,152,False
109.86336270000174,x32 historial verificación,3,83,4,1108036,106536,2121.7390152000003,114,True
112.07067370000004,x48 historial verificación,0,19,0,1014270,12770,254.323489,2365,True
112.72509680000076,x48 historial verificación,1,140,1,998401,-3099,-61.7187543,3032,True
117.04925949999961,x48 historial verificación,2,254,2,856609,-144891,-2885.6056887000004,1506,False
118.14330030000201,x48 historial verificación,2,254,3,739898,-261602,-5209.9869514,171,False
118.79405749999933,x48 historial verificación,3,83,4,1108970,107470,2140.340279,133,True
120.99527900000248,x50 historial verificación,0,19,0,1013717,12217,243.31010690000002,2613,True
121.64714459999959,x50 historial verificación,1,140,1,999584,-1916,-38.158481200000004,3032,True
122.29700059999959,x50 historial verificación,2,254,2,848217,-153283,-3052.7382431,1926,False
122.95021869999982,x50 historial verificación,2,254,3,739746,-261754,-5213.014137800001,247,False
123.6058195000005,x50 historial verificación,3,83,4,1108837,107337,2137.6914909,114,True
125.81360549999954,x1 historial verificación,0,19,0,1001052,-448,-8.9222336,2155,True
126.46729640000194,x1 historial verificación,1,140,1,1006774,5274,105.0354018,3242,True
127.12217579999924,x1 historial verificación,2,254,2,851860,-149640,-2980.1853480000004,1888,False
127.77784610000163,x1 historial verificación,2,254,3,855159,-146341,-2914.4834537,1964,False
128.43059250000078,x1 historial verificación,3,83,4,1106109,104609,2083.3614613,114,True
190.20319550000204,fase1 historial IDAC0,0,19,0,1000213,-1287,-25.6315059,2231,True
190.42386140000235,fase1 historial IDAC1,1,140,1,988674,-12826,-255.43876820000003,3738,True
192.63063270000202,x1 historial verificación,0,19,0,1001091,-409,-8.1455213,2250,True
193.28710040000078,x1 historial verificación,1,140,1,988159,-13341,-265.69535370000006,3070,True
193.94314120000126,x1 historial verificación,2,254,2,975227,-26273,-523.2451861000001,648,True
194.5943408000021,x1 historial verificación,2,254,3,974712,-26788,-533.5017716,705,True
195.24756239999988,x1 historial verificación,3,83,4,1106147,104647,2084.1182579,114,True
197.44804550000117,x2 historial verificación,0,19,0,1022987,21487,427.9286459,2517,True
198.10113479999927,x2 historial verificación,1,140,1,975627,-25873,-515.2789061,4997,True
198.75143070000195,x2 historial verificación,2,254,2,972270,-29230,-582.1359110000001,591,True
203.0477819000007,x2 historial verificación,2,254,3,868911,-132589,-2640.6027473,3585,False
204.1472563999996,x2 historial verificación,3,83,4,1121139,119639,2382.6944323,305,True
206.35461380000197,x4 historial verificación,0,19,0,1042442,40942,815.3885894,2632,True
207.0080990000024,x4 historial verificación,1,140,1,977077,-24423,-486.4011411,3604,True
207.66254570000092,x4 historial verificación,2,254,2,902938,-98562,-1962.9312234,1964,True
208.31800990000193,x4 historial verificación,2,254,3,746898,-254602,-5070.5770514000005,190,False
208.9489821999996,x4 historial verificación,3,83,4,1116161,114661,2283.5540777,95,True
211.15700500000094,x8 historial verificación,0,19,0,1021938,20438,407.03707660000003,2632,True
211.81286860000182,x8 historial verificación,1,140,1,992927,-8573,-170.7372961,3795,True
212.46781980000014,x8 historial verificación,2,254,2,868053,-133447,-2657.6904179000003,2098,False
213.12353780000194,x8 historial verificación,2,254,3,741748,-259752,-5173.1429064,171,False
213.77840310000101,x8 historial verificación,3,83,4,1110877,109377,2178.3195189,114,True
