elapsed_s,phase,stage,code,channel,mean_bank_uv,error_bank_uv,error_real_mv,pp_bank_uv,valid
61.78520389999903,fase1 historial IDAC0,0,19,0,1000003,-1497,-29.813802900000002,2555,True
62.00403019999794,fase1 historial IDAC1,1,140,1,984916,-16584,-330.2819688,3376,True
64.20999279999887,x1 historial verificación 1/3,0,19,0,1001148,-352,-7.0103264,2460,True
64.86411899999803,x1 historial verificación 1/3,1,140,1,984668,-16832,-335.2210624,4196,True
65.51742899999954,x1 historial verificación 1/3,2,254,2,988254,-13246,-263.80336220000004,915,True
66.17086189999827,x1 historial verificación 1/3,2,254,3,987396,-14104,-280.8910328,801,True
66.8044575999993,x1 historial verificación 1/3,3,83,4,1106204,104704,2085.2534528,133,True
69.00834579999719,x2 historial verificación 1/3,0,19,0,1005496,3996,79.5831372,2517,True
69.66143209999791,x2 historial verificación 1/3,1,140,1,982398,-19102,-380.4297014,4310,True
70.31546369999705,x2 historial verificación 1/3,2,254,2,982379,-19121,-380.8080997,629,True
70.97012840000025,x2 historial verificación 1/3,2,254,3,974521,-26979,-537.3056703,1487,True
71.62455090000003,x2 historial verificación 1/3,3,83,4,1108856,107356,2138.0698892,343,True
73.8307993999988,x4 historial verificación 1/3,0,19,0,1019420,17920,356.88934400000005,2899,True
74.48499829999855,x4 historial verificación 1/3,1,140,1,977516,-23984,-477.65814880000005,4062,True
75.13771669999915,x4 historial verificación 1/3,2,254,2,974369,-27131,-540.3328567,743,True
75.79253729999982,x4 historial verificación 1/3,2,254,3,862674,-138826,-2764.8169682,8602,False
76.4459231999972,x4 historial verificación 1/3,3,83,4,1113281,111781,2226.1968617,343,True
82.23883139999816,x8 historial verificación 1/3,0,19,0,1021347,19847,395.26689790000006,2613,True
83.34473959999741,x8 historial verificación 1/3,1,140,1,983943,-17557,-349.6599449,3318,True
83.99814689999766,x8 historial verificación 1/3,2,254,2,942745,-58755,-1170.1469535,1049,True
84.65253989999837,x8 historial verificación 1/3,2,254,3,741748,-259752,-5173.1429064,228,False
85.28650589999961,x8 historial verificación 1/3,3,83,4,1110973,109473,2180.2314261,114,True
