t_s,ch,tap,banco_uv,pp_uv,real_mv_vs_vref,clavado
0.0,0,PGAgain,953178.0,12130.0,-962.4,False
0.0,1,BPo,1020832.0,8849.5,385.0,False
0.0,2,OPA_SUMo,993566.0,982.0,-158.0,False
0.0,3,SUMo,995092.0,829.5,-127.6,False
0.0,4,LPo,733060.5,161.5,-5346.2,True
12.0,0,PGAgain,953063.5,9917.5,-964.6,False
12.0,1,BPo,1010169.5,8105.5,172.7,False
12.0,2,OPA_SUMo,1031150.5,1077.0,590.5,False
12.0,3,SUMo,1032018.0,1106.0,607.8,False
12.0,4,LPo,733051.0,209.0,-5346.3,True
24.0,0,PGAgain,953273.0,12912.0,-960.5,False
24.0,1,BPo,1003064.5,9059.5,31.2,False
24.0,2,OPA_SUMo,1055602.5,1115.5,1077.5,False
24.0,3,SUMo,1055926.5,1049.0,1083.9,False
24.0,4,LPo,733108,114,-5345.2,True
36.0,0,PGAgain,953092.0,11577.0,-964.1,False
36.0,1,BPo,998973.5,9612.5,-50.3,False
36.0,2,OPA_SUMo,1071624.5,877.0,1396.6,False
36.0,3,SUMo,1071624.5,667.0,1396.6,False
36.0,4,LPo,733022.5,180.5,-5346.9,True
48.0,0,PGAgain,953464.5,6418.0,-956.7,False
48.0,1,BPo,995635.5,4767.5,-116.8,False
48.0,2,OPA_SUMo,1082095.5,781.5,1605.1,False
48.0,3,SUMo,1081895.0,734.0,1601.1,False
48.0,4,LPo,733022.5,180.5,-5346.9,True
60.0,0,PGAgain,952834.5,4615.5,-969.2,False
60.0,1,BPo,994004.5,3833.0,-149.3,False
60.0,2,OPA_SUMo,1088867.0,877.0,1740.0,False
60.0,3,SUMo,1088609.0,819.5,1734.8,False
60.0,4,LPo,733079.5,161.5,-5345.8,True
72.0,0,PGAgain,953159.0,4901.5,-962.7,False
72.0,1,BPo,992727.0,4911.0,-174.7,False
72.0,2,OPA_SUMo,1093416.0,524.0,1830.6,False
72.0,3,SUMo,1093034.0,924.5,1823.0,False
72.0,4,LPo,733032.0,180.5,-5346.7,True
84.0,0,PGAgain,952987.5,4930.0,-966.2,False
84.0,1,BPo,991773.5,3032.5,-193.7,False
84.0,3,SUMo,1098327.5,629.0,1928.4,False
84.0,4,LPo,733032.0,190.0,-5346.7,True
96.0,0,PGAgain,952977.5,5006.0,-966.4,False
96.0,1,BPo,991325.0,4196.0,-202.6,False
96.0,2,OPA_SUMo,1099958.0,733.5,1960.9,False
96.0,3,SUMo,1099452.5,915.0,1950.8,False
96.0,4,LPo,733022.5,142.5,-5346.9,True
108.0,0,PGAgain,952920.5,5283.0,-967.5,False
108.0,1,BPo,990142.0,4376.5,-226.2,False
108.0,2,OPA_SUMo,1100759.0,724.5,1976.8,False
108.0,3,SUMo,1100263.0,571.5,1966.9,False
108.0,4,LPo,733013.0,152.0,-5347.1,True
120.0,0,PGAgain,952911.0,3843.0,-967.7,False
120.0,1,BPo,990123.0,4071.5,-226.6,False
120.0,2,OPA_SUMo,1101360.0,791.0,1988.8,False
120.0,4,LPo,733032.0,180.5,-5346.7,True
132.0,0,PGAgain,953053.5,4491.5,-964.8,False
132.0,1,BPo,989379.5,4234.0,-241.4,False
132.0,2,OPA_SUMo,1103686.5,677.0,2035.1,False
132.0,3,SUMo,1103171.5,629.0,2024.9,False
132.0,4,LPo,733060.5,133.0,-5346.2,True
144.0,0,PGAgain,953225.5,5235.5,-961.4,False
144.0,1,BPo,989541.5,4176.5,-238.2,False
144.0,2,OPA_SUMo,1103315.0,858.0,2027.7,False
144.0,3,SUMo,1102847.5,733.5,2018.4,False
144.0,4,LPo,733051.0,152.0,-5346.3,True
156.0,0,PGAgain,953225.5,4777.5,-961.4,False
156.0,1,BPo,989704.0,4806.0,-234.9,False
156.0,2,OPA_SUMo,1102981.0,791.0,2021.1,False
156.0,3,SUMo,1102504,782,2011.6,False
156.0,4,LPo,733146,133,-5344.5,True
168.0,0,PGAgain,953245.0,4253.0,-961.0,False
168.0,1,BPo,989427.0,3680.5,-240.4,False
168.0,2,OPA_SUMo,1104755.0,638.5,2056.4,False
168.0,3,SUMo,1104154.0,829.5,2044.4,False
168.0,4,LPo,733098.5,171.0,-5345.4,True
180.0,0,PGAgain,953540.5,5578.5,-955.1,False
180.0,1,BPo,989856.0,4653.5,-231.9,False
180.0,2,OPA_SUMo,1103944.0,1020.0,2040.2,False
180.0,3,SUMo,1103391.0,733.5,2029.2,False
180.0,4,LPo,733003.5,247.5,-5347.3,True
192.0,0,PGAgain,953340.0,4205.5,-959.1,False
192.0,1,BPo,989742.0,3499.5,-234.2,False
192.0,2,OPA_SUMo,1103410.0,734.0,2029.6,False
192.0,3,SUMo,1102885.5,829.0,2019.2,False
192.0,4,LPo,732993.5,219.0,-5347.5,True
204.0,0,PGAgain,953130.0,4500.5,-963.3,False
204.0,1,BPo,990237.5,7886.5,-224.3,False
204.0,2,OPA_SUMo,1103115.0,858.0,2023.7,False
204.0,3,SUMo,1102580.5,953.0,2013.1,False
204.0,4,LPo,732946.0,209.0,-5348.4,True
216.0,0,PGAgain,953187.5,11806.0,-962.2,False
216.0,1,BPo,990018.5,11949.0,-228.7,False
216.0,2,OPA_SUMo,1103010.0,1344.5,2021.6,False
216.0,3,SUMo,1102456.5,1239.5,2010.6,False
216.0,4,LPo,732955.5,247.5,-5348.3,True
228.0,0,PGAgain,953130.5,11711.0,-963.3,False
228.0,1,BPo,990266.5,11138.5,-223.7,False
228.0,2,OPA_SUMo,1102895.0,1058.0,2019.4,False
