t_s,idac2,momento,media_banco_uv,pp_banco_uv,real_mv,valido,clavado
173.6,-120,inmediato,1026287,534,493.7,True,False
344.3,-120,regimen,1046504,1182,896.3,True,False
346.5,-60,inmediato,1082878,1163,1620.7,True,False
517.2,-60,regimen,1083698,953,1637.0,True,False
519.4,0,inmediato,1107387,171,2108.8,False,True
690.0,0,regimen,1107368,114,2108.4,False,True
692.2,60,inmediato,1107349,114,2108.1,False,True
862.9,60,regimen,1107368,133,2108.4,False,True
865.1,120,inmediato,1107368,171,2108.4,False,True
1035.7,120,regimen,1107349,95,2108.1,False,True
