gain,strategy,pass,event_index,at,kind,message,codes,tau_s,channel,error_uv,pp_uv,spread_uv,data_json
24,coupled,False,0,2026-09-08T13:23:40,gain_start,"
Autocalibrando x24 desde cero (coupled)","[3, -45, 0, 0]",,,,,,"{""at"":""2026-09-08T13:23:40"",""kind"":""gain_start"",""message"":""\nAutocalibrando x24 desde cero (coupled)""}"
24,coupled,False,1,2026-09-08T13:24:52,observation,    estado neutro: PGAgain=-14.4mV BPo=+0.8mV OPA_SUMo=+48.1mV SUMo=+47.8mV LPo=-257.5mV,"[0, 0, 0, 0]",,0,-14397,1239,649,"{""at"":""2026-09-08T13:24:52"",""kind"":""observation"",""message"":""    estado neutro: PGAgain=-14.4mV BPo=+0.8mV OPA_SUMo=+48.1mV SUMo=+47.8mV LPo=-257.5mV"",""label"":""estado neutro"",""observation"":{""errors_uv"":{""0"":-14397,""1"":804,""2"":48069,""3"":47782,""4"":-257470},""pp_uv"":{""0"":1239,""1"":2975,""2"":629,""3"":648,""4"":95},""spread_uv"":{""0"":649,""1"":134,""2"":763,""3"":801,""4"":19},""samples"":[{""0"":{""mean_uv"":985145,""error_uv"":-14855,""pp_uv"":1487},""1"":{""mean_uv"":1000804,""error_uv"":804,""pp_uv"":2975},""2"":{""mean_uv"":1047630,""error_uv"":47630,""pp_uv"":438},""3"":{""mean_uv"":1047363,""error_uv"":47363,""pp_uv"":724},""4"":{""mean_uv"":742530,""error_uv"":-257470,""pp_uv"":133}},{""0"":{""mean_uv"":985603,""error_uv"":-14397,""pp_uv"":1239},""1"":{""mean_uv"":1000919,""error_uv"":919,""pp_uv"":3070},""2"":{""mean_uv"":1048069,""error_uv"":48069,""pp_uv"":648},""3"":{""mean_uv"":1047782,""error_uv"":47782,""pp_uv"":534},""4"":{""mean_uv"":742511,""error_uv"":-257489,""pp_uv"":95}},{""0"":{""mean_uv"":985794,""error_uv"":-14206,""pp_uv"":1144},""1"":{""mean_uv"":1000785,""error_uv"":785,""pp_uv"":2841},""2"":{""mean_uv"":1048393,""error_uv"":48393,""pp_uv"":629},""3"":{""mean_uv"":1048164,""error_uv"":48164,""pp_uv"":648},""4"":{""mean_uv"":742530,""error_uv"":-257470,""pp_uv"":95}}]},""codes"":[0,0,0,0]}"
24,coupled,False,1,2026-09-08T13:24:52,observation,    estado neutro: PGAgain=-14.4mV BPo=+0.8mV OPA_SUMo=+48.1mV SUMo=+47.8mV LPo=-257.5mV,"[0, 0, 0, 0]",,1,804,2975,134,"{""at"":""2026-09-08T13:24:52"",""kind"":""observation"",""message"":""    estado neutro: PGAgain=-14.4mV BPo=+0.8mV OPA_SUMo=+48.1mV SUMo=+47.8mV LPo=-257.5mV"",""label"":""estado neutro"",""observation"":{""errors_uv"":{""0"":-14397,""1"":804,""2"":48069,""3"":47782,""4"":-257470},""pp_uv"":{""0"":1239,""1"":2975,""2"":629,""3"":648,""4"":95},""spread_uv"":{""0"":649,""1"":134,""2"":763,""3"":801,""4"":19},""samples"":[{""0"":{""mean_uv"":985145,""error_uv"":-14855,""pp_uv"":1487},""1"":{""mean_uv"":1000804,""error_uv"":804,""pp_uv"":2975},""2"":{""mean_uv"":1047630,""error_uv"":47630,""pp_uv"":438},""3"":{""mean_uv"":1047363,""error_uv"":47363,""pp_uv"":724},""4"":{""mean_uv"":742530,""error_uv"":-257470,""pp_uv"":133}},{""0"":{""mean_uv"":985603,""error_uv"":-14397,""pp_uv"":1239},""1"":{""mean_uv"":1000919,""error_uv"":919,""pp_uv"":3070},""2"":{""mean_uv"":1048069,""error_uv"":48069,""pp_uv"":648},""3"":{""mean_uv"":1047782,""error_uv"":47782,""pp_uv"":534},""4"":{""mean_uv"":742511,""error_uv"":-257489,""pp_uv"":95}},{""0"":{""mean_uv"":985794,""error_uv"":-14206,""pp_uv"":1144},""1"":{""mean_uv"":1000785,""error_uv"":785,""pp_uv"":2841},""2"":{""mean_uv"":1048393,""error_uv"":48393,""pp_uv"":629},""3"":{""mean_uv"":1048164,""error_uv"":48164,""pp_uv"":648},""4"":{""mean_uv"":742530,""error_uv"":-257470,""pp_uv"":95}}]},""codes"":[0,0,0,0]}"
24,coupled,False,1,2026-09-08T13:24:52,observation,    estado neutro: PGAgain=-14.4mV BPo=+0.8mV OPA_SUMo=+48.1mV SUMo=+47.8mV LPo=-257.5mV,"[0, 0, 0, 0]",,2,48069,629,763,"{""at"":""2026-09-08T13:24:52"",""kind"":""observation"",""message"":""    estado neutro: PGAgain=-14.4mV BPo=+0.8mV OPA_SUMo=+48.1mV SUMo=+47.8mV LPo=-257.5mV"",""label"":""estado neutro"",""observation"":{""errors_uv"":{""0"":-14397,""1"":804,""2"":48069,""3"":47782,""4"":-257470},""pp_uv"":{""0"":1239,""1"":2975,""2"":629,""3"":648,""4"":95},""spread_uv"":{""0"":649,""1"":134,""2"":763,""3"":801,""4"":19},""samples"":[{""0"":{""mean_uv"":985145,""error_uv"":-14855,""pp_uv"":1487},""1"":{""mean_uv"":1000804,""error_uv"":804,""pp_uv"":2975},""2"":{""mean_uv"":1047630,""error_uv"":47630,""pp_uv"":438},""3"":{""mean_uv"":1047363,""error_uv"":47363,""pp_uv"":724},""4"":{""mean_uv"":742530,""error_uv"":-257470,""pp_uv"":133}},{""0"":{""mean_uv"":985603,""error_uv"":-14397,""pp_uv"":1239},""1"":{""mean_uv"":1000919,""error_uv"":919,""pp_uv"":3070},""2"":{""mean_uv"":1048069,""error_uv"":48069,""pp_uv"":648},""3"":{""mean_uv"":1047782,""error_uv"":47782,""pp_uv"":534},""4"":{""mean_uv"":742511,""error_uv"":-257489,""pp_uv"":95}},{""0"":{""mean_uv"":985794,""error_uv"":-14206,""pp_uv"":1144},""1"":{""mean_uv"":1000785,""error_uv"":785,""pp_uv"":2841},""2"":{""mean_uv"":1048393,""error_uv"":48393,""pp_uv"":629},""3"":{""mean_uv"":1048164,""error_uv"":48164,""pp_uv"":648},""4"":{""mean_uv"":742530,""error_uv"":-257470,""pp_uv"":95}}]},""codes"":[0,0,0,0]}"
24,coupled,False,1,2026-09-08T13:24:52,observation,    estado neutro: PGAgain=-14.4mV BPo=+0.8mV OPA_SUMo=+48.1mV SUMo=+47.8mV LPo=-257.5mV,"[0, 0, 0, 0]",,3,47782,648,801,"{""at"":""2026-09-08T13:24:52"",""kind"":""observation"",""message"":""    estado neutro: PGAgain=-14.4mV BPo=+0.8mV OPA_SUMo=+48.1mV SUMo=+47.8mV LPo=-257.5mV"",""label"":""estado neutro"",""observation"":{""errors_uv"":{""0"":-14397,""1"":804,""2"":48069,""3"":47782,""4"":-257470},""pp_uv"":{""0"":1239,""1"":2975,""2"":629,""3"":648,""4"":95},""spread_uv"":{""0"":649,""1"":134,""2"":763,""3"":801,""4"":19},""samples"":[{""0"":{""mean_uv"":985145,""error_uv"":-14855,""pp_uv"":1487},""1"":{""mean_uv"":1000804,""error_uv"":804,""pp_uv"":2975},""2"":{""mean_uv"":1047630,""error_uv"":47630,""pp_uv"":438},""3"":{""mean_uv"":1047363,""error_uv"":47363,""pp_uv"":724},""4"":{""mean_uv"":742530,""error_uv"":-257470,""pp_uv"":133}},{""0"":{""mean_uv"":985603,""error_uv"":-14397,""pp_uv"":1239},""1"":{""mean_uv"":1000919,""error_uv"":919,""pp_uv"":3070},""2"":{""mean_uv"":1048069,""error_uv"":48069,""pp_uv"":648},""3"":{""mean_uv"":1047782,""error_uv"":47782,""pp_uv"":534},""4"":{""mean_uv"":742511,""error_uv"":-257489,""pp_uv"":95}},{""0"":{""mean_uv"":985794,""error_uv"":-14206,""pp_uv"":1144},""1"":{""mean_uv"":1000785,""error_uv"":785,""pp_uv"":2841},""2"":{""mean_uv"":1048393,""error_uv"":48393,""pp_uv"":629},""3"":{""mean_uv"":1048164,""error_uv"":48164,""pp_uv"":648},""4"":{""mean_uv"":742530,""error_uv"":-257470,""pp_uv"":95}}]},""codes"":[0,0,0,0]}"
24,coupled,False,1,2026-09-08T13:24:52,observation,    estado neutro: PGAgain=-14.4mV BPo=+0.8mV OPA_SUMo=+48.1mV SUMo=+47.8mV LPo=-257.5mV,"[0, 0, 0, 0]",,4,-257470,95,19,"{""at"":""2026-09-08T13:24:52"",""kind"":""observation"",""message"":""    estado neutro: PGAgain=-14.4mV BPo=+0.8mV OPA_SUMo=+48.1mV SUMo=+47.8mV LPo=-257.5mV"",""label"":""estado neutro"",""observation"":{""errors_uv"":{""0"":-14397,""1"":804,""2"":48069,""3"":47782,""4"":-257470},""pp_uv"":{""0"":1239,""1"":2975,""2"":629,""3"":648,""4"":95},""spread_uv"":{""0"":649,""1"":134,""2"":763,""3"":801,""4"":19},""samples"":[{""0"":{""mean_uv"":985145,""error_uv"":-14855,""pp_uv"":1487},""1"":{""mean_uv"":1000804,""error_uv"":804,""pp_uv"":2975},""2"":{""mean_uv"":1047630,""error_uv"":47630,""pp_uv"":438},""3"":{""mean_uv"":1047363,""error_uv"":47363,""pp_uv"":724},""4"":{""mean_uv"":742530,""error_uv"":-257470,""pp_uv"":133}},{""0"":{""mean_uv"":985603,""error_uv"":-14397,""pp_uv"":1239},""1"":{""mean_uv"":1000919,""error_uv"":919,""pp_uv"":3070},""2"":{""mean_uv"":1048069,""error_uv"":48069,""pp_uv"":648},""3"":{""mean_uv"":1047782,""error_uv"":47782,""pp_uv"":534},""4"":{""mean_uv"":742511,""error_uv"":-257489,""pp_uv"":95}},{""0"":{""mean_uv"":985794,""error_uv"":-14206,""pp_uv"":1144},""1"":{""mean_uv"":1000785,""error_uv"":785,""pp_uv"":2841},""2"":{""mean_uv"":1048393,""error_uv"":48393,""pp_uv"":629},""3"":{""mean_uv"":1048164,""error_uv"":48164,""pp_uv"":648},""4"":{""mean_uv"":742530,""error_uv"":-257470,""pp_uv"":95}}]},""codes"":[0,0,0,0]}"
24,coupled,False,2,2026-09-08T13:25:03,observation,    base para estimar tau: PGAgain=-14.0mV BPo=+1.2mV OPA_SUMo=+49.0mV SUMo=+48.7mV LPo=-257.5mV,"[0, 0, 0, 0]",,0,-14016,1392,172,"{""at"":""2026-09-08T13:25:03"",""kind"":""observation"",""message"":""    base para estimar tau: PGAgain=-14.0mV BPo=+1.2mV OPA_SUMo=+49.0mV SUMo=+48.7mV LPo=-257.5mV"",""label"":""base para estimar tau"",""observation"":{""errors_uv"":{""0"":-14016,""1"":1243,""2"":49041,""3"":48736,""4"":-257470},""pp_uv"":{""0"":1392,""1"":2059,""2"":514,""3"":400,""4"":152},""spread_uv"":{""0"":172,""1"":248,""2"":553,""3"":477,""4"":134},""samples"":[{""0"":{""mean_uv"":986099,""error_uv"":-13901,""pp_uv"":1277},""1"":{""mean_uv"":1001148,""error_uv"":1148,""pp_uv"":2346},""2"":{""mean_uv"":1048774,""error_uv"":48774,""pp_uv"":667},""3"":{""mean_uv"":1048526,""error_uv"":48526,""pp_uv"":495},""4"":{""mean_uv"":742530,""error_uv"":-257470,""pp_uv"":133}},{""0"":{""mean_uv"":985927,""error_uv"":-14073,""pp_uv"":1525},""1"":{""mean_uv"":1001396,""error_uv"":1396,""pp_uv"":2021},""2"":{""mean_uv"":1049041,""error_uv"":49041,""pp_uv"":400},""3"":{""mean_uv"":1048736,""error_uv"":48736,""pp_uv"":381},""4"":{""mean_uv"":742454,""error_uv"":-257546,""pp_uv"":152}},{""0"":{""mean_uv"":985984,""error_uv"":-14016,""pp_uv"":1392},""1"":{""mean_uv"":1001243,""error_uv"":1243,""pp_uv"":2059},""2"":{""mean_uv"":1049327,""error_uv"":49327,""pp_uv"":514},""3"":{""mean_uv"":1049003,""error_uv"":49003,""pp_uv"":400},""4"":{""mean_uv"":742588,""error_uv"":-257412,""pp_uv"":152}}]},""codes"":[0,0,0,0]}"
24,coupled,False,2,2026-09-08T13:25:03,observation,    base para estimar tau: PGAgain=-14.0mV BPo=+1.2mV OPA_SUMo=+49.0mV SUMo=+48.7mV LPo=-257.5mV,"[0, 0, 0, 0]",,1,1243,2059,248,"{""at"":""2026-09-08T13:25:03"",""kind"":""observation"",""message"":""    base para estimar tau: PGAgain=-14.0mV BPo=+1.2mV OPA_SUMo=+49.0mV SUMo=+48.7mV LPo=-257.5mV"",""label"":""base para estimar tau"",""observation"":{""errors_uv"":{""0"":-14016,""1"":1243,""2"":49041,""3"":48736,""4"":-257470},""pp_uv"":{""0"":1392,""1"":2059,""2"":514,""3"":400,""4"":152},""spread_uv"":{""0"":172,""1"":248,""2"":553,""3"":477,""4"":134},""samples"":[{""0"":{""mean_uv"":986099,""error_uv"":-13901,""pp_uv"":1277},""1"":{""mean_uv"":1001148,""error_uv"":1148,""pp_uv"":2346},""2"":{""mean_uv"":1048774,""error_uv"":48774,""pp_uv"":667},""3"":{""mean_uv"":1048526,""error_uv"":48526,""pp_uv"":495},""4"":{""mean_uv"":742530,""error_uv"":-257470,""pp_uv"":133}},{""0"":{""mean_uv"":985927,""error_uv"":-14073,""pp_uv"":1525},""1"":{""mean_uv"":1001396,""error_uv"":1396,""pp_uv"":2021},""2"":{""mean_uv"":1049041,""error_uv"":49041,""pp_uv"":400},""3"":{""mean_uv"":1048736,""error_uv"":48736,""pp_uv"":381},""4"":{""mean_uv"":742454,""error_uv"":-257546,""pp_uv"":152}},{""0"":{""mean_uv"":985984,""error_uv"":-14016,""pp_uv"":1392},""1"":{""mean_uv"":1001243,""error_uv"":1243,""pp_uv"":2059},""2"":{""mean_uv"":1049327,""error_uv"":49327,""pp_uv"":514},""3"":{""mean_uv"":1049003,""error_uv"":49003,""pp_uv"":400},""4"":{""mean_uv"":742588,""error_uv"":-257412,""pp_uv"":152}}]},""codes"":[0,0,0,0]}"
24,coupled,False,2,2026-09-08T13:25:03,observation,    base para estimar tau: PGAgain=-14.0mV BPo=+1.2mV OPA_SUMo=+49.0mV SUMo=+48.7mV LPo=-257.5mV,"[0, 0, 0, 0]",,2,49041,514,553,"{""at"":""2026-09-08T13:25:03"",""kind"":""observation"",""message"":""    base para estimar tau: PGAgain=-14.0mV BPo=+1.2mV OPA_SUMo=+49.0mV SUMo=+48.7mV LPo=-257.5mV"",""label"":""base para estimar tau"",""observation"":{""errors_uv"":{""0"":-14016,""1"":1243,""2"":49041,""3"":48736,""4"":-257470},""pp_uv"":{""0"":1392,""1"":2059,""2"":514,""3"":400,""4"":152},""spread_uv"":{""0"":172,""1"":248,""2"":553,""3"":477,""4"":134},""samples"":[{""0"":{""mean_uv"":986099,""error_uv"":-13901,""pp_uv"":1277},""1"":{""mean_uv"":1001148,""error_uv"":1148,""pp_uv"":2346},""2"":{""mean_uv"":1048774,""error_uv"":48774,""pp_uv"":667},""3"":{""mean_uv"":1048526,""error_uv"":48526,""pp_uv"":495},""4"":{""mean_uv"":742530,""error_uv"":-257470,""pp_uv"":133}},{""0"":{""mean_uv"":985927,""error_uv"":-14073,""pp_uv"":1525},""1"":{""mean_uv"":1001396,""error_uv"":1396,""pp_uv"":2021},""2"":{""mean_uv"":1049041,""error_uv"":49041,""pp_uv"":400},""3"":{""mean_uv"":1048736,""error_uv"":48736,""pp_uv"":381},""4"":{""mean_uv"":742454,""error_uv"":-257546,""pp_uv"":152}},{""0"":{""mean_uv"":985984,""error_uv"":-14016,""pp_uv"":1392},""1"":{""mean_uv"":1001243,""error_uv"":1243,""pp_uv"":2059},""2"":{""mean_uv"":1049327,""error_uv"":49327,""pp_uv"":514},""3"":{""mean_uv"":1049003,""error_uv"":49003,""pp_uv"":400},""4"":{""mean_uv"":742588,""error_uv"":-257412,""pp_uv"":152}}]},""codes"":[0,0,0,0]}"
24,coupled,False,2,2026-09-08T13:25:03,observation,    base para estimar tau: PGAgain=-14.0mV BPo=+1.2mV OPA_SUMo=+49.0mV SUMo=+48.7mV LPo=-257.5mV,"[0, 0, 0, 0]",,3,48736,400,477,"{""at"":""2026-09-08T13:25:03"",""kind"":""observation"",""message"":""    base para estimar tau: PGAgain=-14.0mV BPo=+1.2mV OPA_SUMo=+49.0mV SUMo=+48.7mV LPo=-257.5mV"",""label"":""base para estimar tau"",""observation"":{""errors_uv"":{""0"":-14016,""1"":1243,""2"":49041,""3"":48736,""4"":-257470},""pp_uv"":{""0"":1392,""1"":2059,""2"":514,""3"":400,""4"":152},""spread_uv"":{""0"":172,""1"":248,""2"":553,""3"":477,""4"":134},""samples"":[{""0"":{""mean_uv"":986099,""error_uv"":-13901,""pp_uv"":1277},""1"":{""mean_uv"":1001148,""error_uv"":1148,""pp_uv"":2346},""2"":{""mean_uv"":1048774,""error_uv"":48774,""pp_uv"":667},""3"":{""mean_uv"":1048526,""error_uv"":48526,""pp_uv"":495},""4"":{""mean_uv"":742530,""error_uv"":-257470,""pp_uv"":133}},{""0"":{""mean_uv"":985927,""error_uv"":-14073,""pp_uv"":1525},""1"":{""mean_uv"":1001396,""error_uv"":1396,""pp_uv"":2021},""2"":{""mean_uv"":1049041,""error_uv"":49041,""pp_uv"":400},""3"":{""mean_uv"":1048736,""error_uv"":48736,""pp_uv"":381},""4"":{""mean_uv"":742454,""error_uv"":-257546,""pp_uv"":152}},{""0"":{""mean_uv"":985984,""error_uv"":-14016,""pp_uv"":1392},""1"":{""mean_uv"":1001243,""error_uv"":1243,""pp_uv"":2059},""2"":{""mean_uv"":1049327,""error_uv"":49327,""pp_uv"":514},""3"":{""mean_uv"":1049003,""error_uv"":49003,""pp_uv"":400},""4"":{""mean_uv"":742588,""error_uv"":-257412,""pp_uv"":152}}]},""codes"":[0,0,0,0]}"
