timestamp,elapsed_s,pga,pgaout,idac0,idac1,idac2,idac3,channel,mean_uv,error_uv,pp_uv
2026-09-08T12:42:10.333,6.099,50,24,0,0,0,0,0,985603,-14397,2422
2026-09-08T12:42:10.921,6.687,50,24,0,0,0,0,1,1007728,7728,2326
2026-09-08T12:42:11.509,7.275,50,24,0,0,0,0,2,1023025,23025,514
2026-09-08T12:42:12.092,7.857,50,24,0,0,0,0,3,1119556,119556,76
2026-09-08T12:42:12.674,8.439,50,24,0,0,0,0,4,743026,-256974,209
2026-09-08T12:42:15.260,11.025,50,24,0,0,0,0,0,985889,-14111,1907
2026-09-08T12:42:15.848,11.613,50,24,0,0,0,0,1,1006641,6641,3795
2026-09-08T12:42:16.435,12.201,50,24,0,0,0,0,2,1027317,27317,514
2026-09-08T12:42:17.019,12.784,50,24,0,0,0,0,3,1119518,119518,133
2026-09-08T12:42:17.602,13.367,50,24,0,0,0,0,4,743007,-256993,209
2026-09-08T12:42:22.243,18.008,50,24,0,0,8,0,0,985774,-14226,1564
2026-09-08T12:42:22.831,18.597,50,24,0,0,8,0,1,1005325,5325,3185
2026-09-08T12:42:23.417,19.183,50,24,0,0,8,0,2,1032066,32066,514
2026-09-08T12:42:24.001,19.767,50,24,0,0,8,0,3,1119575,119575,76
2026-09-08T12:42:24.585,20.35,50,24,0,0,8,0,4,743026,-256974,209
2026-09-08T12:42:27.173,22.939,50,24,0,0,8,0,0,986022,-13978,1201
2026-09-08T12:42:27.757,23.523,50,24,0,0,8,0,1,1004562,4562,2651
2026-09-08T12:42:28.339,24.105,50,24,0,0,8,0,2,1034927,34927,534
2026-09-08T12:42:28.922,24.688,50,24,0,0,8,0,3,1119556,119556,133
2026-09-08T12:42:29.506,25.271,50,24,0,0,8,0,4,742855,-257145,209
2026-09-08T12:42:34.145,29.91,50,24,0,0,16,0,0,986118,-13882,1468
