timestamp,elapsed_s,pga,pgaout,idac0,idac1,idac2,idac3,channel,mean_uv,error_uv,pp_uv
2026-09-08T08:50:00.495,6.073,50,24,0,0,0,0,0,986557,-13443,1621
2026-09-08T08:50:01.081,6.658,50,24,0,0,0,0,1,1011924,11924,3166
2026-09-08T08:50:01.665,7.242,50,24,0,0,0,0,2,1010189,10189,610
2026-09-08T08:50:02.250,7.827,50,24,0,0,0,0,3,1120090,120090,76
2026-09-08T08:50:02.833,8.41,50,24,0,0,0,0,4,743541,-256459,190
2026-09-08T08:50:05.417,10.995,50,24,0,0,0,0,0,987815,-12185,2059
2026-09-08T08:50:06.005,11.582,50,24,0,0,0,0,1,1010093,10093,2822
2026-09-08T08:50:06.591,12.168,50,24,0,0,0,0,2,1016807,16807,667
2026-09-08T08:50:07.174,12.751,50,24,0,0,0,0,3,1120128,120128,114
2026-09-08T08:50:07.758,13.335,50,24,0,0,0,0,4,743465,-256535,190
2026-09-08T08:50:12.399,17.977,50,24,0,0,4,0,0,987739,-12261,1392
2026-09-08T08:50:12.986,18.563,50,24,0,0,4,0,1,1008129,8129,2021
2026-09-08T08:50:13.572,19.149,50,24,0,0,4,0,2,1024055,24055,362
2026-09-08T08:50:14.155,19.732,50,24,0,0,4,0,3,1120128,120128,95
2026-09-08T08:50:14.739,20.316,50,24,0,0,4,0,4,743503,-256497,171
2026-09-08T08:50:17.324,22.901,50,24,0,0,4,0,0,987625,-12375,1678
2026-09-08T08:50:17.910,23.487,50,24,0,0,4,0,1,1006984,6984,4005
2026-09-08T08:50:18.495,24.072,50,24,0,0,4,0,2,1028347,28347,324
2026-09-08T08:50:19.079,24.656,50,24,0,0,4,0,3,1120109,120109,57
2026-09-08T08:50:19.663,25.24,50,24,0,0,4,0,4,743503,-256497,152
2026-09-08T08:50:24.302,29.879,50,24,0,0,8,0,0,987968,-12032,1449
2026-09-08T08:50:24.888,30.465,50,24,0,0,8,0,1,1005306,5306,2422
2026-09-08T08:50:25.475,31.053,50,24,0,0,8,0,2,1033077,33077,839
2026-09-08T08:50:26.059,31.636,50,24,0,0,8,0,3,1120090,120090,114
2026-09-08T08:50:26.642,32.219,50,24,0,0,8,0,4,743446,-256554,190
2026-09-08T08:50:29.226,34.804,50,24,0,0,8,0,0,987663,-12337,1487
2026-09-08T08:50:29.811,35.388,50,24,0,0,8,0,1,1004486,4486,2193
2026-09-08T08:50:30.396,35.973,50,24,0,0,8,0,2,1035804,35804,820
2026-09-08T08:50:30.978,36.555,50,24,0,0,8,0,3,1120128,120128,95
2026-09-08T08:50:31.563,37.14,50,24,0,0,8,0,4,743522,-256478,152
2026-09-08T08:50:36.201,41.778,50,24,0,0,16,0,0,987472,-12528,1907
2026-09-08T08:50:36.787,42.365,50,24,0,0,16,0,1,1003627,3627,2822
2026-09-08T08:50:37.375,42.953,50,24,0,0,16,0,2,1038970,38970,400
2026-09-08T08:50:37.960,43.538,50,24,0,0,16,0,3,1120128,120128,95
2026-09-08T08:50:38.543,44.12,50,24,0,0,16,0,4,743541,-256459,171
2026-09-08T08:50:41.127,46.704,50,24,0,0,16,0,0,987377,-12623,4386
2026-09-08T08:50:41.713,47.29,50,24,0,0,16,0,1,1003303,3303,3147
2026-09-08T08:50:42.299,47.876,50,24,0,0,16,0,2,1040859,40859,324
2026-09-08T08:50:42.883,48.461,50,24,0,0,16,0,3,1120128,120128,133
2026-09-08T08:50:43.467,49.044,50,24,0,0,16,0,4,743408,-256592,190
