timestamp,elapsed_s,pga,pgaout,idac0,idac1,idac2,idac3,channel,mean_uv,error_uv,pp_uv
2026-09-08T20:19:19.121,24.632,50,1,0,0,0,0,0,957546,-42454,18234
2026-09-08T20:19:19.745,25.255,50,1,0,0,0,0,1,993614,-6386,13198
2026-09-08T20:19:20.347,25.858,50,1,0,0,0,0,2,1105194,105194,1773
2026-09-08T20:19:20.953,26.463,50,1,0,0,0,0,3,1104602,104602,2098
2026-09-08T20:19:21.556,27.067,50,1,0,0,0,0,4,737476,-262524,286
2026-09-08T20:19:24.163,29.673,50,1,0,0,0,0,0,957698,-42302,12435
2026-09-08T20:19:24.767,30.278,50,1,0,0,0,0,1,993900,-6100,13828
2026-09-08T20:19:25.369,30.88,50,1,0,0,0,0,2,1104888,104888,1564
2026-09-08T20:19:25.973,31.484,50,1,0,0,0,0,3,1104316,104316,1697
2026-09-08T20:19:26.598,32.109,50,1,0,0,0,0,4,737380,-262620,228
2026-09-08T20:19:29.256,34.767,50,1,0,0,-4,0,0,957603,-42397,23574
2026-09-08T20:19:29.861,35.372,50,1,0,0,-4,0,1,994071,-5929,16536
2026-09-08T20:19:30.484,35.994,50,1,0,0,-4,0,2,1102542,102542,1163
2026-09-08T20:19:31.088,36.599,50,1,0,0,-4,0,3,1101989,101989,1564
2026-09-08T20:19:31.711,37.221,50,1,0,0,-4,0,4,737380,-262620,209
2026-09-08T20:19:34.317,39.828,50,1,0,0,-4,0,0,956535,-43465,25405
2026-09-08T20:19:34.919,40.43,50,1,0,0,-4,0,1,994777,-5223,19149
2026-09-08T20:19:35.525,41.036,50,1,0,0,-4,0,2,1102333,102333,1449
2026-09-08T20:19:36.130,41.641,50,1,0,0,-4,0,3,1101779,101779,934
2026-09-08T20:19:36.734,42.245,50,1,0,0,-4,0,4,737457,-262543,228
2026-09-08T20:19:39.391,44.902,50,1,0,0,4,0,0,957984,-42016,19264
2026-09-08T20:19:39.994,45.505,50,1,0,0,4,0,1,994186,-5814,20828
2026-09-08T20:19:40.617,46.128,50,1,0,0,4,0,2,1106433,106433,2288
2026-09-08T20:19:41.223,46.733,50,1,0,0,4,0,3,1105842,105842,1907
2026-09-08T20:19:41.829,47.34,50,1,0,0,4,0,4,737438,-262562,209
2026-09-08T20:19:44.436,49.947,50,1,0,0,4,0,0,958309,-41691,7781
2026-09-08T20:19:45.040,50.551,50,1,0,0,4,0,1,994968,-5032,13580
2026-09-08T20:19:45.646,51.157,50,1,0,0,4,0,2,1106319,106319,2098
2026-09-08T20:19:46.272,51.783,50,1,0,0,4,0,3,1105670,105670,2117
2026-09-08T20:19:46.877,52.388,50,1,0,0,4,0,4,737419,-262581,247
2026-09-08T20:19:49.534,55.045,50,1,0,0,0,0,0,957183,-42817,26702
2026-09-08T20:19:50.137,55.648,50,1,0,0,0,0,1,994682,-5318,18692
2026-09-08T20:19:50.741,56.252,50,1,0,0,0,0,2,1103992,103992,1544
2026-09-08T20:19:51.347,56.858,50,1,0,0,0,0,3,1103458,103458,820
2026-09-08T20:19:51.951,57.461,50,1,0,0,0,0,4,737419,-262581,133
2026-09-08T20:19:54.555,60.066,50,1,0,0,0,0,0,959701,-40299,18959
2026-09-08T20:19:55.160,60.671,50,1,0,0,0,0,1,994739,-5261,20332
2026-09-08T20:19:55.762,61.273,50,1,0,0,0,0,2,1103858,103858,2079
2026-09-08T20:19:56.369,61.879,50,1,0,0,0,0,3,1103324,103324,1850
2026-09-08T20:19:56.973,62.483,50,1,0,0,0,0,4,737380,-262620,171
