timestamp,elapsed_s,pga,pgaout,idac0,idac1,idac2,idac3,channel,mean_uv,error_uv,pp_uv
2026-09-08T08:23:49.351,5.072,50,24,0,0,0,0,0,985431,-14569,2479
2026-09-08T08:23:49.941,5.662,50,24,0,0,0,0,1,999832,-168,3452
2026-09-08T08:23:50.529,6.25,50,24,0,0,0,0,2,1047801,47801,667
2026-09-08T08:23:51.113,6.835,50,24,0,0,0,0,3,1119422,119422,114
2026-09-08T08:23:51.696,7.418,50,24,0,0,0,0,4,742893,-257107,152
2026-09-08T08:23:55.337,11.058,50,24,0,0,16,0,0,986576,-13424,2498
2026-09-08T08:23:55.924,11.645,50,24,0,0,16,0,1,999851,-149,3910
2026-09-08T08:23:56.511,12.232,50,24,0,0,16,0,2,1048259,48259,686
2026-09-08T08:23:57.094,12.815,50,24,0,0,16,0,3,1119441,119441,114
2026-09-08T08:23:57.677,13.398,50,24,0,0,16,0,4,742969,-257031,114
2026-09-08T08:24:01.317,17.038,50,24,0,0,24,0,0,986595,-13405,2098
2026-09-08T08:24:01.905,17.626,50,24,0,0,24,0,1,999927,-73,3051
2026-09-08T08:24:02.493,18.215,50,24,0,0,24,0,2,1048641,48641,610
2026-09-08T08:24:03.077,18.798,50,24,0,0,24,0,3,1119461,119461,95
2026-09-08T08:24:03.660,19.381,50,24,0,0,24,0,4,742988,-257012,171
2026-09-08T08:24:07.303,23.024,50,24,0,0,32,0,0,986747,-13253,2326
2026-09-08T08:24:07.891,23.612,50,24,0,0,32,0,1,999565,-435,2994
2026-09-08T08:24:08.475,24.196,50,24,0,0,32,0,2,1048889,48889,553
2026-09-08T08:24:09.057,24.778,50,24,0,0,32,0,3,1119422,119422,114
2026-09-08T08:24:09.640,25.361,50,24,0,0,32,0,4,742912,-257088,171
2026-09-08T08:24:13.276,28.997,50,24,0,0,40,0,0,986690,-13310,1945
2026-09-08T08:24:13.863,29.585,50,24,0,0,40,0,1,999698,-302,3433
2026-09-08T08:24:14.450,30.171,50,24,0,0,40,0,2,1049137,49137,476
2026-09-08T08:24:15.034,30.755,50,24,0,0,40,0,3,1119441,119441,152
2026-09-08T08:24:15.618,31.339,50,24,0,0,40,0,4,742969,-257031,133
2026-09-08T08:24:19.257,34.978,50,24,0,0,48,0,0,987014,-12986,1735
2026-09-08T08:24:19.846,35.567,50,24,0,0,48,0,1,999641,-359,3376
2026-09-08T08:24:20.433,36.154,50,24,0,0,48,0,2,1049289,49289,743
2026-09-08T08:24:21.017,36.738,50,24,0,0,48,0,3,1119441,119441,133
2026-09-08T08:24:21.602,37.323,50,24,0,0,48,0,4,742931,-257069,152
