elapsed_s,phase,stage,code,channel,mean_bank_uv,error_bank_uv,error_real_mv,pp_bank_uv,valid,clavado
3.831104399985634,espera estabilidad,1,0,1,996379,-5121,-101.9882997,2746,True,False
7.2645147999865,espera estabilidad,1,0,1,994958,-6542,-130.2885094,2555,True,False
10.700256699987222,espera estabilidad,1,0,1,993985,-7515,-149.66648550000002,4481,True,False
14.133134400006384,espera estabilidad,1,0,1,993203,-8297,-165.24056290000001,3690,True,False
17.564929299987853,espera estabilidad,1,0,1,992765,-8735,-173.96363950000003,2975,True,False
21.846568099979777,fase1 inicial,0,0,0,951366,-50134,-998.4537038,4024,True,False
22.944417599996086,fase1 inicial,1,0,1,991439,-10061,-200.37185770000002,3223,True,False
23.59507849998772,fase1 inicial,2,0,2,1095561,94061,1873.2906577,610,True,False
24.24408959998982,fase1 inicial,3,0,3,1095314,93814,1868.3714798,534,True,False
24.89155919998302,fase1 inicial,3,0,4,731277,-270223,-5381.6802011,152,False,True
25.32589989999542,ABBA precheck IDAC0,0,0,0,951585,-49915,-994.0921655,3576,True,False
25.813547700003255,ABBA A1 IDAC0,0,0,0,952071,-49429,-984.4131353000001,3709,True,False
27.802799299999606,ABBA B1 IDAC0,0,2,0,957927,-43573,-867.7867961000001,3023,True,False
28.288680600002408,ABBA B2 IDAC0,0,2,0,957869,-43631,-868.9419067,3003,True,False
30.275182099983795,ABBA A2 IDAC0,0,0,0,951547,-49953,-994.8489621,3737,True,False
30.760821599978954,ABBA A1 IDAC0,0,0,0,951928,-49572,-987.2610804000001,4443,True,False
32.747881899995264,ABBA B1 IDAC0,0,4,0,963067,-38433,-765.4200981,2431,True,False
33.23337040000479,ABBA B2 IDAC0,0,4,0,963105,-38395,-764.6633015000001,2688,True,False
35.22293129999889,ABBA A2 IDAC0,0,0,0,951728,-49772,-991.2442204000001,3642,True,False
35.71133419999387,ABBA precheck IDAC1,1,0,1,990838,-10662,-212.3411934,3213,True,False
36.20002399999066,ABBA A1 IDAC1,1,0,1,991115,-10385,-206.82454450000003,3175,True,False
38.190030199999455,ABBA B1 IDAC1,1,2,1,990810,-10690,-212.89883300000002,3108,True,False
38.6756598999782,ABBA B2 IDAC1,1,2,1,990733,-10767,-214.4323419,3251,True,False
40.66622159999679,ABBA A2 IDAC1,1,0,1,990133,-11367,-226.38176190000001,2717,True,False
41.15175379998982,ABBA A1 IDAC1,1,0,1,989904,-11596,-230.9424572,3013,True,False
43.14046480000252,ABBA B1 IDAC1,1,4,1,990495,-11005,-219.1722785,2679,True,False
43.62721169998986,ABBA B2 IDAC1,1,4,1,990905,-10595,-211.0068415,2975,True,False
45.61702730000252,ABBA A2 IDAC1,1,0,1,989484,-12016,-239.30705120000002,2994,True,False
46.2361333000008,medición tau BP,0,4,1,980052,-21448,-427.15193360000006,2469,True,False
49.67256879998604,medición tau BP,0,4,1,980138,-21362,-425.43918340000005,3489,True,False
53.108063499996206,medición tau BP,0,4,1,980587,-20913,-416.49703410000006,2965,True,False
56.54120300000068,medición tau BP,0,4,1,981158,-20342,-405.1251694,2355,True,False
59.976946299982956,medición tau BP,0,4,1,981645,-19855,-395.42622350000005,2164,True,False
63.413923599990085,medición tau BP,0,4,1,982332,-19168,-381.74413760000004,2212,True,False
66.84826729999622,medición tau BP,0,4,1,982704,-18796,-374.3354972,2460,True,False
70.28410119999899,medición tau BP,0,4,1,983028,-18472,-367.88281040000004,2393,True,False
73.72060810000403,medición tau BP,0,4,1,983657,-17843,-355.35583510000004,3366,True,False
77.15739290000056,medición tau BP,0,4,1,983781,-17719,-352.8862883,2431,True,False
80.59162900000229,medición tau BP,0,4,1,984353,-17147,-341.49450790000003,2822,True,False
