timestamp,elapsed_s,cycle,index,idac3,channel,tap,bank_uv,physical_v,pp_bank_uv,adc_ok
2026-09-10T08:43:52.909,20.455,1,0,-128,2,OPA_SUMo,938053,1.14848,1945,1
2026-09-10T08:43:53.495,21.041,1,0,-128,3,SUMo,937614,1.13974,1087,1
2026-09-10T08:43:54.082,21.628,1,0,-128,4,LPo,730991,-2.9753,152,1
2026-09-10T08:43:57.725,25.271,1,1,24,2,OPA_SUMo,933322,1.05426,2307,1
2026-09-10T08:44:02.224,29.769,1,1,24,3,SUMo,933685,1.06149,1296,1
2026-09-10T08:44:04.921,32.467,1,1,24,4,LPo,1106109,4.49544,114,1
2026-09-10T08:44:08.581,36.127,1,2,24,2,OPA_SUMo,933532,1.05844,1354,1
2026-09-10T08:44:09.168,36.714,1,2,24,3,SUMo,934848,1.08465,1487,1
2026-09-10T08:44:09.775,37.321,1,2,24,4,LPo,1106090,4.49506,114,1
2026-09-10T08:44:13.416,40.962,1,3,24,2,OPA_SUMo,934848,1.08465,1201,1
2026-09-10T08:44:14.003,41.549,1,3,24,3,SUMo,936050,1.10859,877,1
2026-09-10T08:44:14.610,42.156,1,3,24,4,LPo,1106071,4.49468,76,1
2026-09-10T08:44:18.250,45.796,1,4,24,2,OPA_SUMo,935916,1.10592,1277,1
2026-09-10T08:44:18.837,46.383,1,4,24,3,SUMo,936965,1.12681,953,1
2026-09-10T08:44:19.424,46.97,1,4,24,4,LPo,1106090,4.49506,95,1
2026-09-10T08:44:23.065,50.611,1,5,24,2,OPA_SUMo,936775,1.12303,1296,1
2026-09-10T08:44:23.652,51.198,1,5,24,3,SUMo,937690,1.14125,896,1
2026-09-10T08:44:24.259,51.805,1,5,24,4,LPo,1106109,4.49544,133,1
2026-09-10T08:44:27.901,55.447,1,6,24,2,OPA_SUMo,937461,1.13669,1182,1
2026-09-10T08:44:28.488,56.033,1,6,24,3,SUMo,938396,1.15531,1029,1
2026-09-10T08:44:29.095,56.641,1,6,24,4,LPo,1106090,4.49506,76,1
2026-09-10T08:44:32.736,60.282,1,7,24,2,OPA_SUMo,937862,1.14468,1373,1
2026-09-10T08:44:33.323,60.869,1,7,24,3,SUMo,938644,1.16025,1029,1
2026-09-10T08:44:33.931,61.477,1,7,24,4,LPo,1106109,4.49544,133,1
2026-09-10T08:44:37.572,65.118,1,8,24,2,OPA_SUMo,938243,1.15227,1049,1
2026-09-10T08:44:38.158,65.704,1,8,24,3,SUMo,939254,1.1724,1125,1
2026-09-10T08:44:38.765,66.311,1,8,24,4,LPo,1106128,4.49581,76,1
2026-09-10T08:44:42.404,69.95,1,9,24,2,OPA_SUMo,938835,1.16406,991,1
2026-09-10T08:44:42.992,70.537,1,9,24,3,SUMo,939884,1.18495,858,1
2026-09-10T08:44:43.599,71.145,1,9,24,4,LPo,1106090,4.49506,114,1
2026-09-10T08:44:47.239,74.784,1,10,24,2,OPA_SUMo,939407,1.17545,667,1
2026-09-10T08:44:47.825,75.37,1,10,24,3,SUMo,940303,1.19329,705,1
2026-09-10T08:44:48.411,75.957,1,10,24,4,LPo,1106090,4.49506,114,1
2026-09-10T08:44:52.050,79.596,1,11,24,2,OPA_SUMo,939769,1.18266,1049,1
2026-09-10T08:44:52.635,80.181,1,11,24,3,SUMo,940513,1.19747,762,1
2026-09-10T08:44:53.243,80.788,1,11,24,4,LPo,1106090,4.49506,95,1
2026-09-10T08:44:56.882,84.428,1,12,24,2,OPA_SUMo,940036,1.18797,1583,1
2026-09-10T08:44:57.469,85.015,1,12,24,3,SUMo,940933,1.20584,1354,1
2026-09-10T08:44:58.077,85.622,1,12,24,4,LPo,1106071,4.49468,95,1
2026-09-10T08:45:01.715,89.261,1,13,83,2,OPA_SUMo,940132,1.18989,1506,1
2026-09-10T08:45:02.302,89.848,1,13,83,3,SUMo,941181,1.21078,896,1
2026-09-10T08:45:02.910,90.455,1,13,83,4,LPo,1106090,4.49506,114,1
2026-09-10T08:45:06.567,94.112,1,14,-40,2,OPA_SUMo,940380,1.19483,1277,1
2026-09-10T08:45:07.153,94.699,1,14,-40,3,SUMo,941219,1.21154,991,1
2026-09-10T08:45:07.760,95.306,1,14,-40,4,LPo,1106147,4.49619,95,1
2026-09-10T08:45:11.400,98.946,1,15,-40,2,OPA_SUMo,939216,1.17164,820,1
2026-09-10T08:45:11.984,99.529,1,15,-40,3,SUMo,938835,1.16406,1125,1
2026-09-10T08:45:12.569,100.115,1,15,-40,4,LPo,731010,-2.97492,114,1
2026-09-10T08:45:16.210,103.755,1,16,-40,2,OPA_SUMo,934505,1.07782,915,1
2026-09-10T08:45:16.812,104.357,1,16,-40,3,SUMo,934028,1.06832,1182,1
2026-09-10T08:45:17.419,104.965,1,16,-40,4,LPo,731029,-2.97455,133,1
2026-09-10T08:45:21.059,108.605,1,17,-40,2,OPA_SUMo,930175,0.99159,1525,1
2026-09-10T08:45:21.646,109.192,1,17,-40,3,SUMo,929718,0.98248,1430,1
2026-09-10T08:45:22.251,109.797,1,17,-40,4,LPo,730953,-2.97606,171,1
2026-09-10T08:45:25.890,113.435,1,18,-40,2,OPA_SUMo,926322,0.91485,1354,1
