t_s,pasada,idac0,idac1,idac2,fase,ch,tap,media_banco_uv,pp_banco_uv,ok,valido,clavado,real_mv_vs_vref
209.992,1,19,-255,0,referencia,0,PGAgain,1000270.0,18672.0,True,True,False,-24.496311000000365
210.642,1,19,-255,0,referencia,1,BPo,957832.0,32806.0,True,True,False,-869.6787876000002
211.292,1,19,-255,0,referencia,2,OPA_SUMo,1023197.0,2307.0,True,True,False,432.11094290000005
211.941,1,19,-255,0,referencia,3,SUMo,1022891.0,1926.0,True,True,False,426.0167386999993
212.591,1,19,-255,0,referencia,4,LPo,961246.0,8850.0,True,True,False,-801.6865878000004
214.796,1,19,-255,-255,malla,0,PGAgain,999412.0,23193.0,True,True,False,-41.58398159999931
215.448,1,19,-255,-255,malla,1,BPo,958137.0,30937.0,True,True,False,-863.6044991000011
216.098,1,19,-255,-255,malla,2,OPA_SUMo,956192.0,2346.0,True,True,False,-902.3405356
216.749,1,19,-255,-255,malla,3,SUMo,956497.0,2346.0,True,True,False,-896.2662471000009
217.399,1,19,-255,-255,malla,4,LPo,1106643.0,209.0,True,True,True,2093.9964451000005
219.602,1,19,-255,-128,malla,0,PGAgain,999736.0,21381.0,True,True,False,-35.1312948000002
220.25,1,19,-255,-128,malla,1,BPo,957984.0,22068.0,True,True,False,-866.6516011999993
224.419,1,19,-255,-128,malla,2,OPA_SUMo,989112.0,2040.0,True,True,False,-246.7156916000007
225.682,1,19,-255,-128,malla,3,SUMo,988426.0,1640.0,True,True,False,-260.37786179999915
226.33,1,19,-255,-128,malla,4,LPo,1106643.0,171.0,True,True,True,2093.9964451000005
228.533,1,19,-255,-64,malla,0,PGAgain,1000175.0,19283.0,True,True,False,-26.388302500000908
229.185,1,19,-255,-64,malla,1,BPo,958976.0,24909.0,True,True,False,-846.8952268
229.834,1,19,-255,-64,malla,2,OPA_SUMo,1004085.0,1869.0,True,True,False,51.482084500000724
230.485,1,19,-255,-64,malla,3,SUMo,1004047.0,1697.0,True,True,False,50.72528790000051
234.633,1,19,-255,-64,malla,4,LPo,1041355.0,8888.0,True,True,False,793.7402235000004
237.433,1,19,-255,0,malla,0,PGAgain,1000289.0,12340.0,True,True,False,-24.117912700000254
238.082,1,19,-255,0,malla,1,BPo,958709.0,25482.0,True,True,False,-852.2127187000011
