t_s,pasada,idac0,idac1,idac2,fase,posicion,asentamiento_incompleto,ch,tap,media_banco_uv,pp_banco_uv,ok,valido,clavado,real_mv_vs_vref
101.805,0,17,0,0,abba_idac0,A1,False,0,PGAgain,996456.0,4653.0,True,True,False,-100.45479079999966
102.454,0,17,0,0,abba_idac0,A1,False,2,OPA_SUMo,1009883.0,724.0,True,True,False,166.95331310000077
104.659,0,21,0,0,abba_idac0,B1,False,0,PGAgain,1006240.0,3356.0,True,True,False,94.40041800000019
105.307,0,21,0,0,abba_idac0,B1,False,2,OPA_SUMo,1001529.0,839.0,True,True,False,0.5775552999999276
107.508,0,21,0,0,abba_idac0,B2,False,0,PGAgain,1006546.0,4310.0,True,True,False,100.49462220000099
108.16,0,21,0,0,abba_idac0,B2,False,2,OPA_SUMo,992469.0,724.0,True,True,False,-179.858686699999
110.359,0,17,0,0,abba_idac0,A2,False,0,PGAgain,996360.0,4253.0,True,True,False,-102.36669799999973
111.006,0,17,0,0,abba_idac0,A2,False,2,OPA_SUMo,986709.0,553.0,True,True,False,-294.5731187000011
113.205,0,15,0,0,abba_idac0,A1,False,0,PGAgain,990924.0,11672.0,True,True,False,-210.62844320000045
113.854,0,15,0,0,abba_idac0,A1,False,2,OPA_SUMo,984477.0,1373.0,True,True,False,-339.0249611000005
116.056,0,23,0,0,abba_idac0,B1,False,0,PGAgain,1010608.0,12378.0,True,True,False,181.39219559999896
116.707,0,23,0,0,abba_idac0,B1,False,2,OPA_SUMo,977630.0,1506.0,True,True,False,-475.38775900000013
122.371,0,23,0,0,abba_idac0,B2,False,0,PGAgain,1011390.0,14553.0,True,True,False,196.96627299999975
123.636,0,23,0,0,abba_idac0,B2,False,2,OPA_SUMo,957126.0,1544.0,True,True,False,-883.7392718000006
125.838,0,15,0,0,abba_idac0,A2,False,0,PGAgain,991172.0,13580.0,True,True,False,-205.6893495999995
126.49,0,15,0,0,abba_idac0,A2,False,2,OPA_SUMo,955066.0,1926.0,True,True,False,-924.7656137999994
190.832,1,19,-255,0,referencia,,False,0,PGAgain,1000804.0,9727.0,True,True,False,-13.861327200000526
191.478,1,19,-255,0,referencia,,False,1,BPo,956707.0,17642.0,True,True,False,-892.0839501000002
195.64,1,19,-255,0,referencia,,False,2,OPA_SUMo,1026096.0,1182.0,True,True,False,489.8465572000001
196.898,1,19,-255,0,referencia,,False,3,SUMo,1024284.0,1239.0,True,True,False,453.75930880000215
197.526,1,19,-255,0,referencia,,False,4,LPo,732212.0,209.0,True,False,True,-5363.0590216
199.729,1,19,-255,-255,malla,,False,0,PGAgain,1000003.0,12302.0,True,True,False,-29.81380289999915
200.378,1,19,-255,-255,malla,,False,1,BPo,959224.0,14038.0,True,True,False,-841.9561331999992
201.024,1,19,-255,-255,malla,,False,2,OPA_SUMo,956497.0,1449.0,True,True,False,-896.2662471000009
201.674,1,19,-255,-255,malla,,False,3,SUMo,955924.0,1888.0,True,True,False,-907.6779432000005
202.322,1,19,-255,-255,malla,,False,4,LPo,732192.0,190.0,True,False,True,-5363.4573356
204.526,1,19,-255,-128,malla,,False,0,PGAgain,1000823.0,15735.0,True,True,False,-13.482928900000417
205.176,1,19,-255,-128,malla,,False,1,BPo,960311.0,12512.0,True,True,False,-820.3077672999993
205.826,1,19,-255,-128,malla,,False,2,OPA_SUMo,987911.0,1068.0,True,True,False,-270.6344473000011
206.476,1,19,-255,-128,malla,,False,3,SUMo,987491.0,1564.0,True,True,False,-278.99904130000033
207.122,1,19,-255,-128,malla,,False,4,LPo,732154.0,190.0,True,False,True,-5364.214132200001
209.325,1,19,-255,-64,malla,,False,0,PGAgain,1001167.0,12798.0,True,True,False,-6.631928099999403
209.973,1,19,-255,-64,malla,,False,1,BPo,960655.0,19569.0,True,True,False,-813.4567665000006
