elapsed_s,phase,stage,code,channel,mean_bank_uv,error_bank_uv,error_real_mv,pp_bank_uv,valid,clavado
1.864423099992564,espera estabilidad,1,0,1,990419,-11081,-220.6858717,9431,True,False
5.297937299998011,espera estabilidad,1,0,1,989551,-11949,-237.97269930000002,8163,True,False
8.734232499991776,espera estabilidad,1,0,1,989599,-11901,-237.0167457,8058,True,False
12.170800899999449,espera estabilidad,1,0,1,988979,-12521,-249.36447970000003,9574,True,False
12.824820300011197,fase1 inicial,0,0,0,952720,-48780,-971.487846,9860,True,False
17.102925999992294,fase1 inicial,1,0,1,988521,-12979,-258.4858703,9155,True,False
18.20354660000885,fase1 inicial,2,0,2,1105556,104056,2072.3480792,877,True,False
18.852736900007585,fase1 inicial,3,0,3,1105079,103579,2062.8482903000004,724,True,False
19.483493400010047,fase1 inicial,3,0,4,732002,-269498,-5367.241318599999,114,False,True
19.91856029999326,ABBA precheck IDAC0,0,0,0,952453,-49047,-976.8053379,12092,True,False
20.404169899993576,ABBA A1 IDAC0,0,0,0,952596,-48904,-973.9573928,12025,True,False
22.392784600000596,ABBA B1 IDAC0,0,2,0,958480,-43020,-856.773414,10051,True,False
22.878403300011996,ABBA B2 IDAC0,0,2,0,958061,-43439,-865.1180923000001,9431,True,False
24.867099600000074,ABBA A2 IDAC0,0,0,0,952443,-49057,-977.0044949,10032,True,False
25.355663299997104,ABBA A1 IDAC0,0,0,0,952853,-48647,-968.8390579000001,10433,True,False
27.344635399989784,ABBA B1 IDAC0,0,4,0,963439,-38061,-758.0114577,7991,True,False
27.83267999999225,ABBA B2 IDAC0,0,4,0,963468,-38032,-757.4339024,10347,True,False
29.821013700013282,ABBA A2 IDAC0,0,0,0,952539,-48961,-975.0925877000001,10022,True,False
30.310920899995835,ABBA precheck IDAC1,1,0,1,988893,-12607,-251.0772299,11644,True,False
30.797052799985977,ABBA A1 IDAC1,1,0,1,988721,-12779,-254.50273030000002,8249,True,False
32.7859763999877,ABBA B1 IDAC1,1,2,1,988855,-12645,-251.8340265,11643,True,False
33.27395189998788,ABBA B2 IDAC1,1,2,1,989141,-12359,-246.1381363,10194,True,False
35.26312029999099,ABBA A2 IDAC1,1,0,1,988864,-12636,-251.65478520000002,10137,True,False
35.75317829998676,ABBA A1 IDAC1,1,0,1,988473,-13027,-259.44182390000003,8506,True,False
37.739862799993716,ABBA B1 IDAC1,1,4,1,988940,-12560,-250.14119200000002,10032,True,False
38.22833049998735,ABBA B2 IDAC1,1,4,1,989274,-12226,-243.4893482,8640,True,False
40.21951250001439,ABBA A2 IDAC1,1,0,1,988092,-13408,-267.0297056,8802,True,False
40.846961300005205,medición tau BP,0,4,1,979041,-22459,-447.2867063,9164,True,False
44.282890700007556,medición tau BP,0,4,1,978450,-23050,-459.056885,8563,True,False
47.720969599991804,medición tau BP,0,4,1,979623,-21877,-435.6957689,8821,True,False
