timestamp,elapsed_s,pga,pgaout,idac0,idac1,idac2,idac3,channel,mean_uv,error_uv,pp_uv
2026-09-09T00:38:54.094,42.639,50,1,0,0,0,0,0,952091,-47909,2517
2026-09-09T00:38:54.678,43.223,50,1,0,0,0,0,1,989379,-10621,2574
2026-09-09T00:38:55.263,43.808,50,1,0,0,0,0,2,1002140,2140,553
2026-09-09T00:38:55.865,44.41,50,1,0,0,0,0,3,1001873,1873,438
2026-09-09T00:38:56.448,44.993,50,1,0,0,0,0,4,847473,-152527,3662
2026-09-09T00:38:59.051,47.596,50,1,0,0,0,0,0,951919,-48081,2918
2026-09-09T00:38:59.636,48.181,50,1,0,0,0,0,1,989551,-10449,3471
2026-09-09T00:39:00.220,48.765,50,1,0,0,0,0,2,1002349,2349,534
2026-09-09T00:39:00.821,49.366,50,1,0,0,0,0,3,1001853,1853,572
2026-09-09T00:39:01.423,49.968,50,1,0,0,0,0,4,847816,-152184,2632
