t_s,ciclo,ganancia,ch,tap,banco_uv,pp_uv,real_mv_vs_vref,valido,clavado,codigos
313.0,1,1,0,PGAgain,980033,2631,-427.5,True,False,"11,-30,0,0"
313.4,1,1,1,BPo,981721,2899,-393.9,True,False,"11,-30,0,0"
313.9,1,1,2,OPA_SUMo,1022271,657,413.7,True,False,"11,-30,0,0"
314.3,1,1,3,SUMo,1021813,495,404.5,True,False,"11,-30,0,0"
314.7,1,1,4,LPo,731515,161,-5376.9,False,True,"11,-30,0,0"
319.6,1,2,0,PGAgain,885934,7457,-2301.6,True,False,"11,-30,0,0"
320.0,1,2,1,BPo,1015024,4376,269.3,True,False,"11,-30,0,0"
320.5,1,2,2,OPA_SUMo,1024694,772,461.9,True,False,"11,-30,0,0"
320.9,1,2,3,SUMo,1080732,2097,1578.0,True,False,"11,-30,0,0"
321.4,1,2,4,LPo,711135,285,-5782.8,False,True,"11,-30,0,0"
326.2,1,4,0,PGAgain,935239,3671,-1319.6,True,False,"11,-30,0,0"
326.7,1,4,1,BPo,992660,3423,-176.1,True,False,"11,-30,0,0"
327.1,1,4,2,OPA_SUMo,1056613,572,1097.6,True,False,"11,-30,0,0"
327.5,1,4,3,SUMo,1094150,104,1845.2,True,True,"11,-30,0,0"
328.0,1,4,4,LPo,720977,161,-5586.8,False,True,"11,-30,0,0"
332.9,1,8,0,PGAgain,958928,2202,-847.9,True,False,"11,-30,0,0"
337.0,1,8,1,BPo,978746,2565,-453.2,True,False,"11,-30,0,0"
337.9,1,8,2,OPA_SUMo,1066646,543,1297.4,True,False,"11,-30,0,0"
338.3,1,8,3,SUMo,1099442,114,1950.6,True,True,"11,-30,0,0"
338.7,1,8,4,LPo,726003,161,-5486.7,False,True,"11,-30,0,0"
343.6,1,16,0,PGAgain,969009,2059,-647.1,True,False,"11,-30,0,0"
344.0,1,16,1,BPo,974826,2212,-531.2,True,False,"11,-30,0,0"
344.5,1,16,2,OPA_SUMo,1064052,514,1245.8,True,False,"11,-30,0,0"
344.9,1,16,3,SUMo,1102075,133,2003.0,True,True,"11,-30,0,0"
345.4,1,16,4,LPo,728635,123,-5434.3,False,True,"11,-30,0,0"
350.2,1,24,0,PGAgain,966214,1697,-702.7,True,False,"11,-30,0,0"
350.7,1,24,1,BPo,978193,2383,-464.2,True,False,"11,-30,0,0"
351.1,1,24,2,OPA_SUMo,1059112,886,1147.4,True,False,"11,-30,0,0"
351.5,1,24,3,SUMo,1101016,95,1981.9,True,True,"11,-30,0,0"
352.0,1,24,4,LPo,727586,152,-5455.2,False,True,"11,-30,0,0"
356.9,1,32,0,PGAgain,969276,1945,-641.8,True,False,"11,-30,0,0"
357.3,1,32,1,BPo,976533,3347,-497.2,True,False,"11,-30,0,0"
357.7,1,32,2,OPA_SUMo,1055802,781,1081.5,True,False,"11,-30,0,0"
358.2,1,32,3,SUMo,1101884,104,1999.2,True,True,"11,-30,0,0"
358.6,1,32,4,LPo,728511,133,-5436.8,False,True,"11,-30,0,0"
363.5,1,50,0,PGAgain,966252,1945,-702.0,True,False,"11,-30,0,0"
363.9,1,50,1,BPo,979251,2564,-443.1,True,False,"11,-30,0,0"
364.4,1,50,2,OPA_SUMo,1052464,619,1015.0,True,False,"11,-30,0,0"
364.8,1,50,3,SUMo,1101197,95,1985.5,True,True,"11,-30,0,0"
365.2,1,50,4,LPo,727796,171,-5451.0,False,True,"11,-30,0,0"
370.1,2,1,0,PGAgain,980758,1973,-413.1,True,False,"11,-30,0,0"
370.6,2,1,1,BPo,975255,2546,-522.7,True,False,"11,-30,0,0"
371.0,2,1,2,OPA_SUMo,1048907,390,944.1,True,False,"11,-30,0,0"
371.4,2,1,3,SUMo,1047887,524,923.8,True,False,"11,-30,0,0"
371.9,2,1,4,LPo,731477,228,-5377.7,False,True,"11,-30,0,0"
376.7,2,2,0,PGAgain,859984,5740,-2818.4,False,False,"11,-30,0,0"
377.2,2,2,1,BPo,1011619,2460,201.5,True,False,"11,-30,0,0"
377.6,2,2,2,OPA_SUMo,1055421,705,1073.9,True,False,"11,-30,0,0"
378.1,2,2,3,SUMo,1083840,123,1639.9,True,True,"11,-30,0,0"
378.5,2,2,4,LPo,711078,123,-5784.0,False,True,"11,-30,0,0"
383.4,2,4,0,PGAgain,934724,3509,-1329.9,True,False,"11,-30,0,0"
383.8,2,4,1,BPo,984677,3118,-335.0,True,False,"11,-30,0,0"
384.3,2,4,2,OPA_SUMo,1082668,800,1616.5,True,False,"11,-30,0,0"
384.7,2,4,3,SUMo,1094169,133,1845.6,True,True,"11,-30,0,0"
385.1,2,4,4,LPo,720977,142,-5586.8,False,True,"11,-30,0,0"
390.0,2,8,0,PGAgain,959338,2412,-839.7,True,False,"11,-30,0,0"
390.4,2,8,1,BPo,973577,3471,-556.1,True,False,"11,-30,0,0"
390.9,2,8,2,OPA_SUMo,1086139,743,1685.6,True,False,"11,-30,0,0"
391.3,2,8,3,SUMo,1099423,104,1950.2,True,True,"11,-30,0,0"
391.8,2,8,4,LPo,726070,123,-5485.4,False,True,"11,-30,0,0"
396.6,2,16,0,PGAgain,969085,2755,-645.6,True,False,"11,-30,0,0"
397.1,2,16,1,BPo,969781,3003,-631.7,True,False,"11,-30,0,0"
397.5,2,16,2,OPA_SUMo,1079616,772,1555.7,True,False,"11,-30,0,0"
397.9,2,16,3,SUMo,1102104,114,2003.6,True,True,"11,-30,0,0"
398.4,2,16,4,LPo,728654,180,-5433.9,False,True,"11,-30,0,0"
406.9,2,24,0,PGAgain,966253,2622,-702.0,True,False,"11,-30,0,0"
407.8,2,24,1,BPo,975446,3003,-518.9,True,False,"11,-30,0,0"
408.2,2,24,2,OPA_SUMo,1067781,752,1320.0,True,False,"11,-30,0,0"
408.7,2,24,3,SUMo,1101026,114,1982.1,True,True,"11,-30,0,0"
409.1,2,24,4,LPo,727643,228,-5454.1,False,True,"11,-30,0,0"
414.0,2,32,0,PGAgain,969295,2812,-641.4,True,False,"11,-30,0,0"
414.4,2,32,1,BPo,974902,3432,-529.7,True,False,"11,-30,0,0"
414.9,2,32,2,OPA_SUMo,1062679,629,1218.4,True,False,"11,-30,0,0"
415.3,2,32,3,SUMo,1101913,123,1999.8,True,True,"11,-30,0,0"
415.7,2,32,4,LPo,728501,161,-5437.0,False,True,"11,-30,0,0"
420.6,2,50,0,PGAgain,965757,2965,-711.8,True,False,"11,-30,0,0"
421.0,2,50,1,BPo,977325,3967,-481.5,True,False,"11,-30,0,0"
421.5,2,50,2,OPA_SUMo,1057891,667,1123.1,True,False,"11,-30,0,0"
421.9,2,50,3,SUMo,1101188,123,1985.4,True,True,"11,-30,0,0"
422.4,2,50,4,LPo,727806,171,-5450.8,False,True,"11,-30,0,0"
427.2,3,1,0,PGAgain,980500,2813,-418.2,True,False,"11,-30,0,0"
427.7,3,1,1,BPo,972947,3251,-568.7,True,False,"11,-30,0,0"
428.1,3,1,2,OPA_SUMo,1053046,657,1026.6,True,False,"11,-30,0,0"
428.6,3,1,3,SUMo,1052169,552,1009.1,True,False,"11,-30,0,0"
429.0,3,1,4,LPo,731572,133,-5375.8,False,True,"11,-30,0,0"
433.9,3,2,0,PGAgain,860538,5483,-2807.4,False,False,"11,-30,0,0"
434.3,3,2,1,BPo,1010723,3423,183.7,True,False,"11,-30,0,0"
434.7,3,2,2,OPA_SUMo,1059198,629,1149.1,True,False,"11,-30,0,0"
435.2,3,2,3,SUMo,1083821,133,1639.5,True,True,"11,-30,0,0"
435.6,3,2,4,LPo,711021,123,-5785.1,False,True,"11,-30,0,0"
440.5,3,4,0,PGAgain,934009,3852,-1344.1,True,False,"11,-30,0,0"
440.9,3,4,1,BPo,983486,3919,-358.8,True,False,"11,-30,0,0"
441.4,3,4,2,OPA_SUMo,1085424,800,1671.4,True,False,"11,-30,0,0"
441.8,3,4,3,SUMo,1094150,95,1845.2,True,True,"11,-30,0,0"
442.2,3,4,4,LPo,721034,161,-5585.7,False,True,"11,-30,0,0"
447.1,3,8,0,PGAgain,959539,3032,-835.7,True,False,"11,-30,0,0"
447.6,3,8,1,BPo,973081,3175,-566.0,True,False,"11,-30,0,0"
448.0,3,8,2,OPA_SUMo,1088313,962,1728.9,True,False,"11,-30,0,0"
448.4,3,8,3,SUMo,1099414,104,1950.0,True,True,"11,-30,0,0"
448.8,3,8,4,LPo,726108,190,-5484.6,False,True,"11,-30,0,0"
453.7,3,16,0,PGAgain,969400,2279,-639.3,True,False,"11,-30,0,0"
454.2,3,16,1,BPo,969686,2803,-633.6,True,False,"11,-30,0,0"
454.6,3,16,2,OPA_SUMo,1081361,590,1590.5,True,False,"11,-30,0,0"
455.0,3,16,3,SUMo,1102066,85,2002.8,True,True,"11,-30,0,0"
455.5,3,16,4,LPo,728588,133,-5435.2,False,True,"11,-30,0,0"
460.3,3,24,0,PGAgain,965899,2250,-709.0,True,False,"11,-30,0,0"
460.8,3,24,1,BPo,973691,2412,-553.8,True,False,"11,-30,0,0"
461.2,3,24,2,OPA_SUMo,1072664,457,1417.3,True,False,"11,-30,0,0"
461.7,3,24,3,SUMo,1101006,85,1981.7,True,True,"11,-30,0,0"
462.1,3,24,4,LPo,727662,152,-5453.7,False,True,"11,-30,0,0"
467.0,3,32,0,PGAgain,969629,2183,-634.7,True,False,"11,-30,0,0"
467.4,3,32,1,BPo,974282,2641,-542.1,True,False,"11,-30,0,0"
467.9,3,32,2,OPA_SUMo,1066503,495,1294.6,True,False,"11,-30,0,0"
468.3,3,32,3,SUMo,1101884,76,1999.2,True,True,"11,-30,0,0"
468.7,3,32,4,LPo,728454,142,-5437.9,False,True,"11,-30,0,0"
473.6,3,50,0,PGAgain,965852,2240,-710.0,True,False,"11,-30,0,0"
474.1,3,50,1,BPo,976285,2412,-502.2,True,False,"11,-30,0,0"
474.5,3,50,2,OPA_SUMo,1060952,466,1184.0,True,False,"11,-30,0,0"
474.9,3,50,3,SUMo,1101169,114,1985.0,True,True,"11,-30,0,0"
475.4,3,50,4,LPo,727786,123,-5451.2,False,True,"11,-30,0,0"
480.2,4,1,0,PGAgain,980052,1868,-427.2,True,False,"11,-30,0,0"
480.7,4,1,1,BPo,973128,3690,-565.0,True,False,"11,-30,0,0"
481.1,4,1,2,OPA_SUMo,1055583,676,1077.1,True,False,"11,-30,0,0"
481.6,4,1,3,SUMo,1054525,762,1056.0,True,False,"11,-30,0,0"
482.0,4,1,4,LPo,731572,152,-5375.8,False,True,"11,-30,0,0"
486.9,4,2,0,PGAgain,860748,5063,-2803.2,False,False,"11,-30,0,0"
487.3,4,2,1,BPo,1010341,2917,176.1,True,False,"11,-30,0,0"
487.8,4,2,2,OPA_SUMo,1061248,657,1189.9,True,False,"11,-30,0,0"
488.2,4,2,3,SUMo,1083793,104,1638.9,True,True,"11,-30,0,0"
488.6,4,2,4,LPo,711011,142,-5785.3,False,True,"11,-30,0,0"
493.5,4,4,0,PGAgain,933808,2889,-1348.1,True,False,"11,-30,0,0"
494.0,4,4,1,BPo,983342,4577,-361.6,True,False,"11,-30,0,0"
494.4,4,4,2,OPA_SUMo,1087169,543,1706.2,True,False,"11,-30,0,0"
494.8,4,4,3,SUMo,1094131,114,1844.8,True,True,"11,-30,0,0"
495.3,4,4,4,LPo,720986,133,-5586.6,False,True,"11,-30,0,0"
500.1,4,8,0,PGAgain,959129,2012,-843.8,True,False,"11,-30,0,0"
500.6,4,8,1,BPo,972785,2650,-571.9,True,False,"11,-30,0,0"
501.0,4,8,2,OPA_SUMo,1089715,505,1756.9,True,False,"11,-30,0,0"
501.5,4,8,3,SUMo,1099423,95,1950.2,True,True,"11,-30,0,0"
501.9,4,8,4,LPo,726041,180,-5486.0,False,True,"11,-30,0,0"
506.8,4,16,0,PGAgain,969505,2088,-637.2,True,False,"11,-30,0,0"
507.2,4,16,1,BPo,969018,3203,-646.9,True,False,"11,-30,0,0"
507.6,4,16,2,OPA_SUMo,1082525,762,1613.7,True,False,"11,-30,0,0"
508.1,4,16,3,SUMo,1102075,123,2003.0,True,True,"11,-30,0,0"
508.5,4,16,4,LPo,728626,142,-5434.5,False,True,"11,-30,0,0"
513.4,4,24,0,PGAgain,965384,2298,-719.3,True,False,"11,-30,0,0"
513.8,4,24,1,BPo,973147,3147,-564.7,True,False,"11,-30,0,0"
514.3,4,24,2,OPA_SUMo,1073608,801,1436.1,True,False,"11,-30,0,0"
514.7,4,24,3,SUMo,1101016,95,1981.9,True,True,"11,-30,0,0"
515.2,4,24,4,LPo,727662,152,-5453.7,False,True,"11,-30,0,0"
520.0,4,32,0,PGAgain,969781,2593,-631.7,True,False,"11,-30,0,0"
520.5,4,32,1,BPo,973681,3137,-554.0,True,False,"11,-30,0,0"
520.9,4,32,2,OPA_SUMo,1067180,810,1308.1,True,False,"11,-30,0,0"
521.4,4,32,3,SUMo,1101903,104,1999.6,True,True,"11,-30,0,0"
521.8,4,32,4,LPo,728435,142,-5438.3,False,True,"11,-30,0,0"
530.3,4,50,0,PGAgain,966500,3051,-697.0,True,False,"11,-30,0,0"
531.2,4,50,1,BPo,977143,3328,-485.1,True,False,"11,-30,0,0"
531.6,4,50,2,OPA_SUMo,1059112,715,1147.4,True,False,"11,-30,0,0"
532.1,4,50,3,SUMo,1101159,133,1984.8,True,True,"11,-30,0,0"
532.5,4,50,4,LPo,727796,171,-5451.0,False,True,"11,-30,0,0"
537.4,5,1,0,PGAgain,980119,2612,-425.8,True,False,"11,-30,0,0"
537.8,5,1,1,BPo,972651,3042,-574.5,True,False,"11,-30,0,0"
538.3,5,1,2,OPA_SUMo,1053943,667,1044.4,True,False,"11,-30,0,0"
538.7,5,1,3,SUMo,1053018,686,1026.0,True,False,"11,-30,0,0"
539.1,5,1,4,LPo,731610,209,-5375.0,False,True,"11,-30,0,0"
544.0,5,2,0,PGAgain,861339,6398,-2791.4,False,False,"11,-30,0,0"
544.5,5,2,1,BPo,1011752,3080,204.2,True,False,"11,-30,0,0"
544.9,5,2,2,OPA_SUMo,1059904,972,1163.2,True,False,"11,-30,0,0"
545.3,5,2,3,SUMo,1083812,123,1639.3,True,True,"11,-30,0,0"
545.8,5,2,4,LPo,711078,152,-5784.0,False,True,"11,-30,0,0"
550.6,5,4,0,PGAgain,934629,4148,-1331.8,True,False,"11,-30,0,0"
551.1,5,4,1,BPo,983495,3728,-358.6,True,False,"11,-30,0,0"
551.5,5,4,2,OPA_SUMo,1086034,686,1683.6,True,False,"11,-30,0,0"
552.0,5,4,3,SUMo,1094121,85,1844.6,True,True,"11,-30,0,0"
552.4,5,4,4,LPo,721005,114,-5586.3,False,True,"11,-30,0,0"
557.3,5,8,0,PGAgain,933570,4606,-1352.9,True,False,"11,-30,0,0"
557.7,5,8,1,BPo,981807,2870,-392.2,True,False,"11,-30,0,0"
558.2,5,8,2,OPA_SUMo,1092576,543,1813.8,True,False,"11,-30,0,0"
558.6,5,8,3,SUMo,1094150,104,1845.2,True,True,"11,-30,0,0"
559.0,5,8,4,LPo,720948,152,-5587.4,False,True,"11,-30,0,0"
563.9,5,16,0,PGAgain,970001,2746,-627.3,True,False,"11,-30,0,0"
564.4,5,16,1,BPo,966662,3337,-693.8,True,False,"11,-30,0,0"
564.8,5,16,2,OPA_SUMo,1091861,657,1799.6,True,False,"11,-30,0,0"
565.2,5,16,3,SUMo,1102065,123,2002.8,True,True,"11,-30,0,0"
565.7,5,16,4,LPo,728607,104,-5434.9,False,True,"11,-30,0,0"
570.6,5,24,0,PGAgain,965623,2812,-714.5,True,False,"11,-30,0,0"
571.0,5,24,1,BPo,970868,3089,-610.1,True,False,"11,-30,0,0"
571.4,5,24,2,OPA_SUMo,1080903,581,1581.4,True,False,"11,-30,0,0"
571.9,5,24,3,SUMo,1100997,142,1981.6,True,True,"11,-30,0,0"
572.3,5,24,4,LPo,727634,161,-5454.2,False,True,"11,-30,0,0"
577.2,5,32,0,PGAgain,969390,2078,-639.5,True,False,"11,-30,0,0"
577.6,5,32,1,BPo,971660,3614,-594.3,True,False,"11,-30,0,0"
578.1,5,32,2,OPA_SUMo,1073112,772,1426.2,True,False,"11,-30,0,0"
578.5,5,32,3,SUMo,1101894,114,1999.4,True,True,"11,-30,0,0"
579.0,5,32,4,LPo,728473,171,-5437.5,False,True,"11,-30,0,0"
583.8,5,50,0,PGAgain,966901,2469,-689.1,True,False,"11,-30,0,0"
584.3,5,50,1,BPo,975570,3881,-516.4,True,False,"11,-30,0,0"
584.7,5,50,2,OPA_SUMo,1066188,705,1288.3,True,False,"11,-30,0,0"
585.2,5,50,3,SUMo,1101140,104,1984.4,True,True,"11,-30,0,0"
585.6,5,50,4,LPo,727806,142,-5450.8,False,True,"11,-30,0,0"
590.5,6,1,0,PGAgain,980167,1983,-424.9,True,False,"11,-30,0,0"
590.9,6,1,1,BPo,970497,2860,-617.4,True,False,"11,-30,0,0"
591.4,6,1,2,OPA_SUMo,1059655,534,1158.2,True,False,"11,-30,0,0"
591.8,6,1,3,SUMo,1058578,600,1136.7,True,False,"11,-30,0,0"
592.2,6,1,4,LPo,731601,142,-5375.2,False,True,"11,-30,0,0"
597.1,6,2,0,PGAgain,860490,4548,-2808.3,False,False,"11,-30,0,0"
597.6,6,2,1,BPo,1009530,2832,159.9,True,False,"11,-30,0,0"
598.0,6,2,2,OPA_SUMo,1064319,600,1251.1,True,False,"11,-30,0,0"
598.5,6,2,3,SUMo,1083840,104,1639.9,True,True,"11,-30,0,0"
598.9,6,2,4,LPo,711097,171,-5783.6,False,True,"11,-30,0,0"
603.8,6,4,0,PGAgain,934123,3232,-1341.9,True,False,"11,-30,0,0"
604.2,6,4,1,BPo,982780,2936,-372.8,True,False,"11,-30,0,0"
604.7,6,4,2,OPA_SUMo,1089811,543,1758.8,True,False,"11,-30,0,0"
605.1,6,4,3,SUMo,1094102,104,1844.2,True,True,"11,-30,0,0"
605.5,6,4,4,LPo,721006,123,-5586.2,False,True,"11,-30,0,0"
614.1,6,8,0,PGAgain,958509,2288,-856.2,True,False,"11,-30,0,0"
615.0,6,8,1,BPo,972756,3013,-572.5,True,False,"11,-30,0,0"
615.4,6,8,2,OPA_SUMo,1089276,752,1748.1,True,False,"11,-30,0,0"
615.9,6,8,3,SUMo,1099395,85,1949.6,True,True,"11,-30,0,0"
616.3,6,8,4,LPo,726041,142,-5486.0,False,True,"11,-30,0,0"
621.2,6,16,0,PGAgain,969466,2250,-638.0,True,False,"11,-30,0,0"
621.6,6,16,1,BPo,969466,3166,-638.0,True,False,"11,-30,0,0"
622.0,6,16,2,OPA_SUMo,1082067,714,1604.5,True,False,"11,-30,0,0"
622.5,6,16,3,SUMo,1102066,114,2002.8,True,True,"11,-30,0,0"
622.9,6,16,4,LPo,728616,114,-5434.7,False,True,"11,-30,0,0"
627.8,6,24,0,PGAgain,966215,1849,-702.7,True,False,"11,-30,0,0"
628.2,6,24,1,BPo,973863,3194,-550.4,True,False,"11,-30,0,0"
628.7,6,24,2,OPA_SUMo,1073445,390,1432.8,True,False,"11,-30,0,0"
629.1,6,24,3,SUMo,1101035,133,1982.3,True,True,"11,-30,0,0"
629.6,6,24,4,LPo,727653,171,-5453.9,False,True,"11,-30,0,0"
634.5,6,32,0,PGAgain,968646,2107,-654.3,True,False,"11,-30,0,0"
634.9,6,32,1,BPo,973062,2660,-566.4,True,False,"11,-30,0,0"
635.3,6,32,2,OPA_SUMo,1067161,552,1307.7,True,False,"11,-30,0,0"
635.8,6,32,3,SUMo,1101913,142,1999.8,True,True,"11,-30,0,0"
636.2,6,32,4,LPo,728482,133,-5437.3,False,True,"11,-30,0,0"
641.1,6,50,0,PGAgain,966510,2059,-696.9,True,False,"11,-30,0,0"
641.5,6,50,1,BPo,977106,2889,-485.8,True,False,"11,-30,0,0"
642.0,6,50,2,OPA_SUMo,1061544,648,1195.8,True,False,"11,-30,0,0"
642.4,6,50,3,SUMo,1101169,142,1985.0,True,True,"11,-30,0,0"
642.9,6,50,4,LPo,727815,133,-5450.6,False,True,"11,-30,0,0"
647.8,7,1,0,PGAgain,980662,2431,-415.0,True,False,"11,-30,0,0"
648.2,7,1,1,BPo,971994,4071,-587.6,True,False,"11,-30,0,0"
648.6,7,1,2,OPA_SUMo,1056098,867,1087.4,True,False,"11,-30,0,0"
649.1,7,1,3,SUMo,1055021,733,1065.9,True,False,"11,-30,0,0"
649.5,7,1,4,LPo,731506,228,-5377.1,False,True,"11,-30,0,0"
654.4,7,2,0,PGAgain,859202,6799,-2834.0,False,False,"11,-30,0,0"
654.8,7,2,1,BPo,1010121,2784,171.7,True,False,"11,-30,0,0"
655.3,7,2,2,OPA_SUMo,1061486,943,1194.7,True,False,"11,-30,0,0"
655.7,7,2,3,SUMo,1083812,133,1639.3,True,True,"11,-30,0,0"
656.2,7,2,4,LPo,711040,180,-5784.7,False,True,"11,-30,0,0"
661.0,7,4,0,PGAgain,934886,4663,-1326.7,True,False,"11,-30,0,0"
661.5,7,4,1,BPo,984067,3976,-347.2,True,False,"11,-30,0,0"
661.9,7,4,2,OPA_SUMo,1087626,629,1715.3,True,False,"11,-30,0,0"
662.4,7,4,3,SUMo,1094159,114,1845.4,True,True,"11,-30,0,0"
662.8,7,4,4,LPo,720939,171,-5587.6,False,True,"11,-30,0,0"
667.7,7,8,0,PGAgain,959043,2746,-845.6,True,False,"11,-30,0,0"
668.1,7,8,1,BPo,972452,3108,-578.5,True,False,"11,-30,0,0"
668.6,7,8,2,OPA_SUMo,1090077,657,1764.1,True,False,"11,-30,0,0"
669.0,7,8,3,SUMo,1099395,114,1949.6,True,True,"11,-30,0,0"
669.4,7,8,4,LPo,726032,209,-5486.1,False,True,"11,-30,0,0"
674.3,7,16,0,PGAgain,969104,2927,-645.2,True,False,"11,-30,0,0"
674.8,7,16,1,BPo,968703,3261,-653.2,True,False,"11,-30,0,0"
675.2,7,16,2,OPA_SUMo,1082687,953,1616.9,True,False,"11,-30,0,0"
675.7,7,16,3,SUMo,1102056,114,2002.6,True,True,"11,-30,0,0"
676.1,7,16,4,LPo,728654,171,-5433.9,False,True,"11,-30,0,0"
684.6,7,24,0,PGAgain,966262,3089,-701.8,True,False,"11,-30,0,0"
685.5,7,24,1,BPo,974387,3957,-540.0,True,False,"11,-30,0,0"
685.9,7,24,2,OPA_SUMo,1069946,867,1363.2,True,False,"11,-30,0,0"
686.4,7,24,3,SUMo,1101016,104,1981.9,True,True,"11,-30,0,0"
686.8,7,24,4,LPo,727634,199,-5454.2,False,True,"11,-30,0,0"
691.7,7,32,0,PGAgain,969352,2832,-640.2,True,False,"11,-30,0,0"
692.1,7,32,1,BPo,974464,3242,-538.4,True,False,"11,-30,0,0"
692.6,7,32,2,OPA_SUMo,1064319,553,1251.1,True,False,"11,-30,0,0"
693.0,7,32,3,SUMo,1101922,114,2000.0,True,True,"11,-30,0,0"
693.4,7,32,4,LPo,728454,180,-5437.9,False,True,"11,-30,0,0"
698.3,7,50,0,PGAgain,966186,2526,-703.3,True,False,"11,-30,0,0"
698.8,7,50,1,BPo,977210,3480,-483.8,True,False,"11,-30,0,0"
699.2,7,50,2,OPA_SUMo,1059312,609,1151.4,True,False,"11,-30,0,0"
699.6,7,50,3,SUMo,1101178,104,1985.2,True,True,"11,-30,0,0"
700.1,7,50,4,LPo,727729,142,-5452.3,False,True,"11,-30,0,0"
705.0,8,1,0,PGAgain,980510,2364,-418.0,True,False,"11,-30,0,0"
705.4,8,1,1,BPo,972747,3766,-572.6,True,False,"11,-30,0,0"
705.9,8,1,2,OPA_SUMo,1054153,591,1048.6,True,False,"11,-30,0,0"
706.3,8,1,3,SUMo,1053180,581,1029.2,True,False,"11,-30,0,0"
706.7,8,1,4,LPo,731563,218,-5376.0,False,True,"11,-30,0,0"
711.6,8,2,0,PGAgain,980128,2813,-425.6,True,False,"11,-30,0,0"
712.1,8,2,1,BPo,975617,3576,-515.5,True,False,"11,-30,0,0"
712.5,8,2,2,OPA_SUMo,1044845,686,863.2,True,False,"11,-30,0,0"
