elapsed_s,phase,stage,code,channel,mean_bank_uv,error_bank_uv,error_real_mv,pp_bank_uv,valid
4.549999721348286e-05,IDAC2 base rápida,2,0,2,998975,-2525,-50.2871425,25,True
0.15472099999897182,IDAC2 bracket -1,2,-1,2,998875,-2625,-52.278712500000005,25,True
0.15586990001611412,IDAC2 sonda -1,2,-1,2,998878,-2622,-52.2189654,25,True
0.3069406000140589,IDAC2 bracket 0,2,0,2,998963,-2537,-50.526130900000005,25,True
0.30843810000806116,IDAC2 restaurado,2,0,2,998972,-2528,-50.346889600000004,25,True
0.4601297000190243,IDAC2 bracket 1,2,1,2,999063,-2437,-48.5345609,25,True
0.46157499999389984,IDAC2 sonda 1,2,1,2,999068,-2432,-48.4349824,25,True
0.6137832000094932,IDAC2 bracket 0,2,0,2,998976,-2524,-50.2672268,25,True
0.6155937000003178,IDAC2 restaurado,2,0,2,998977,-2523,-50.247311100000005,25,True
0.7673938999942038,IDAC2 bracket 1,2,1,2,999072,-2428,-48.3553196,25,True
0.7686991000082344,IDAC2 post Newton,2,1,2,999072,-2428,-48.3553196,25,True
0.9202081999974325,IDAC2 bracket 2,2,2,2,999159,-2341,-46.6226537,25,True
0.9215910000202712,IDAC2 PI local 1,2,2,2,999168,-2332,-46.4434124,25,True
1.0732442000007723,IDAC2 bracket 3,2,3,2,999257,-2243,-44.67091510000001,25,True
1.0745465999934822,IDAC2 PI local 2,2,3,2,999253,-2247,-44.7505779,25,True
1.2257710999983829,IDAC2 bracket 4,2,4,2,999360,-2140,-42.619598,25,True
1.2272890000022016,IDAC2 PI local 3,2,4,2,999363,-2137,-42.55985090000001,25,True
1.3792014000064228,IDAC2 bracket 5,2,5,2,999456,-2044,-40.7076908,25,True
1.380641800002195,IDAC2 PI local 4,2,5,2,999451,-2049,-40.8072693,25,True
1.5324560000153724,IDAC2 bracket 6,2,6,2,999551,-1949,-38.8156993,25,True
1.534523000009358,IDAC2 PI local 5,2,6,2,999539,-1961,-39.0546877,25,True
1.686451500019757,IDAC2 bracket 7,2,7,2,999646,-1854,-36.9237078,25,True
1.6880844999977853,IDAC2 PI local 6,2,7,2,999647,-1853,-36.9037921,25,True
1.8401082000054885,IDAC2 bracket 8,2,8,2,999741,-1759,-35.0317163,25,True
1.8416284999984782,IDAC2 PI local 7,2,8,2,999744,-1756,-34.9719692,25,True
1.993270000006305,IDAC2 bracket 9,2,9,2,999833,-1667,-33.199471900000006,25,True
1.9947565000038594,IDAC2 PI local 8,2,9,2,999843,-1657,-33.000314900000006,25,True
2.1466633999953046,IDAC2 bracket 10,2,10,2,999928,-1572,-31.3074804,25,True
2.1481837000173982,IDAC2 PI local 9,2,10,2,999935,-1565,-31.168070500000002,25,True
2.2999935999978334,IDAC2 bracket 11,2,11,2,1000030,-1470,-29.276079000000003,25,True
2.3015829999931157,IDAC2 PI local 10,2,11,2,1000029,-1471,-29.2959947,25,True
2.4534487000200897,IDAC2 bracket 12,2,12,2,1000117,-1383,-27.543413100000002,25,True
2.4558687999960966,IDAC2 PI local 11,2,12,2,1000124,-1376,-27.404003200000002,25,True
2.607821200013859,IDAC2 bracket 13,2,13,2,1000218,-1282,-25.5319274,25,True
2.6096274000010453,IDAC2 PI local 12,2,13,2,1000222,-1278,-25.452264600000003,25,True
2.761358400020981,IDAC2 bracket 14,2,14,2,1000323,-1177,-23.4407789,25,True
2.7630516000208445,IDAC2 PI local 13,2,14,2,1000320,-1180,-23.500526,25,True
2.9147005999984685,IDAC2 bracket 15,2,15,2,1000422,-1078,-21.469124600000004,25,True
2.9180003000074066,IDAC2 PI local 14,2,15,2,1000410,-1090,-21.708113,25,True
3.070143899996765,IDAC2 bracket 16,2,16,2,1000513,-987,-19.656795900000002,25,True
3.0728153999953065,IDAC2 PI local 15,2,16,2,1000513,-987,-19.656795900000002,25,True
3.2256811000115704,IDAC2 bracket 17,2,17,2,1000605,-895,-17.824551500000002,25,True
3.228164000000106,IDAC2 PI local 16,2,17,2,1000601,-899,-17.9042143,25,True
