t_s,pasada,idac0,idac1,idac2,fase,ch,tap,media_banco_uv,pp_banco_uv,ok,valido,clavado,real_mv_vs_vref
189.8,1,12,-255,0,referencia,0,PGAgain,1001518.0,249.0,True,True,True,0.35848260000057963
190.16,1,12,-255,0,referencia,1,BPo,980515.0,278.0,True,True,True,-417.9309645000003
190.52,1,12,-255,0,referencia,2,OPA_SUMo,1100990.0,254.0,True,True,True,1981.4129930000004
190.88,1,12,-255,0,referencia,3,SUMo,1103107.0,288.0,True,True,True,2023.5745298999996
191.24,1,12,-255,0,referencia,4,LPo,875012.0,298.0,True,False,True,-2519.0970616000013
193.1,1,12,-255,-255,malla,0,PGAgain,1001558.0,314.0,True,True,False,1.1551105999998552
193.46,1,12,-255,-255,malla,1,BPo,980510.0,267.0,True,True,True,-418.0305430000002
193.82,1,12,-255,-255,malla,2,OPA_SUMo,911992.0,259.0,True,True,True,-1782.6144756000008
194.18,1,12,-255,-255,malla,3,SUMo,914061.0,255.0,True,True,True,-1741.4088922999995
194.54,1,12,-255,-255,malla,4,LPo,875000.0,250.0,True,False,True,-2519.3360500000003
196.4,1,12,-255,-128,malla,0,PGAgain,1001541.0,273.0,True,True,True,0.8165437000010687
196.76,1,12,-255,-128,malla,1,BPo,980527.0,287.0,True,True,True,-417.6919760999992
197.12,1,12,-255,-128,malla,2,OPA_SUMo,1006092.0,269.0,True,True,True,91.45289439999969
197.48,1,12,-255,-128,malla,3,SUMo,1008125.0,247.0,True,True,True,131.94151250000002
197.84,1,12,-255,-128,malla,4,LPo,875026.0,258.0,True,False,True,-2518.818241800001
199.7,1,12,-255,-64,malla,0,PGAgain,1001620.0,291.0,True,True,True,2.3898840000000905
200.06,1,12,-255,-64,malla,1,BPo,980546.0,244.0,True,True,True,-417.31357779999905
200.42,1,12,-255,-64,malla,2,OPA_SUMo,1053582.0,280.0,True,True,True,1037.2494874000022
200.78,1,12,-255,-64,malla,3,SUMo,1055523.0,260.0,True,True,True,1075.9058610999982
201.14,1,12,-255,-64,malla,4,LPo,875049.0,261.0,True,False,True,-2518.3601807000005
203.0,1,12,-255,0,malla,0,PGAgain,1001636.0,269.0,True,True,True,2.708535199999348
203.36,1,12,-255,0,malla,1,BPo,980523.0,256.0,True,True,True,-417.7716388999995
203.72,1,12,-255,0,malla,2,OPA_SUMo,1100989.0,264.0,True,True,True,1981.3930773000009
204.08,1,12,-255,0,malla,3,SUMo,1102968.0,281.0,True,True,True,2020.8062476000016
204.44,1,12,-255,0,malla,4,LPo,875062.0,268.0,True,False,True,-2518.1012766
206.3,1,12,-255,64,malla,0,PGAgain,1001561.0,260.0,True,True,True,1.2148577000007066
206.66,1,12,-255,64,malla,1,BPo,980540.0,289.0,True,True,True,-417.4330720000007
207.02,1,12,-255,64,malla,2,OPA_SUMo,1128000.0,281.0,True,False,True,2519.3360500000003
207.38,1,12,-255,64,malla,3,SUMo,1128000.0,275.0,True,False,True,2519.3360500000003
207.74,1,12,-255,64,malla,4,LPo,875000.0,252.0,True,False,True,-2519.3360500000003
209.6,1,12,-255,128,malla,0,PGAgain,1001582.0,244.0,True,True,True,1.6330873999998734
209.96,1,12,-255,128,malla,1,BPo,980552.0,275.0,True,True,True,-417.1940835999996
210.32,1,12,-255,128,malla,2,OPA_SUMo,1128000.0,280.0,True,False,True,2519.3360500000003
210.68,1,12,-255,128,malla,3,SUMo,1128000.0,276.0,True,False,True,2519.3360500000003
211.04,1,12,-255,128,malla,4,LPo,875000.0,257.0,True,False,True,-2519.3360500000003
212.9,1,12,-255,255,malla,0,PGAgain,1001612.0,246.0,True,True,True,2.23055839999933
213.26,1,12,-255,255,malla,1,BPo,980595.0,263.0,True,True,True,-416.33770849999945
