gain,strategy,pass,event_index,at,kind,message,codes,tau_s,channel,error_uv,pp_uv,spread_uv,data_json
24,coupled,False,0,2026-09-08T12:51:09,gain_start,"
Autocalibrando x24 desde cero (coupled)","[6, 6, 0, 0]",,,,,,"{""at"":""2026-09-08T12:51:09"",""kind"":""gain_start"",""message"":""\nAutocalibrando x24 desde cero (coupled)""}"
24,coupled,False,1,2026-09-08T12:52:23,observation,    estado neutro: PGAgain=-14.3mV BPo=+1.6mV OPA_SUMo=+48.3mV SUMo=+47.8mV LPo=-257.5mV,"[0, 0, 0, 0]",,0,-14283,1335,344,"{""at"":""2026-09-08T12:52:23"",""kind"":""observation"",""message"":""    estado neutro: PGAgain=-14.3mV BPo=+1.6mV OPA_SUMo=+48.3mV SUMo=+47.8mV LPo=-257.5mV"",""label"":""estado neutro"",""observation"":{""errors_uv"":{""0"":-14283,""1"":1605,""2"":48336,""3"":47840,""4"":-257451},""pp_uv"":{""0"":1335,""1"":2708,""2"":705,""3"":629,""4"":152},""spread_uv"":{""0"":344,""1"":572,""2"":858,""3"":744,""4"":38},""samples"":[{""0"":{""mean_uv"":985813,""error_uv"":-14187,""pp_uv"":1850},""1"":{""mean_uv"":1001815,""error_uv"":1815,""pp_uv"":2651},""2"":{""mean_uv"":1047840,""error_uv"":47840,""pp_uv"":591},""3"":{""mean_uv"":1047458,""error_uv"":47458,""pp_uv"":629},""4"":{""mean_uv"":742530,""error_uv"":-257470,""pp_uv"":152}},{""0"":{""mean_uv"":985717,""error_uv"":-14283,""pp_uv"":1335},""1"":{""mean_uv"":1001605,""error_uv"":1605,""pp_uv"":2708},""2"":{""mean_uv"":1048336,""error_uv"":48336,""pp_uv"":743},""3"":{""mean_uv"":1047840,""error_uv"":47840,""pp_uv"":686},""4"":{""mean_uv"":742568,""error_uv"":-257432,""pp_uv"":133}},{""0"":{""mean_uv"":985469,""error_uv"":-14531,""pp_uv"":1296},""1"":{""mean_uv"":1001243,""error_uv"":1243,""pp_uv"":3128},""2"":{""mean_uv"":1048698,""error_uv"":48698,""pp_uv"":705},""3"":{""mean_uv"":1048202,""error_uv"":48202,""pp_uv"":495},""4"":{""mean_uv"":742549,""error_uv"":-257451,""pp_uv"":171}}]},""codes"":[0,0,0,0]}"
24,coupled,False,1,2026-09-08T12:52:23,observation,    estado neutro: PGAgain=-14.3mV BPo=+1.6mV OPA_SUMo=+48.3mV SUMo=+47.8mV LPo=-257.5mV,"[0, 0, 0, 0]",,1,1605,2708,572,"{""at"":""2026-09-08T12:52:23"",""kind"":""observation"",""message"":""    estado neutro: PGAgain=-14.3mV BPo=+1.6mV OPA_SUMo=+48.3mV SUMo=+47.8mV LPo=-257.5mV"",""label"":""estado neutro"",""observation"":{""errors_uv"":{""0"":-14283,""1"":1605,""2"":48336,""3"":47840,""4"":-257451},""pp_uv"":{""0"":1335,""1"":2708,""2"":705,""3"":629,""4"":152},""spread_uv"":{""0"":344,""1"":572,""2"":858,""3"":744,""4"":38},""samples"":[{""0"":{""mean_uv"":985813,""error_uv"":-14187,""pp_uv"":1850},""1"":{""mean_uv"":1001815,""error_uv"":1815,""pp_uv"":2651},""2"":{""mean_uv"":1047840,""error_uv"":47840,""pp_uv"":591},""3"":{""mean_uv"":1047458,""error_uv"":47458,""pp_uv"":629},""4"":{""mean_uv"":742530,""error_uv"":-257470,""pp_uv"":152}},{""0"":{""mean_uv"":985717,""error_uv"":-14283,""pp_uv"":1335},""1"":{""mean_uv"":1001605,""error_uv"":1605,""pp_uv"":2708},""2"":{""mean_uv"":1048336,""error_uv"":48336,""pp_uv"":743},""3"":{""mean_uv"":1047840,""error_uv"":47840,""pp_uv"":686},""4"":{""mean_uv"":742568,""error_uv"":-257432,""pp_uv"":133}},{""0"":{""mean_uv"":985469,""error_uv"":-14531,""pp_uv"":1296},""1"":{""mean_uv"":1001243,""error_uv"":1243,""pp_uv"":3128},""2"":{""mean_uv"":1048698,""error_uv"":48698,""pp_uv"":705},""3"":{""mean_uv"":1048202,""error_uv"":48202,""pp_uv"":495},""4"":{""mean_uv"":742549,""error_uv"":-257451,""pp_uv"":171}}]},""codes"":[0,0,0,0]}"
24,coupled,False,1,2026-09-08T12:52:23,observation,    estado neutro: PGAgain=-14.3mV BPo=+1.6mV OPA_SUMo=+48.3mV SUMo=+47.8mV LPo=-257.5mV,"[0, 0, 0, 0]",,2,48336,705,858,"{""at"":""2026-09-08T12:52:23"",""kind"":""observation"",""message"":""    estado neutro: PGAgain=-14.3mV BPo=+1.6mV OPA_SUMo=+48.3mV SUMo=+47.8mV LPo=-257.5mV"",""label"":""estado neutro"",""observation"":{""errors_uv"":{""0"":-14283,""1"":1605,""2"":48336,""3"":47840,""4"":-257451},""pp_uv"":{""0"":1335,""1"":2708,""2"":705,""3"":629,""4"":152},""spread_uv"":{""0"":344,""1"":572,""2"":858,""3"":744,""4"":38},""samples"":[{""0"":{""mean_uv"":985813,""error_uv"":-14187,""pp_uv"":1850},""1"":{""mean_uv"":1001815,""error_uv"":1815,""pp_uv"":2651},""2"":{""mean_uv"":1047840,""error_uv"":47840,""pp_uv"":591},""3"":{""mean_uv"":1047458,""error_uv"":47458,""pp_uv"":629},""4"":{""mean_uv"":742530,""error_uv"":-257470,""pp_uv"":152}},{""0"":{""mean_uv"":985717,""error_uv"":-14283,""pp_uv"":1335},""1"":{""mean_uv"":1001605,""error_uv"":1605,""pp_uv"":2708},""2"":{""mean_uv"":1048336,""error_uv"":48336,""pp_uv"":743},""3"":{""mean_uv"":1047840,""error_uv"":47840,""pp_uv"":686},""4"":{""mean_uv"":742568,""error_uv"":-257432,""pp_uv"":133}},{""0"":{""mean_uv"":985469,""error_uv"":-14531,""pp_uv"":1296},""1"":{""mean_uv"":1001243,""error_uv"":1243,""pp_uv"":3128},""2"":{""mean_uv"":1048698,""error_uv"":48698,""pp_uv"":705},""3"":{""mean_uv"":1048202,""error_uv"":48202,""pp_uv"":495},""4"":{""mean_uv"":742549,""error_uv"":-257451,""pp_uv"":171}}]},""codes"":[0,0,0,0]}"
24,coupled,False,1,2026-09-08T12:52:23,observation,    estado neutro: PGAgain=-14.3mV BPo=+1.6mV OPA_SUMo=+48.3mV SUMo=+47.8mV LPo=-257.5mV,"[0, 0, 0, 0]",,3,47840,629,744,"{""at"":""2026-09-08T12:52:23"",""kind"":""observation"",""message"":""    estado neutro: PGAgain=-14.3mV BPo=+1.6mV OPA_SUMo=+48.3mV SUMo=+47.8mV LPo=-257.5mV"",""label"":""estado neutro"",""observation"":{""errors_uv"":{""0"":-14283,""1"":1605,""2"":48336,""3"":47840,""4"":-257451},""pp_uv"":{""0"":1335,""1"":2708,""2"":705,""3"":629,""4"":152},""spread_uv"":{""0"":344,""1"":572,""2"":858,""3"":744,""4"":38},""samples"":[{""0"":{""mean_uv"":985813,""error_uv"":-14187,""pp_uv"":1850},""1"":{""mean_uv"":1001815,""error_uv"":1815,""pp_uv"":2651},""2"":{""mean_uv"":1047840,""error_uv"":47840,""pp_uv"":591},""3"":{""mean_uv"":1047458,""error_uv"":47458,""pp_uv"":629},""4"":{""mean_uv"":742530,""error_uv"":-257470,""pp_uv"":152}},{""0"":{""mean_uv"":985717,""error_uv"":-14283,""pp_uv"":1335},""1"":{""mean_uv"":1001605,""error_uv"":1605,""pp_uv"":2708},""2"":{""mean_uv"":1048336,""error_uv"":48336,""pp_uv"":743},""3"":{""mean_uv"":1047840,""error_uv"":47840,""pp_uv"":686},""4"":{""mean_uv"":742568,""error_uv"":-257432,""pp_uv"":133}},{""0"":{""mean_uv"":985469,""error_uv"":-14531,""pp_uv"":1296},""1"":{""mean_uv"":1001243,""error_uv"":1243,""pp_uv"":3128},""2"":{""mean_uv"":1048698,""error_uv"":48698,""pp_uv"":705},""3"":{""mean_uv"":1048202,""error_uv"":48202,""pp_uv"":495},""4"":{""mean_uv"":742549,""error_uv"":-257451,""pp_uv"":171}}]},""codes"":[0,0,0,0]}"
24,coupled,False,1,2026-09-08T12:52:23,observation,    estado neutro: PGAgain=-14.3mV BPo=+1.6mV OPA_SUMo=+48.3mV SUMo=+47.8mV LPo=-257.5mV,"[0, 0, 0, 0]",,4,-257451,152,38,"{""at"":""2026-09-08T12:52:23"",""kind"":""observation"",""message"":""    estado neutro: PGAgain=-14.3mV BPo=+1.6mV OPA_SUMo=+48.3mV SUMo=+47.8mV LPo=-257.5mV"",""label"":""estado neutro"",""observation"":{""errors_uv"":{""0"":-14283,""1"":1605,""2"":48336,""3"":47840,""4"":-257451},""pp_uv"":{""0"":1335,""1"":2708,""2"":705,""3"":629,""4"":152},""spread_uv"":{""0"":344,""1"":572,""2"":858,""3"":744,""4"":38},""samples"":[{""0"":{""mean_uv"":985813,""error_uv"":-14187,""pp_uv"":1850},""1"":{""mean_uv"":1001815,""error_uv"":1815,""pp_uv"":2651},""2"":{""mean_uv"":1047840,""error_uv"":47840,""pp_uv"":591},""3"":{""mean_uv"":1047458,""error_uv"":47458,""pp_uv"":629},""4"":{""mean_uv"":742530,""error_uv"":-257470,""pp_uv"":152}},{""0"":{""mean_uv"":985717,""error_uv"":-14283,""pp_uv"":1335},""1"":{""mean_uv"":1001605,""error_uv"":1605,""pp_uv"":2708},""2"":{""mean_uv"":1048336,""error_uv"":48336,""pp_uv"":743},""3"":{""mean_uv"":1047840,""error_uv"":47840,""pp_uv"":686},""4"":{""mean_uv"":742568,""error_uv"":-257432,""pp_uv"":133}},{""0"":{""mean_uv"":985469,""error_uv"":-14531,""pp_uv"":1296},""1"":{""mean_uv"":1001243,""error_uv"":1243,""pp_uv"":3128},""2"":{""mean_uv"":1048698,""error_uv"":48698,""pp_uv"":705},""3"":{""mean_uv"":1048202,""error_uv"":48202,""pp_uv"":495},""4"":{""mean_uv"":742549,""error_uv"":-257451,""pp_uv"":171}}]},""codes"":[0,0,0,0]}"
24,coupled,False,2,2026-09-08T12:52:40,observation,    base para estimar tau: PGAgain=-14.8mV BPo=+0.5mV OPA_SUMo=+50.1mV SUMo=+49.6mV LPo=-257.5mV,"[0, 0, 0, 0]",,0,-14817,1544,57,"{""at"":""2026-09-08T12:52:40"",""kind"":""observation"",""message"":""    base para estimar tau: PGAgain=-14.8mV BPo=+0.5mV OPA_SUMo=+50.1mV SUMo=+49.6mV LPo=-257.5mV"",""label"":""base para estimar tau"",""observation"":{""errors_uv"":{""0"":-14817,""1"":461,""2"":50052,""3"":49556,""4"":-257451},""pp_uv"":{""0"":1544,""1"":1926,""2"":476,""3"":457,""4"":114},""spread_uv"":{""0"":57,""1"":763,""2"":1087,""3"":1183,""4"":38},""samples"":[{""0"":{""mean_uv"":985183,""error_uv"":-14817,""pp_uv"":782},""1"":{""mean_uv"":1001014,""error_uv"":1014,""pp_uv"":1754},""2"":{""mean_uv"":1049022,""error_uv"":49022,""pp_uv"":476},""3"":{""mean_uv"":1048564,""error_uv"":48564,""pp_uv"":457},""4"":{""mean_uv"":742549,""error_uv"":-257451,""pp_uv"":133}},{""0"":{""mean_uv"":985126,""error_uv"":-14874,""pp_uv"":1621},""1"":{""mean_uv"":1000461,""error_uv"":461,""pp_uv"":2098},""2"":{""mean_uv"":1050052,""error_uv"":50052,""pp_uv"":457},""3"":{""mean_uv"":1049556,""error_uv"":49556,""pp_uv"":419},""4"":{""mean_uv"":742549,""error_uv"":-257451,""pp_uv"":114}},{""0"":{""mean_uv"":985183,""error_uv"":-14817,""pp_uv"":1544},""1"":{""mean_uv"":1000251,""error_uv"":251,""pp_uv"":1926},""2"":{""mean_uv"":1050109,""error_uv"":50109,""pp_uv"":743},""3"":{""mean_uv"":1049747,""error_uv"":49747,""pp_uv"":686},""4"":{""mean_uv"":742511,""error_uv"":-257489,""pp_uv"":114}}]},""codes"":[0,0,0,0]}"
24,coupled,False,2,2026-09-08T12:52:40,observation,    base para estimar tau: PGAgain=-14.8mV BPo=+0.5mV OPA_SUMo=+50.1mV SUMo=+49.6mV LPo=-257.5mV,"[0, 0, 0, 0]",,1,461,1926,763,"{""at"":""2026-09-08T12:52:40"",""kind"":""observation"",""message"":""    base para estimar tau: PGAgain=-14.8mV BPo=+0.5mV OPA_SUMo=+50.1mV SUMo=+49.6mV LPo=-257.5mV"",""label"":""base para estimar tau"",""observation"":{""errors_uv"":{""0"":-14817,""1"":461,""2"":50052,""3"":49556,""4"":-257451},""pp_uv"":{""0"":1544,""1"":1926,""2"":476,""3"":457,""4"":114},""spread_uv"":{""0"":57,""1"":763,""2"":1087,""3"":1183,""4"":38},""samples"":[{""0"":{""mean_uv"":985183,""error_uv"":-14817,""pp_uv"":782},""1"":{""mean_uv"":1001014,""error_uv"":1014,""pp_uv"":1754},""2"":{""mean_uv"":1049022,""error_uv"":49022,""pp_uv"":476},""3"":{""mean_uv"":1048564,""error_uv"":48564,""pp_uv"":457},""4"":{""mean_uv"":742549,""error_uv"":-257451,""pp_uv"":133}},{""0"":{""mean_uv"":985126,""error_uv"":-14874,""pp_uv"":1621},""1"":{""mean_uv"":1000461,""error_uv"":461,""pp_uv"":2098},""2"":{""mean_uv"":1050052,""error_uv"":50052,""pp_uv"":457},""3"":{""mean_uv"":1049556,""error_uv"":49556,""pp_uv"":419},""4"":{""mean_uv"":742549,""error_uv"":-257451,""pp_uv"":114}},{""0"":{""mean_uv"":985183,""error_uv"":-14817,""pp_uv"":1544},""1"":{""mean_uv"":1000251,""error_uv"":251,""pp_uv"":1926},""2"":{""mean_uv"":1050109,""error_uv"":50109,""pp_uv"":743},""3"":{""mean_uv"":1049747,""error_uv"":49747,""pp_uv"":686},""4"":{""mean_uv"":742511,""error_uv"":-257489,""pp_uv"":114}}]},""codes"":[0,0,0,0]}"
24,coupled,False,2,2026-09-08T12:52:40,observation,    base para estimar tau: PGAgain=-14.8mV BPo=+0.5mV OPA_SUMo=+50.1mV SUMo=+49.6mV LPo=-257.5mV,"[0, 0, 0, 0]",,2,50052,476,1087,"{""at"":""2026-09-08T12:52:40"",""kind"":""observation"",""message"":""    base para estimar tau: PGAgain=-14.8mV BPo=+0.5mV OPA_SUMo=+50.1mV SUMo=+49.6mV LPo=-257.5mV"",""label"":""base para estimar tau"",""observation"":{""errors_uv"":{""0"":-14817,""1"":461,""2"":50052,""3"":49556,""4"":-257451},""pp_uv"":{""0"":1544,""1"":1926,""2"":476,""3"":457,""4"":114},""spread_uv"":{""0"":57,""1"":763,""2"":1087,""3"":1183,""4"":38},""samples"":[{""0"":{""mean_uv"":985183,""error_uv"":-14817,""pp_uv"":782},""1"":{""mean_uv"":1001014,""error_uv"":1014,""pp_uv"":1754},""2"":{""mean_uv"":1049022,""error_uv"":49022,""pp_uv"":476},""3"":{""mean_uv"":1048564,""error_uv"":48564,""pp_uv"":457},""4"":{""mean_uv"":742549,""error_uv"":-257451,""pp_uv"":133}},{""0"":{""mean_uv"":985126,""error_uv"":-14874,""pp_uv"":1621},""1"":{""mean_uv"":1000461,""error_uv"":461,""pp_uv"":2098},""2"":{""mean_uv"":1050052,""error_uv"":50052,""pp_uv"":457},""3"":{""mean_uv"":1049556,""error_uv"":49556,""pp_uv"":419},""4"":{""mean_uv"":742549,""error_uv"":-257451,""pp_uv"":114}},{""0"":{""mean_uv"":985183,""error_uv"":-14817,""pp_uv"":1544},""1"":{""mean_uv"":1000251,""error_uv"":251,""pp_uv"":1926},""2"":{""mean_uv"":1050109,""error_uv"":50109,""pp_uv"":743},""3"":{""mean_uv"":1049747,""error_uv"":49747,""pp_uv"":686},""4"":{""mean_uv"":742511,""error_uv"":-257489,""pp_uv"":114}}]},""codes"":[0,0,0,0]}"
24,coupled,False,2,2026-09-08T12:52:40,observation,    base para estimar tau: PGAgain=-14.8mV BPo=+0.5mV OPA_SUMo=+50.1mV SUMo=+49.6mV LPo=-257.5mV,"[0, 0, 0, 0]",,3,49556,457,1183,"{""at"":""2026-09-08T12:52:40"",""kind"":""observation"",""message"":""    base para estimar tau: PGAgain=-14.8mV BPo=+0.5mV OPA_SUMo=+50.1mV SUMo=+49.6mV LPo=-257.5mV"",""label"":""base para estimar tau"",""observation"":{""errors_uv"":{""0"":-14817,""1"":461,""2"":50052,""3"":49556,""4"":-257451},""pp_uv"":{""0"":1544,""1"":1926,""2"":476,""3"":457,""4"":114},""spread_uv"":{""0"":57,""1"":763,""2"":1087,""3"":1183,""4"":38},""samples"":[{""0"":{""mean_uv"":985183,""error_uv"":-14817,""pp_uv"":782},""1"":{""mean_uv"":1001014,""error_uv"":1014,""pp_uv"":1754},""2"":{""mean_uv"":1049022,""error_uv"":49022,""pp_uv"":476},""3"":{""mean_uv"":1048564,""error_uv"":48564,""pp_uv"":457},""4"":{""mean_uv"":742549,""error_uv"":-257451,""pp_uv"":133}},{""0"":{""mean_uv"":985126,""error_uv"":-14874,""pp_uv"":1621},""1"":{""mean_uv"":1000461,""error_uv"":461,""pp_uv"":2098},""2"":{""mean_uv"":1050052,""error_uv"":50052,""pp_uv"":457},""3"":{""mean_uv"":1049556,""error_uv"":49556,""pp_uv"":419},""4"":{""mean_uv"":742549,""error_uv"":-257451,""pp_uv"":114}},{""0"":{""mean_uv"":985183,""error_uv"":-14817,""pp_uv"":1544},""1"":{""mean_uv"":1000251,""error_uv"":251,""pp_uv"":1926},""2"":{""mean_uv"":1050109,""error_uv"":50109,""pp_uv"":743},""3"":{""mean_uv"":1049747,""error_uv"":49747,""pp_uv"":686},""4"":{""mean_uv"":742511,""error_uv"":-257489,""pp_uv"":114}}]},""codes"":[0,0,0,0]}"
