gain,strategy,pass,event_index,at,kind,message,codes,tau_s,channel,error_uv,pp_uv,spread_uv,data_json
24,coupled,False,0,2026-09-08T08:04:12,gain_start,"
Autocalibrando x24 desde cero (coupled)","[3, 2, 0, -3]",,,,,,"{""at"":""2026-09-08T08:04:12"",""kind"":""gain_start"",""message"":""\nAutocalibrando x24 desde cero (coupled)""}"
24,coupled,False,1,2026-09-08T08:05:23,observation,    estado neutro: PGAgain=-13.7mV BPo=-0.6mV OPA_SUMo=+48.0mV SUMo=+47.7mV LPo=-257.3mV,"[0, 0, 0, 0]",,0,-13749,2727,1468,"{""at"":""2026-09-08T08:05:23"",""kind"":""observation"",""message"":""    estado neutro: PGAgain=-13.7mV BPo=-0.6mV OPA_SUMo=+48.0mV SUMo=+47.7mV LPo=-257.3mV"",""label"":""estado neutro"",""observation"":{""errors_uv"":{""0"":-13749,""1"":-569,""2"":47992,""3"":47706,""4"":-257260},""pp_uv"":{""0"":2727,""1"":3261,""2"":686,""3"":534,""4"":209},""spread_uv"":{""0"":1468,""1"":95,""2"":839,""3"":801,""4"":76},""samples"":[{""0"":{""mean_uv"":985050,""error_uv"":-14950,""pp_uv"":2727},""1"":{""mean_uv"":999431,""error_uv"":-569,""pp_uv"":3185},""2"":{""mean_uv"":1047649,""error_uv"":47649,""pp_uv"":686},""3"":{""mean_uv"":1047191,""error_uv"":47191,""pp_uv"":534},""4"":{""mean_uv"":742721,""error_uv"":-257279,""pp_uv"":209}},{""0"":{""mean_uv"":986251,""error_uv"":-13749,""pp_uv"":2231},""1"":{""mean_uv"":999507,""error_uv"":-493,""pp_uv"":3528},""2"":{""mean_uv"":1047992,""error_uv"":47992,""pp_uv"":686},""3"":{""mean_uv"":1047706,""error_uv"":47706,""pp_uv"":1163},""4"":{""mean_uv"":742797,""error_uv"":-257203,""pp_uv"":190}},{""0"":{""mean_uv"":986518,""error_uv"":-13482,""pp_uv"":3013},""1"":{""mean_uv"":999412,""error_uv"":-588,""pp_uv"":3261},""2"":{""mean_uv"":1048488,""error_uv"":48488,""pp_uv"":858},""3"":{""mean_uv"":1047992,""error_uv"":47992,""pp_uv"":495},""4"":{""mean_uv"":742740,""error_uv"":-257260,""pp_uv"":343}}]},""codes"":[0,0,0,0]}"
24,coupled,False,1,2026-09-08T08:05:23,observation,    estado neutro: PGAgain=-13.7mV BPo=-0.6mV OPA_SUMo=+48.0mV SUMo=+47.7mV LPo=-257.3mV,"[0, 0, 0, 0]",,1,-569,3261,95,"{""at"":""2026-09-08T08:05:23"",""kind"":""observation"",""message"":""    estado neutro: PGAgain=-13.7mV BPo=-0.6mV OPA_SUMo=+48.0mV SUMo=+47.7mV LPo=-257.3mV"",""label"":""estado neutro"",""observation"":{""errors_uv"":{""0"":-13749,""1"":-569,""2"":47992,""3"":47706,""4"":-257260},""pp_uv"":{""0"":2727,""1"":3261,""2"":686,""3"":534,""4"":209},""spread_uv"":{""0"":1468,""1"":95,""2"":839,""3"":801,""4"":76},""samples"":[{""0"":{""mean_uv"":985050,""error_uv"":-14950,""pp_uv"":2727},""1"":{""mean_uv"":999431,""error_uv"":-569,""pp_uv"":3185},""2"":{""mean_uv"":1047649,""error_uv"":47649,""pp_uv"":686},""3"":{""mean_uv"":1047191,""error_uv"":47191,""pp_uv"":534},""4"":{""mean_uv"":742721,""error_uv"":-257279,""pp_uv"":209}},{""0"":{""mean_uv"":986251,""error_uv"":-13749,""pp_uv"":2231},""1"":{""mean_uv"":999507,""error_uv"":-493,""pp_uv"":3528},""2"":{""mean_uv"":1047992,""error_uv"":47992,""pp_uv"":686},""3"":{""mean_uv"":1047706,""error_uv"":47706,""pp_uv"":1163},""4"":{""mean_uv"":742797,""error_uv"":-257203,""pp_uv"":190}},{""0"":{""mean_uv"":986518,""error_uv"":-13482,""pp_uv"":3013},""1"":{""mean_uv"":999412,""error_uv"":-588,""pp_uv"":3261},""2"":{""mean_uv"":1048488,""error_uv"":48488,""pp_uv"":858},""3"":{""mean_uv"":1047992,""error_uv"":47992,""pp_uv"":495},""4"":{""mean_uv"":742740,""error_uv"":-257260,""pp_uv"":343}}]},""codes"":[0,0,0,0]}"
24,coupled,False,1,2026-09-08T08:05:23,observation,    estado neutro: PGAgain=-13.7mV BPo=-0.6mV OPA_SUMo=+48.0mV SUMo=+47.7mV LPo=-257.3mV,"[0, 0, 0, 0]",,2,47992,686,839,"{""at"":""2026-09-08T08:05:23"",""kind"":""observation"",""message"":""    estado neutro: PGAgain=-13.7mV BPo=-0.6mV OPA_SUMo=+48.0mV SUMo=+47.7mV LPo=-257.3mV"",""label"":""estado neutro"",""observation"":{""errors_uv"":{""0"":-13749,""1"":-569,""2"":47992,""3"":47706,""4"":-257260},""pp_uv"":{""0"":2727,""1"":3261,""2"":686,""3"":534,""4"":209},""spread_uv"":{""0"":1468,""1"":95,""2"":839,""3"":801,""4"":76},""samples"":[{""0"":{""mean_uv"":985050,""error_uv"":-14950,""pp_uv"":2727},""1"":{""mean_uv"":999431,""error_uv"":-569,""pp_uv"":3185},""2"":{""mean_uv"":1047649,""error_uv"":47649,""pp_uv"":686},""3"":{""mean_uv"":1047191,""error_uv"":47191,""pp_uv"":534},""4"":{""mean_uv"":742721,""error_uv"":-257279,""pp_uv"":209}},{""0"":{""mean_uv"":986251,""error_uv"":-13749,""pp_uv"":2231},""1"":{""mean_uv"":999507,""error_uv"":-493,""pp_uv"":3528},""2"":{""mean_uv"":1047992,""error_uv"":47992,""pp_uv"":686},""3"":{""mean_uv"":1047706,""error_uv"":47706,""pp_uv"":1163},""4"":{""mean_uv"":742797,""error_uv"":-257203,""pp_uv"":190}},{""0"":{""mean_uv"":986518,""error_uv"":-13482,""pp_uv"":3013},""1"":{""mean_uv"":999412,""error_uv"":-588,""pp_uv"":3261},""2"":{""mean_uv"":1048488,""error_uv"":48488,""pp_uv"":858},""3"":{""mean_uv"":1047992,""error_uv"":47992,""pp_uv"":495},""4"":{""mean_uv"":742740,""error_uv"":-257260,""pp_uv"":343}}]},""codes"":[0,0,0,0]}"
24,coupled,False,1,2026-09-08T08:05:23,observation,    estado neutro: PGAgain=-13.7mV BPo=-0.6mV OPA_SUMo=+48.0mV SUMo=+47.7mV LPo=-257.3mV,"[0, 0, 0, 0]",,3,47706,534,801,"{""at"":""2026-09-08T08:05:23"",""kind"":""observation"",""message"":""    estado neutro: PGAgain=-13.7mV BPo=-0.6mV OPA_SUMo=+48.0mV SUMo=+47.7mV LPo=-257.3mV"",""label"":""estado neutro"",""observation"":{""errors_uv"":{""0"":-13749,""1"":-569,""2"":47992,""3"":47706,""4"":-257260},""pp_uv"":{""0"":2727,""1"":3261,""2"":686,""3"":534,""4"":209},""spread_uv"":{""0"":1468,""1"":95,""2"":839,""3"":801,""4"":76},""samples"":[{""0"":{""mean_uv"":985050,""error_uv"":-14950,""pp_uv"":2727},""1"":{""mean_uv"":999431,""error_uv"":-569,""pp_uv"":3185},""2"":{""mean_uv"":1047649,""error_uv"":47649,""pp_uv"":686},""3"":{""mean_uv"":1047191,""error_uv"":47191,""pp_uv"":534},""4"":{""mean_uv"":742721,""error_uv"":-257279,""pp_uv"":209}},{""0"":{""mean_uv"":986251,""error_uv"":-13749,""pp_uv"":2231},""1"":{""mean_uv"":999507,""error_uv"":-493,""pp_uv"":3528},""2"":{""mean_uv"":1047992,""error_uv"":47992,""pp_uv"":686},""3"":{""mean_uv"":1047706,""error_uv"":47706,""pp_uv"":1163},""4"":{""mean_uv"":742797,""error_uv"":-257203,""pp_uv"":190}},{""0"":{""mean_uv"":986518,""error_uv"":-13482,""pp_uv"":3013},""1"":{""mean_uv"":999412,""error_uv"":-588,""pp_uv"":3261},""2"":{""mean_uv"":1048488,""error_uv"":48488,""pp_uv"":858},""3"":{""mean_uv"":1047992,""error_uv"":47992,""pp_uv"":495},""4"":{""mean_uv"":742740,""error_uv"":-257260,""pp_uv"":343}}]},""codes"":[0,0,0,0]}"
24,coupled,False,1,2026-09-08T08:05:23,observation,    estado neutro: PGAgain=-13.7mV BPo=-0.6mV OPA_SUMo=+48.0mV SUMo=+47.7mV LPo=-257.3mV,"[0, 0, 0, 0]",,4,-257260,209,76,"{""at"":""2026-09-08T08:05:23"",""kind"":""observation"",""message"":""    estado neutro: PGAgain=-13.7mV BPo=-0.6mV OPA_SUMo=+48.0mV SUMo=+47.7mV LPo=-257.3mV"",""label"":""estado neutro"",""observation"":{""errors_uv"":{""0"":-13749,""1"":-569,""2"":47992,""3"":47706,""4"":-257260},""pp_uv"":{""0"":2727,""1"":3261,""2"":686,""3"":534,""4"":209},""spread_uv"":{""0"":1468,""1"":95,""2"":839,""3"":801,""4"":76},""samples"":[{""0"":{""mean_uv"":985050,""error_uv"":-14950,""pp_uv"":2727},""1"":{""mean_uv"":999431,""error_uv"":-569,""pp_uv"":3185},""2"":{""mean_uv"":1047649,""error_uv"":47649,""pp_uv"":686},""3"":{""mean_uv"":1047191,""error_uv"":47191,""pp_uv"":534},""4"":{""mean_uv"":742721,""error_uv"":-257279,""pp_uv"":209}},{""0"":{""mean_uv"":986251,""error_uv"":-13749,""pp_uv"":2231},""1"":{""mean_uv"":999507,""error_uv"":-493,""pp_uv"":3528},""2"":{""mean_uv"":1047992,""error_uv"":47992,""pp_uv"":686},""3"":{""mean_uv"":1047706,""error_uv"":47706,""pp_uv"":1163},""4"":{""mean_uv"":742797,""error_uv"":-257203,""pp_uv"":190}},{""0"":{""mean_uv"":986518,""error_uv"":-13482,""pp_uv"":3013},""1"":{""mean_uv"":999412,""error_uv"":-588,""pp_uv"":3261},""2"":{""mean_uv"":1048488,""error_uv"":48488,""pp_uv"":858},""3"":{""mean_uv"":1047992,""error_uv"":47992,""pp_uv"":495},""4"":{""mean_uv"":742740,""error_uv"":-257260,""pp_uv"":343}}]},""codes"":[0,0,0,0]}"
24,coupled,False,2,2026-09-08T08:05:34,observation,    base para estimar tau: PGAgain=-13.2mV BPo=-0.1mV OPA_SUMo=+49.1mV SUMo=+48.6mV LPo=-257.2mV,"[0, 0, 0, 0]",,0,-13196,2231,229,"{""at"":""2026-09-08T08:05:34"",""kind"":""observation"",""message"":""    base para estimar tau: PGAgain=-13.2mV BPo=-0.1mV OPA_SUMo=+49.1mV SUMo=+48.6mV LPo=-257.2mV"",""label"":""base para estimar tau"",""observation"":{""errors_uv"":{""0"":-13196,""1"":-54,""2"":49098,""3"":48603,""4"":-257241},""pp_uv"":{""0"":2231,""1"":2765,""2"":705,""3"":495,""4"":171},""spread_uv"":{""0"":229,""1"":649,""2"":553,""3"":496,""4"":57},""samples"":[{""0"":{""mean_uv"":986728,""error_uv"":-13272,""pp_uv"":2231},""1"":{""mean_uv"":999507,""error_uv"":-493,""pp_uv"":3452},""2"":{""mean_uv"":1048793,""error_uv"":48793,""pp_uv"":782},""3"":{""mean_uv"":1048297,""error_uv"":48297,""pp_uv"":534},""4"":{""mean_uv"":742759,""error_uv"":-257241,""pp_uv"":133}},{""0"":{""mean_uv"":986804,""error_uv"":-13196,""pp_uv"":2422},""1"":{""mean_uv"":1000156,""error_uv"":156,""pp_uv"":2765},""2"":{""mean_uv"":1049098,""error_uv"":49098,""pp_uv"":476},""3"":{""mean_uv"":1048603,""error_uv"":48603,""pp_uv"":495},""4"":{""mean_uv"":742721,""error_uv"":-257279,""pp_uv"":190}},{""0"":{""mean_uv"":986957,""error_uv"":-13043,""pp_uv"":1964},""1"":{""mean_uv"":999946,""error_uv"":-54,""pp_uv"":2536},""2"":{""mean_uv"":1049346,""error_uv"":49346,""pp_uv"":705},""3"":{""mean_uv"":1048793,""error_uv"":48793,""pp_uv"":457},""4"":{""mean_uv"":742778,""error_uv"":-257222,""pp_uv"":171}}]},""codes"":[0,0,0,0]}"
24,coupled,False,2,2026-09-08T08:05:34,observation,    base para estimar tau: PGAgain=-13.2mV BPo=-0.1mV OPA_SUMo=+49.1mV SUMo=+48.6mV LPo=-257.2mV,"[0, 0, 0, 0]",,1,-54,2765,649,"{""at"":""2026-09-08T08:05:34"",""kind"":""observation"",""message"":""    base para estimar tau: PGAgain=-13.2mV BPo=-0.1mV OPA_SUMo=+49.1mV SUMo=+48.6mV LPo=-257.2mV"",""label"":""base para estimar tau"",""observation"":{""errors_uv"":{""0"":-13196,""1"":-54,""2"":49098,""3"":48603,""4"":-257241},""pp_uv"":{""0"":2231,""1"":2765,""2"":705,""3"":495,""4"":171},""spread_uv"":{""0"":229,""1"":649,""2"":553,""3"":496,""4"":57},""samples"":[{""0"":{""mean_uv"":986728,""error_uv"":-13272,""pp_uv"":2231},""1"":{""mean_uv"":999507,""error_uv"":-493,""pp_uv"":3452},""2"":{""mean_uv"":1048793,""error_uv"":48793,""pp_uv"":782},""3"":{""mean_uv"":1048297,""error_uv"":48297,""pp_uv"":534},""4"":{""mean_uv"":742759,""error_uv"":-257241,""pp_uv"":133}},{""0"":{""mean_uv"":986804,""error_uv"":-13196,""pp_uv"":2422},""1"":{""mean_uv"":1000156,""error_uv"":156,""pp_uv"":2765},""2"":{""mean_uv"":1049098,""error_uv"":49098,""pp_uv"":476},""3"":{""mean_uv"":1048603,""error_uv"":48603,""pp_uv"":495},""4"":{""mean_uv"":742721,""error_uv"":-257279,""pp_uv"":190}},{""0"":{""mean_uv"":986957,""error_uv"":-13043,""pp_uv"":1964},""1"":{""mean_uv"":999946,""error_uv"":-54,""pp_uv"":2536},""2"":{""mean_uv"":1049346,""error_uv"":49346,""pp_uv"":705},""3"":{""mean_uv"":1048793,""error_uv"":48793,""pp_uv"":457},""4"":{""mean_uv"":742778,""error_uv"":-257222,""pp_uv"":171}}]},""codes"":[0,0,0,0]}"
24,coupled,False,2,2026-09-08T08:05:34,observation,    base para estimar tau: PGAgain=-13.2mV BPo=-0.1mV OPA_SUMo=+49.1mV SUMo=+48.6mV LPo=-257.2mV,"[0, 0, 0, 0]",,2,49098,705,553,"{""at"":""2026-09-08T08:05:34"",""kind"":""observation"",""message"":""    base para estimar tau: PGAgain=-13.2mV BPo=-0.1mV OPA_SUMo=+49.1mV SUMo=+48.6mV LPo=-257.2mV"",""label"":""base para estimar tau"",""observation"":{""errors_uv"":{""0"":-13196,""1"":-54,""2"":49098,""3"":48603,""4"":-257241},""pp_uv"":{""0"":2231,""1"":2765,""2"":705,""3"":495,""4"":171},""spread_uv"":{""0"":229,""1"":649,""2"":553,""3"":496,""4"":57},""samples"":[{""0"":{""mean_uv"":986728,""error_uv"":-13272,""pp_uv"":2231},""1"":{""mean_uv"":999507,""error_uv"":-493,""pp_uv"":3452},""2"":{""mean_uv"":1048793,""error_uv"":48793,""pp_uv"":782},""3"":{""mean_uv"":1048297,""error_uv"":48297,""pp_uv"":534},""4"":{""mean_uv"":742759,""error_uv"":-257241,""pp_uv"":133}},{""0"":{""mean_uv"":986804,""error_uv"":-13196,""pp_uv"":2422},""1"":{""mean_uv"":1000156,""error_uv"":156,""pp_uv"":2765},""2"":{""mean_uv"":1049098,""error_uv"":49098,""pp_uv"":476},""3"":{""mean_uv"":1048603,""error_uv"":48603,""pp_uv"":495},""4"":{""mean_uv"":742721,""error_uv"":-257279,""pp_uv"":190}},{""0"":{""mean_uv"":986957,""error_uv"":-13043,""pp_uv"":1964},""1"":{""mean_uv"":999946,""error_uv"":-54,""pp_uv"":2536},""2"":{""mean_uv"":1049346,""error_uv"":49346,""pp_uv"":705},""3"":{""mean_uv"":1048793,""error_uv"":48793,""pp_uv"":457},""4"":{""mean_uv"":742778,""error_uv"":-257222,""pp_uv"":171}}]},""codes"":[0,0,0,0]}"
24,coupled,False,2,2026-09-08T08:05:34,observation,    base para estimar tau: PGAgain=-13.2mV BPo=-0.1mV OPA_SUMo=+49.1mV SUMo=+48.6mV LPo=-257.2mV,"[0, 0, 0, 0]",,3,48603,495,496,"{""at"":""2026-09-08T08:05:34"",""kind"":""observation"",""message"":""    base para estimar tau: PGAgain=-13.2mV BPo=-0.1mV OPA_SUMo=+49.1mV SUMo=+48.6mV LPo=-257.2mV"",""label"":""base para estimar tau"",""observation"":{""errors_uv"":{""0"":-13196,""1"":-54,""2"":49098,""3"":48603,""4"":-257241},""pp_uv"":{""0"":2231,""1"":2765,""2"":705,""3"":495,""4"":171},""spread_uv"":{""0"":229,""1"":649,""2"":553,""3"":496,""4"":57},""samples"":[{""0"":{""mean_uv"":986728,""error_uv"":-13272,""pp_uv"":2231},""1"":{""mean_uv"":999507,""error_uv"":-493,""pp_uv"":3452},""2"":{""mean_uv"":1048793,""error_uv"":48793,""pp_uv"":782},""3"":{""mean_uv"":1048297,""error_uv"":48297,""pp_uv"":534},""4"":{""mean_uv"":742759,""error_uv"":-257241,""pp_uv"":133}},{""0"":{""mean_uv"":986804,""error_uv"":-13196,""pp_uv"":2422},""1"":{""mean_uv"":1000156,""error_uv"":156,""pp_uv"":2765},""2"":{""mean_uv"":1049098,""error_uv"":49098,""pp_uv"":476},""3"":{""mean_uv"":1048603,""error_uv"":48603,""pp_uv"":495},""4"":{""mean_uv"":742721,""error_uv"":-257279,""pp_uv"":190}},{""0"":{""mean_uv"":986957,""error_uv"":-13043,""pp_uv"":1964},""1"":{""mean_uv"":999946,""error_uv"":-54,""pp_uv"":2536},""2"":{""mean_uv"":1049346,""error_uv"":49346,""pp_uv"":705},""3"":{""mean_uv"":1048793,""error_uv"":48793,""pp_uv"":457},""4"":{""mean_uv"":742778,""error_uv"":-257222,""pp_uv"":171}}]},""codes"":[0,0,0,0]}"
