t_s,bloque,pgaout,idac0,idac1,idac2,idac3,ch,tap,media_banco_uv,pp_banco_uv,real_mv,valido,clavado
102.19,reposo,4,11,-30,0,0,0,PGAgain,935955,6828,-1305.4,True,False
102.84,reposo,4,11,-30,0,0,1,BPo,975151,6294,-524.8,True,False
103.49,reposo,4,11,-30,0,0,2,OPA_SUMo,1096076,133,1883.5,True,True
104.14,reposo,4,11,-30,0,0,3,SUMo,1094703,133,1856.2,True,True
104.79,reposo,4,11,-30,0,0,4,LPo,721664,190,-5573.1,False,True
128.47,punto_armado,4,11,-30,-240,0,0,PGAgain,1002349,3318,16.9,True,False
129.12,punto_armado,4,11,-30,-240,0,1,BPo,921306,11615,-1597.1,True,False
129.77,punto_armado,4,11,-30,-240,0,2,OPA_SUMo,969696,1010,-633.4,True,False
130.42,punto_armado,4,11,-30,-240,0,3,SUMo,772075,13141,-4569.2,False,False
131.06,punto_armado,4,11,-30,-240,0,4,LPo,1117095,95,2302.2,False,True
131.71,vigilancia,4,11,-30,-240,0,0,PGAgain,1019840,3833,365.3,True,False
132.36,vigilancia,4,11,-30,-240,0,1,BPo,910701,9956,-1808.3,True,False
133.01,vigilancia,4,11,-30,-240,0,2,OPA_SUMo,937213,1564,-1280.3,True,False
133.65,vigilancia,4,11,-30,-240,0,3,SUMo,747489,190,-5058.8,False,True
134.30,vigilancia,4,11,-30,-240,0,4,LPo,1117153,95,2303.3,False,True
137.95,vigilancia,4,11,-30,-240,0,0,PGAgain,1019859,2841,365.6,True,False
138.60,vigilancia,4,11,-30,-240,0,1,BPo,935878,8239,-1306.9,True,False
139.24,vigilancia,4,11,-30,-240,0,2,OPA_SUMo,845947,1697,-3097.9,False,False
139.89,vigilancia,4,11,-30,-240,0,3,SUMo,747509,152,-5058.4,False,True
140.54,vigilancia,4,11,-30,-240,0,4,LPo,1117153,95,2303.3,False,True
144.19,vigilancia,4,11,-30,-240,0,0,PGAgain,1020469,4043,377.8,True,False
144.84,vigilancia,4,11,-30,-240,0,1,BPo,952682,9155,-972.2,True,False
145.49,vigilancia,4,11,-30,-240,0,2,OPA_SUMo,767498,1697,-4660.3,False,False
147.62,vigilancia,4,11,-30,-240,0,3,SUMo,747576,190,-5057.1,False,True
150.13,vigilancia,4,11,-30,-240,0,4,LPo,1117124,95,2302.7,False,True
153.78,vigilancia,4,11,-30,-240,0,0,PGAgain,1021041,2746,389.2,True,False
154.42,vigilancia,4,11,-30,-240,0,1,BPo,967502,4081,-677.1,True,False
155.07,vigilancia,4,11,-30,-240,0,2,OPA_SUMo,741672,171,-5174.7,False,True
155.72,vigilancia,4,11,-30,-240,0,3,SUMo,747566,152,-5057.3,False,True
156.37,vigilancia,4,11,-30,-240,0,4,LPo,1117134,133,2302.9,False,True
160.02,vigilancia,4,11,-30,-240,0,0,PGAgain,1020984,4138,388.0,True,False
160.67,vigilancia,4,11,-30,-240,0,1,BPo,972328,3471,-581.0,True,False
161.32,vigilancia,4,11,-30,-240,0,2,OPA_SUMo,741729,190,-5173.5,False,True
161.97,vigilancia,4,11,-30,-240,0,3,SUMo,747642,209,-5055.8,False,True
162.61,vigilancia,4,11,-30,-240,0,4,LPo,1117134,114,2302.9,False,True
166.26,vigilancia,4,11,-30,-240,0,0,PGAgain,1020832,3204,385.0,True,False
166.91,vigilancia,4,11,-30,-240,0,1,BPo,976104,5321,-505.8,True,False
167.56,vigilancia,4,11,-30,-240,0,2,OPA_SUMo,741691,190,-5174.3,False,True
168.20,vigilancia,4,11,-30,-240,0,3,SUMo,747585,171,-5056.9,False,True
168.85,vigilancia,4,11,-30,-240,0,4,LPo,1117172,114,2303.7,False,True
172.51,vigilancia,4,11,-30,-240,0,0,PGAgain,1021347,4196,395.3,True,False
173.16,vigilancia,4,11,-30,-240,0,1,BPo,979270,4043,-442.7,True,False
173.81,vigilancia,4,11,-30,-240,0,2,OPA_SUMo,741710,133,-5173.9,False,True
174.45,vigilancia,4,11,-30,-240,0,3,SUMo,747566,171,-5057.3,False,True
175.10,vigilancia,4,11,-30,-240,0,4,LPo,1117191,133,2304.1,False,True
178.75,vigilancia,4,11,-30,-240,0,0,PGAgain,1021423,3623,396.8,True,False
179.40,vigilancia,4,11,-30,-240,0,1,BPo,981807,3890,-392.2,True,False
180.04,vigilancia,4,11,-30,-240,0,2,OPA_SUMo,741710,190,-5173.9,False,True
180.69,vigilancia,4,11,-30,-240,0,3,SUMo,747566,190,-5057.3,False,True
181.34,vigilancia,4,11,-30,-240,0,4,LPo,1117153,114,2303.3,False,True
184.98,vigilancia,4,11,-30,-240,0,0,PGAgain,1020812,4501,384.6,True,False
185.63,vigilancia,4,11,-30,-240,0,1,BPo,983619,4749,-356.1,True,False
186.28,vigilancia,4,11,-30,-240,0,2,OPA_SUMo,741710,228,-5173.9,False,True
186.93,vigilancia,4,11,-30,-240,0,3,SUMo,747661,171,-5055.4,False,True
187.58,vigilancia,4,11,-30,-240,0,4,LPo,1117191,95,2304.1,False,True
191.22,vigilancia,4,11,-30,-240,0,0,PGAgain,1021480,3299,397.9,True,False
191.87,vigilancia,4,11,-30,-240,0,1,BPo,985298,4158,-322.7,True,False
192.52,vigilancia,4,11,-30,-240,0,2,OPA_SUMo,741786,209,-5172.4,False,True
193.17,vigilancia,4,11,-30,-240,0,3,SUMo,747661,171,-5055.4,False,True
193.82,vigilancia,4,11,-30,-240,0,4,LPo,1117191,95,2304.1,False,True
197.46,vigilancia,4,11,-30,-240,0,0,PGAgain,1020812,2803,384.6,True,False
198.11,vigilancia,4,11,-30,-240,0,1,BPo,986766,3910,-293.4,True,False
198.76,vigilancia,4,11,-30,-240,0,2,OPA_SUMo,741748,190,-5173.1,False,True
199.41,vigilancia,4,11,-30,-240,0,3,SUMo,747623,190,-5056.1,False,True
200.05,vigilancia,4,11,-30,-240,0,4,LPo,1117172,114,2303.7,False,True
203.70,vigilancia,4,11,-30,-240,0,0,PGAgain,1021404,10318,396.4,True,False
204.35,vigilancia,4,11,-30,-240,0,1,BPo,988273,11348,-263.4,True,False
205.00,vigilancia,4,11,-30,-240,0,2,OPA_SUMo,741806,228,-5172.0,False,True
205.64,vigilancia,4,11,-30,-240,0,3,SUMo,747680,209,-5055.0,False,True
206.29,vigilancia,4,11,-30,-240,0,4,LPo,1117172,152,2303.7,False,True
209.94,vigilancia,4,11,-30,-240,0,0,PGAgain,1021461,10261,397.5,True,False
210.59,vigilancia,4,11,-30,-240,0,1,BPo,988636,11749,-256.2,True,False
211.24,vigilancia,4,11,-30,-240,0,2,OPA_SUMo,741767,228,-5172.8,False,True
211.88,vigilancia,4,11,-30,-240,0,3,SUMo,747718,209,-5054.2,False,True
212.53,vigilancia,4,11,-30,-240,0,4,LPo,1117172,133,2303.7,False,True
216.18,vigilancia,4,11,-30,-240,0,0,PGAgain,1021537,9384,399.1,True,False
216.83,vigilancia,4,11,-30,-240,0,1,BPo,990047,9136,-228.1,True,False
217.48,vigilancia,4,11,-30,-240,0,2,OPA_SUMo,741825,171,-5171.6,False,True
218.12,vigilancia,4,11,-30,-240,0,3,SUMo,747699,209,-5054.6,False,True
218.77,vigilancia,4,11,-30,-240,0,4,LPo,1117210,114,2304.4,False,True
222.42,vigilancia,4,11,-30,-240,0,0,PGAgain,1020908,7705,386.5,True,False
223.07,vigilancia,4,11,-30,-240,0,1,BPo,990123,10356,-226.6,True,False
223.71,vigilancia,4,11,-30,-240,0,2,OPA_SUMo,741825,190,-5171.6,False,True
224.36,vigilancia,4,11,-30,-240,0,3,SUMo,747718,190,-5054.2,False,True
224.99,vigilancia,4,11,-30,-240,0,4,LPo,1117229,133,2304.8,False,True
228.64,vigilancia,4,11,-30,-240,0,0,PGAgain,1020946,8201,387.3,True,False
229.29,vigilancia,4,11,-30,-240,0,1,BPo,990257,8907,-223.9,True,False
229.93,vigilancia,4,11,-30,-240,0,2,OPA_SUMo,741901,152,-5170.1,False,True
230.58,vigilancia,4,11,-30,-240,0,3,SUMo,747776,133,-5053.1,False,True
231.23,vigilancia,4,11,-30,-240,0,4,LPo,1117248,133,2305.2,False,True
234.88,vigilancia,4,11,-30,-240,0,0,PGAgain,1021709,7858,402.5,True,False
235.53,vigilancia,4,11,-30,-240,0,1,BPo,990829,8583,-212.5,True,False
236.17,vigilancia,4,11,-30,-240,0,2,OPA_SUMo,741958,152,-5169.0,False,True
239.78,vigilancia,4,11,-30,-240,0,3,SUMo,747795,209,-5052.7,False,True
241.21,vigilancia,4,11,-30,-240,0,4,LPo,1117267,152,2305.6,False,True
244.85,vigilancia,4,11,-30,-240,0,0,PGAgain,1022014,6332,408.6,True,False
245.50,vigilancia,4,11,-30,-240,0,1,BPo,991668,10128,-195.8,True,False
246.15,vigilancia,4,11,-30,-240,0,2,OPA_SUMo,741977,152,-5168.6,False,True
246.80,vigilancia,4,11,-30,-240,0,3,SUMo,747833,209,-5052.0,False,True
247.44,vigilancia,4,11,-30,-240,0,4,LPo,1117286,114,2306.0,False,True
251.09,vigilancia,4,11,-30,-240,0,0,PGAgain,1021823,6008,404.7,True,False
251.74,vigilancia,4,11,-30,-240,0,1,BPo,991821,9956,-192.8,True,False
252.39,vigilancia,4,11,-30,-240,0,2,OPA_SUMo,741958,209,-5169.0,False,True
253.04,vigilancia,4,11,-30,-240,0,3,SUMo,747871,152,-5051.2,False,True
253.69,vigilancia,4,11,-30,-240,0,4,LPo,1117286,133,2306.0,False,True
257.34,vigilancia,4,11,-30,-240,0,0,PGAgain,1021575,8277,399.8,True,False
