t_s,bloque,pgaout,idac0,idac1,idac2,idac3,ch,tap,media_banco_uv,pp_banco_uv,real_mv,valido,clavado
102.09,reposo,4,0,0,0,0,0,PGAgain,986309,228,-302.5,True,True
102.74,reposo,4,0,0,0,0,1,BPo,986366,457,-301.4,True,False
103.39,reposo,4,0,0,0,0,2,OPA_SUMo,986366,209,-301.4,True,True
104.04,reposo,4,0,0,0,0,3,SUMo,982112,686,-386.1,True,False
104.69,reposo,4,0,0,0,0,4,LPo,1008453,2212,138.5,True,False
125.27,punto_armado,4,0,0,0,0,0,PGAgain,986404,247,-300.6,True,True
125.92,punto_armado,4,0,0,0,0,1,BPo,986518,476,-298.4,True,False
126.57,punto_armado,4,0,0,0,0,2,OPA_SUMo,986251,190,-303.7,True,True
127.21,punto_armado,4,0,0,0,0,3,SUMo,981521,820,-397.9,True,False
127.86,punto_armado,4,0,0,0,0,4,LPo,1012001,1983,209.1,True,False
128.51,vigilancia,4,0,0,0,0,0,PGAgain,986385,209,-301.0,True,True
132.24,vigilancia,4,0,0,0,0,1,BPo,986518,267,-298.4,True,True
133.50,vigilancia,4,0,0,0,0,2,OPA_SUMo,986270,228,-303.3,True,True
134.15,vigilancia,4,0,0,0,0,3,SUMo,981464,877,-399.0,True,False
134.78,vigilancia,4,0,0,0,0,4,LPo,1011810,1831,205.3,True,False
138.42,vigilancia,4,0,0,0,0,0,PGAgain,986385,247,-301.0,True,True
139.07,vigilancia,4,0,0,0,0,1,BPo,986480,438,-299.1,True,False
139.72,vigilancia,4,0,0,0,0,2,OPA_SUMo,986270,228,-303.3,True,True
140.37,vigilancia,4,0,0,0,0,3,SUMo,981597,782,-396.4,True,False
144.10,vigilancia,4,0,0,0,0,4,LPo,1010951,1735,188.2,True,False
147.75,vigilancia,4,0,0,0,0,0,PGAgain,986385,209,-301.0,True,True
148.39,vigilancia,4,0,0,0,0,1,BPo,986461,400,-299.5,True,False
149.04,vigilancia,4,0,0,0,0,2,OPA_SUMo,986309,228,-302.5,True,True
149.69,vigilancia,4,0,0,0,0,3,SUMo,981712,953,-394.1,True,False
150.32,vigilancia,4,0,0,0,0,4,LPo,1010780,1564,184.8,True,False
153.97,vigilancia,4,0,0,0,0,0,PGAgain,986347,267,-301.8,True,True
157.69,vigilancia,4,0,0,0,0,1,BPo,986480,419,-299.1,True,False
