t,estado,banda,obj,SEo,BP,OPAs,SUM,LP,SEo_ok,BP_ok,OPAs_ok,SUM_ok,LP_ok,I0,I1,I2,I3
2,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,
6,1,0,,-39654,15869,29754,30174,-264797,1,1,1,1,0,0,0,0,0
8,1,0,,-39654,15869,29754,30174,-264797,1,1,1,1,0,0,0,0,0
10,1,0,,-39654,15869,29754,30174,-264797,1,1,1,1,0,0,0,0,0
12,1,0,,-41333,10127,56171,55942,-264930,1,1,1,1,0,0,0,0,0
14,1,0,,-41333,10127,56171,55942,-264930,1,1,1,1,0,0,0,0,0
16,1,0,,-41333,10127,56171,55942,-264930,1,1,1,1,0,0,0,0,0
18,1,0,,-41333,10127,56171,55942,-264930,1,1,1,1,0,0,0,0,0
20,1,0,,-41333,10127,56171,55942,-264930,1,1,1,1,0,0,0,0,0
22,1,0,,-41333,3910,72192,71830,-265045,1,1,1,1,0,0,0,0,0
24,1,0,,-41333,3910,72192,71830,-265045,1,1,1,1,0,0,0,0,0
26,1,0,,-41333,3910,72192,71830,-265045,1,1,1,1,0,0,0,0,0
28,1,0,,-41333,3910,72192,71830,-265045,1,1,1,1,0,0,0,0,0
30,1,0,,-41333,3910,72192,71830,-265045,1,1,1,1,0,0,0,0,0
32,1,0,,-39502,2365,81920,81519,-265121,1,1,1,1,0,0,0,0,0
34,1,0,,-39502,2365,81920,81519,-265121,1,1,1,1,0,0,0,0,0
36,1,0,,-39502,2365,81920,81519,-265121,1,1,1,1,0,0,0,0,0
38,1,0,,-39502,2365,81920,81519,-265121,1,1,1,1,0,0,0,0,0
40,1,0,,-39502,2365,81920,81519,-265121,1,1,1,1,0,0,0,0,0
42,1,0,,-40055,-363,90541,89988,-265007,1,1,1,1,0,0,0,0,0
44,1,0,,-40055,-363,90541,89988,-265007,1,1,1,1,0,0,0,0,0
46,1,0,,-40055,-363,90541,89988,-265007,1,1,1,1,0,0,0,0,0
48,1,0,,-40055,-363,90541,89988,-265007,1,1,1,1,0,0,0,0,0
50,1,0,,-40055,-363,90541,89988,-265007,1,1,1,1,0,0,0,0,0
52,1,0,,-40055,-363,90541,89988,-265007,1,1,1,1,0,0,0,0,0
54,1,0,,-41294,-878,95367,94909,-265178,1,1,1,1,0,0,0,0,0
56,1,0,,-41294,-878,95367,94909,-265178,1,1,1,1,0,0,0,0,0
58,1,0,,-41294,-878,95367,94909,-265178,1,1,1,1,0,0,0,0,0
60,1,0,,-41294,-878,95367,94909,-265178,1,1,1,1,0,0,0,0,0
62,1,0,,25672,-99220,57906,56190,-265693,1,0,1,1,0,27,16,0,0
64,1,0,,25672,-99220,57906,56190,-265693,1,0,1,1,0,27,16,0,0
66,1,0,,25672,-99220,57906,56190,-265693,1,0,1,1,0,27,16,0,0
68,1,0,,25672,-99220,57906,56190,-265693,1,0,1,1,0,27,16,0,0
70,1,0,,25672,-99220,57906,56190,-265693,1,0,1,1,0,27,16,0,0
72,1,1,,24452,-58041,-3071,-4120,-23442,1,1,1,1,1,27,16,0,0
74,1,1,,24452,-58041,-3071,-4120,-23442,1,1,1,1,1,27,16,0,0
76,1,0,,24452,-58041,-3071,-4120,-23442,1,1,1,1,1,27,16,0,0
78,1,0,,24452,-58041,-3071,-4120,-23442,1,1,1,1,1,27,16,0,0
80,1,0,,24452,-58041,-3071,-4120,-23442,1,1,1,1,1,27,16,0,0
82,2,0,,24757,-38071,-52376,-52491,112437,1,1,1,1,0,27,16,0,-2
84,2,0,,24757,-38071,-52376,-52491,112437,1,1,1,1,0,27,16,0,-2
86,2,0,,24757,-38071,-52376,-52491,112437,1,1,1,1,0,27,16,0,-2
88,2,0,,24757,-38071,-52376,-52491,112437,1,1,1,1,0,27,16,0,-2
90,2,0,,24757,-38071,-52376,-52491,112437,1,1,1,1,0,27,16,0,-2
92,2,0,,25501,-26818,-129967,-129185,112399,1,1,0,0,0,27,16,1,-6
94,2,0,,25501,-26818,-129967,-129185,112399,1,1,0,0,0,27,16,1,-6
96,2,0,,25501,-26818,-129967,-129185,112399,1,1,0,0,0,27,16,1,-6
98,2,0,,25501,-26818,-129967,-129185,112399,1,1,0,0,0,27,16,1,-6
100,2,0,,25501,-26818,-129967,-129185,112399,1,1,0,0,0,27,16,1,-6
102,2,0,,24261,-21458,-185585,-183868,112418,1,1,0,0,0,27,16,1,-14
104,2,0,,24261,-21458,-185585,-183868,112418,1,1,0,0,0,27,16,1,-14
106,2,0,,24261,-21458,-185585,-183868,112418,1,1,0,0,0,27,16,1,-14
108,2,0,,24261,-21458,-185585,-183868,112418,1,1,0,0,0,27,16,1,-14
110,2,0,,24261,-21458,-185585,-183868,112418,1,1,0,0,0,27,16,1,-14
112,2,0,,24261,-21458,-185585,-183868,112418,1,1,0,0,0,27,16,1,-14
114,2,0,,24127,-18063,-225677,-223312,112418,1,1,0,0,0,27,16,1,-30
116,2,0,,24127,-18063,-225677,-223312,112418,1,1,0,0,0,27,16,1,-30
118,2,0,,24127,-18063,-225677,-223312,112418,1,1,0,0,0,27,16,1,-30
120,2,0,,24127,-18063,-225677,-223312,112418,1,1,0,0,0,27,16,1,-30
122,2,0,,24127,-18063,-225677,-223312,112418,1,1,0,0,0,27,16,1,-30
124,2,0,,24051,-17071,-254440,-251922,112399,1,1,0,0,0,27,16,1,-62
126,2,0,,24051,-17071,-254440,-251922,112399,1,1,0,0,0,27,16,1,-62
128,2,0,,24051,-17071,-254440,-251922,112399,1,1,0,0,0,27,16,1,-62
130,2,0,,24051,-17071,-254440,-251922,112399,1,1,0,0,0,27,16,1,-62
132,2,0,,24051,-17071,-254440,-251922,112399,1,1,0,0,0,27,16,1,-62
134,2,0,,24604,-12398,-264835,-259685,112399,1,1,0,0,0,27,16,2,-126
136,2,0,,24604,-12398,-264835,-259685,112399,1,1,0,0,0,27,16,2,-126
138,2,0,,24604,-12398,-264835,-259685,112399,1,1,0,0,0,27,16,2,-126
140,2,0,,24604,-12398,-264835,-259685,112399,1,1,0,0,0,27,16,2,-126
142,2,0,,24604,-12398,-264835,-259685,112399,1,1,0,0,0,27,16,2,-126
144,2,0,,25119,-11101,-265636,-259723,112380,1,1,0,0,0,27,16,2,-190
146,2,0,,25119,-11101,-265636,-259723,112380,1,1,0,0,0,27,16,2,-190
148,2,0,,25119,-11101,-265636,-259723,112380,1,1,0,0,0,27,16,2,-190
150,2,0,,25119,-11101,-265636,-259723,112380,1,1,0,0,0,27,16,2,-190
152,2,0,,25119,-11101,-265636,-259723,112380,1,1,0,0,0,27,16,2,-190
154,2,0,,25691,-10663,-265731,-259857,112380,1,1,0,0,0,27,16,2,-254
156,2,0,,25691,-10663,-265731,-259857,112380,1,1,0,0,0,27,16,2,-254
158,2,0,,25691,-10663,-265731,-259857,112380,1,1,0,0,0,27,16,2,-254
160,2,0,,25691,-10663,-265731,-259857,112380,1,1,0,0,0,27,16,2,-254
162,2,0,,25691,-10663,-265731,-259857,112380,1,1,0,0,0,27,16,2,-254
164,2,0,,25520,-10624,-265235,-259838,112380,1,1,0,0,0,27,16,2,-254
166,2,0,,25520,-10624,-265235,-259838,112380,1,1,0,0,0,27,16,2,-254
168,2,0,,25520,-10624,-265235,-259838,112380,1,1,0,0,0,27,16,2,-254
170,2,0,,25520,-10624,-265235,-259838,112380,1,1,0,0,0,27,16,2,-254
172,2,0,,25520,-10624,-265235,-259838,112380,1,1,0,0,0,27,16,2,-254
174,2,0,,25615,-9881,-265769,-259857,112380,1,1,0,0,0,27,16,2,-254
176,2,0,,25615,-9881,-265769,-259857,112380,1,1,0,0,0,27,16,2,-254
