sample,time_s,value_v
0,0.000000000,1.013961739
1,0.000384025,1.004615766
2,0.000768049,0.996109024
3,0.001152074,0.992065460
4,0.001536098,0.992218047
5,0.001920123,0.994373343
6,0.002304147,0.996738446
7,0.002688172,0.998569494
8,0.003072197,0.999942780
9,0.003456221,1.000934597
10,0.003840246,1.001220698
11,0.004224270,1.001392359
12,0.004608295,1.001296992
13,0.004992320,1.001087185
14,0.005376344,1.001106258
15,0.005760369,1.001049038
16,0.006144393,1.000953671
17,0.006528418,1.000953671
18,0.006912442,1.000972744
19,0.007296467,1.000934597
20,0.007680492,1.000896450
21,0.008064516,1.000858304
22,0.008448541,1.000820157
23,0.008832565,1.000858304
24,0.009216590,1.000858304
25,0.009600614,1.001068111
26,0.009984639,1.000953671
27,0.010368664,1.000877377
28,0.010752688,1.000839230
29,0.011136713,1.001106258
30,0.011520737,1.001220698
31,0.011904762,1.001029964
32,0.012288786,1.001106258
33,0.012672811,1.001144405
34,0.013056836,1.001201625
35,0.013440860,1.001316066
36,0.013824885,1.001354212
37,0.014208909,1.001201625
38,0.014592934,1.001182552
39,0.014976959,1.001296992
40,0.015360983,1.001487726
41,0.015745008,1.001316066
42,0.016129032,1.001373286
43,0.016513057,1.001316066
44,0.016897081,1.001068111
45,0.017281106,1.001010891
46,0.017665131,1.001125331
47,0.018049155,1.001277919
48,0.018433180,1.001602167
49,0.018817204,1.001678460
50,0.019201229,1.001583093
51,0.019585253,1.001392359
52,0.019969278,1.001373286
53,0.020353303,1.001335139
54,0.020737327,1.001201625
55,0.021121352,1.001201625
56,0.021505376,1.001182552
57,0.021889401,1.001277919
58,0.022273425,1.001373286
59,0.022657450,1.001277919
60,0.023041475,1.001220698
61,0.023425499,1.001106258
62,0.023809524,1.001049038
63,0.024193548,1.001201625
64,0.024577573,1.001106258
65,0.024961598,1.001125331
66,0.025345622,1.001125331
67,0.025729647,1.001087185
68,0.026113671,1.001106258
69,0.026497696,1.001087185
70,0.026881720,1.001029964
71,0.027265745,1.000934597
72,0.027649770,1.000782010
73,0.028033794,1.000686643
74,0.028417819,1.000762937
75,0.028801843,1.000877377
76,0.029185868,1.000915524
77,0.029569892,1.000801083
78,0.029953917,1.001010891
79,0.030337942,1.001087185
80,0.030721966,1.001049038
81,0.031105991,1.001144405
82,0.031490015,1.001201625
83,0.031874040,1.001163478
84,0.032258065,1.001068111
85,0.032642089,1.001068111
86,0.033026114,1.001068111
87,0.033410138,1.001144405
88,0.033794163,1.001144405
89,0.034178187,1.001220698
90,0.034562212,1.001106258
91,0.034946237,1.001125331
92,0.035330261,1.001220698
93,0.035714286,1.001182552
94,0.036098310,1.001163478
95,0.036482335,1.001106258
96,0.036866359,1.001220698
97,0.037250384,1.001239772
98,0.037634409,1.001201625
99,0.038018433,1.001277919
100,0.038402458,1.001296992
101,0.038786482,1.001182552
102,0.039170507,1.001049038
103,0.039554531,1.001087185
104,0.039938556,1.001220698
105,0.040322581,1.001296992
106,0.040706605,1.001144405
107,0.041090630,1.001144405
108,0.041474654,1.001201625
109,0.041858679,1.001335139
110,0.042242704,1.001411433
111,0.042626728,1.001373286
112,0.043010753,1.001258845
113,0.043394777,1.001087185
114,0.043778802,1.000972744
115,0.044162826,1.000953671
116,0.044546851,1.000934597
117,0.044930876,1.000934597
118,0.045314900,1.001010891
119,0.045698925,1.000972744
120,0.046082949,1.000915524
121,0.046466974,1.000953671
122,0.046850998,1.001010891
123,0.047235023,1.001010891
124,0.047619048,1.000934597
125,0.048003072,1.000839230
126,0.048387097,1.000820157
127,0.048771121,1.000858304
128,0.049155146,1.000705716
129,0.049539171,1.000667569
130,0.049923195,1.000591276
131,0.050307220,1.000782010
132,0.050691244,1.000762937
133,0.051075269,1.001010891
134,0.051459293,1.001163478
135,0.051843318,1.001106258
136,0.052227343,1.001201625
137,0.052611367,1.001125331
138,0.052995392,1.001144405
139,0.053379416,1.001316066
140,0.053763441,1.001277919
141,0.054147465,1.001220698
142,0.054531490,1.001068111
143,0.054915515,1.001068111
144,0.055299539,1.001010891
145,0.055683564,1.001239772
146,0.056067588,1.001277919
147,0.056451613,1.001220698
148,0.056835637,1.001182552
149,0.057219662,1.001106258
150,0.057603687,1.000934597
151,0.057987711,1.001449579
152,0.058371736,1.002384177
153,0.058755760,1.002422324
154,0.059139785,1.001754754
155,0.059523810,1.000934597
156,0.059907834,1.000362395
157,0.060291859,0.999809266
158,0.060675883,0.999542238
159,0.061059908,0.999294284
160,0.061443932,0.999275210
161,0.061827957,0.999294284
162,0.062211982,0.999446871
163,0.062596006,0.999370577
164,0.062980031,0.999485018
165,0.063364055,0.999427798
166,0.063748080,0.999542238
167,0.064132104,0.999351504
168,0.064516129,0.999103550
169,0.064900154,0.999179843
170,0.065284178,0.999179843
171,0.065668203,0.999084476
172,0.066052227,0.999561311
173,0.066436252,1.001220698
174,0.066820276,1.001678460
175,0.067204301,1.000705716
176,0.067588326,0.999256137
177,0.067972350,0.997215282
178,0.068356375,0.995269793
179,0.068740399,0.995327014
180,0.069124424,0.996128097
181,0.069508449,0.997310649
182,0.069892473,0.998188026
183,0.070276498,0.998893742
184,0.070660522,0.999313357
185,0.071044547,0.999580385
186,0.071428571,0.999637605
187,0.071812596,0.999618532
188,0.072196621,0.999694825
189,0.072580645,0.999542238
190,0.072964670,0.999542238
191,0.073348694,0.998703008
192,0.073732719,0.998340613
193,0.074116743,0.998817448
194,0.074500768,0.999542238
195,0.074884793,1.000324248
196,0.075268817,1.000782010
197,0.075652842,1.000915524
198,0.076036866,1.001106258
199,0.076420891,1.001182552
200,0.076804916,1.001316066
201,0.077188940,1.001411433
202,0.077572965,1.001354212
203,0.077956989,1.001468653
204,0.078341014,1.001544946
205,0.078725038,1.001468653
206,0.079109063,1.001411433
207,0.079493088,1.001239772
208,0.079877112,1.001296992
209,0.080261137,1.001258845
210,0.080645161,1.001220698
211,0.081029186,1.001163478
212,0.081413210,1.001258845
213,0.081797235,1.001373286
214,0.082181260,1.001335139
215,0.082565284,1.001316066
216,0.082949309,1.001220698
217,0.083333333,1.001163478
218,0.083717358,1.001068111
219,0.084101382,1.001068111
220,0.084485407,1.000915524
221,0.084869432,1.001029964
222,0.085253456,1.001010891
223,0.085637481,1.001087185
224,0.086021505,1.000991818
225,0.086405530,1.000820157
226,0.086789555,1.000877377
227,0.087173579,1.000915524
228,0.087557604,1.000991818
229,0.087941628,1.000991818
230,0.088325653,1.001106258
231,0.088709677,1.000972744
232,0.089093702,1.000953671
233,0.089477727,1.000858304
234,0.089861751,1.000991818
235,0.090245776,1.001106258
236,0.090629800,1.001144405
237,0.091013825,1.001144405
238,0.091397849,1.001087185
239,0.091781874,1.001201625
