x_mm,y_mm
-60.6748,-9.326
-60.782,-8.7499
-60.8856,-8.173
-60.9858,-7.5955
-61.0824,-7.0173
-61.1755,-6.4384
-61.2651,-5.8589
-61.3512,-5.2787
-61.4338,-4.6979
-61.5129,-4.1165
-61.5884,-3.5344
-61.6604,-2.9516
-61.7289,-2.3683
-61.7939,-1.7843
-61.8554,-1.1997
-61.9133,-0.6145
-61.9676,-0.0287
-62.0185,0.5576
-62.0657,1.1446
-62.1095,1.7322
-62.1496,2.3204
-62.1863,2.9091
-62.2193,3.4984
-62.2488,4.0883
-62.2747,4.6787
-62.297,5.2697
-62.3157,5.8612
-62.3308,6.4533
-62.3423,7.0459
-62.3502,7.639
-62.3544,8.2327
-62.3551,8.8269
-62.3521,9.4215
-62.3454,10.0167
-62.3351,10.6124
-62.3212,11.2086
-62.3035,11.8053
-62.2822,12.4024
-62.2572,13
-62.2285,13.5981
-62.196,14.1966
-62.1599,14.7956
-62.12,15.395
-62.0763,15.9949
-62.029,16.5951
-61.9778,17.1958
-61.9229,17.7969
-61.8641,18.3984
-61.8016,19.0003
-61.7352,19.6026
-61.6651,20.2052
-61.591,20.8082
-61.5132,21.4116
-61.4314,22.0153
-61.3458,22.6193
-61.2563,23.2237
-61.1629,23.8284
-61.0655,24.4334
-60.9643,25.0386
-60.859,25.6442
-60.7499,26.25
-60.6367,26.8561
-60.5195,27.4624
-60.3983,28.069
-60.2732,28.6758
-60.1439,29.2828
-60.0106,29.89
-59.8733,30.4974
-59.7318,31.1049
-59.5863,31.7127
-59.4366,32.3205
-59.2828,32.9285
-59.1249,33.5366
-58.9628,34.1448
-58.7965,34.7531
-58.626,35.3615
-58.4513,35.9699
-58.2723,36.5783
-58.0891,37.1868
-57.9017,37.7953
-57.7099,38.4038
-57.5138,39.0122
-57.3135,39.6206
-57.1088,40.2289
-56.8997,40.8372
-56.6863,41.4454
-56.4684,42.0534
-56.2462,42.6613
-56.0195,43.269
-55.7884,43.8766
-55.5529,44.484
-55.3128,45.0911
-55.0683,45.698
-54.8192,46.3047
-54.5657,46.911
