sector,phi_deg,theta_deg,gamma_deg,rho_paso_mm,x_perfil_mm,y_perfil_mm,radio_perfil_mm,mu_deg
subida,0.000,-16.0000,194.2146,81.2865,-59.4114,-15.0441,61.2865,7.285
subida,0.500,-15.9998,193.7147,81.2874,-59.5524,-14.4801,61.2875,7.137
subida,1.000,-15.9990,193.2149,81.2902,-59.6912,-13.9103,61.2906,6.989
subida,1.500,-15.9978,192.7153,81.2948,-59.8264,-13.3398,61.2956,6.841
subida,2.000,-15.9960,192.2159,81.3012,-59.9582,-12.7685,61.3027,6.694
subida,2.500,-15.9938,191.7166,81.3095,-60.0864,-12.1965,61.3117,6.546
subida,3.000,-15.9911,191.2176,81.3196,-60.2111,-11.6238,61.3228,6.399
subida,3.500,-15.9879,190.7186,81.3316,-60.3323,-11.0504,61.3359,6.252
subida,4.000,-15.9842,190.2199,81.3453,-60.4500,-10.4763,61.3511,6.106
subida,4.500,-15.9800,189.7213,81.3610,-60.5641,-9.9015,61.3682,5.960
subida,5.000,-15.9753,189.2229,81.3784,-60.6748,-9.3260,61.3874,5.814
subida,5.500,-15.9701,188.7246,81.3977,-60.7820,-8.7499,61.4085,5.669
subida,6.000,-15.9644,188.2265,81.4189,-60.8856,-8.1730,61.4317,5.524
subida,6.500,-15.9583,187.7286,81.4418,-60.9858,-7.5955,61.4569,5.379
subida,7.000,-15.9516,187.2308,81.4666,-61.0824,-7.0173,61.4842,5.235
subida,7.500,-15.9444,186.7332,81.4933,-61.1755,-6.4384,61.5134,5.091
subida,8.000,-15.9368,186.2358,81.5218,-61.2651,-5.8589,61.5446,4.948
subida,8.500,-15.9286,185.7385,81.5521,-61.3512,-5.2787,61.5779,4.805
subida,9.000,-15.9200,185.2415,81.5843,-61.4338,-4.6979,61.6132,4.662
subida,9.500,-15.9109,184.7445,81.6183,-61.5129,-4.1165,61.6505,4.520
subida,10.000,-15.9012,184.2478,81.6541,-61.5884,-3.5344,61.6897,4.378
subida,10.500,-15.8911,183.7512,81.6918,-61.6604,-2.9516,61.7310,4.237
subida,11.000,-15.8805,183.2548,81.7313,-61.7289,-2.3683,61.7744,4.096
subida,11.500,-15.8694,182.7585,81.7727,-61.7939,-1.7843,61.8197,3.956
subida,12.000,-15.8578,182.2624,81.8158,-61.8554,-1.1997,61.8670,3.816
subida,12.500,-15.8457,181.7665,81.8609,-61.9133,-0.6145,61.9163,3.677
subida,13.000,-15.8331,181.2708,81.9077,-61.9676,-0.0287,61.9676,3.539
subida,13.500,-15.8200,180.7752,81.9564,-62.0185,0.5576,62.0210,3.400
subida,14.000,-15.8064,180.2798,82.0070,-62.0657,1.1446,62.0763,3.263
subida,14.500,-15.7923,179.7845,82.0593,-62.1095,1.7322,62.1336,3.126
subida,15.000,-15.7778,179.2895,82.1135,-62.1496,2.3204,62.1929,2.989
